Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,geo_loc_name,collection_date
SRR26537720,542756886,40706766450,75,15719,SRX22240657,GSM7867555,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP468637,PRJNA1032593,,"",SRS19294812,SAMN37999498,simple,9606,Homo sapiens,GSM7867555,"Genomic, structure and Translation, I2BC, CNRS, Université Paris-Sud",SRA1740134,11,2024,Namy,hMEC,Ribo_mZEB1.1,hMEC,hMEC,Zeb1,missing,missing
SRR26537719,502892922,37716969150,75,14685,SRX22240658,GSM7867556,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP468637,PRJNA1032593,,"",SRS19294813,SAMN37999497,simple,9606,Homo sapiens,GSM7867556,"Genomic, structure and Translation, I2BC, CNRS, Université Paris-Sud",SRA1740134,11,2024,Namy,hMEC,Ribo_mZEB1.2,hMEC,hMEC,Zeb1,missing,missing
SRR26537718,541663851,40624788825,75,15682,SRX22240659,GSM7867557,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP468637,PRJNA1032593,,"",SRS19294817,SAMN37999496,simple,9606,Homo sapiens,GSM7867557,"Genomic, structure and Translation, I2BC, CNRS, Université Paris-Sud",SRA1740134,11,2024,Namy,hMEC,Ribo_mZEB1.3,hMEC,hMEC,Zeb1,missing,missing
SRR26537717,533886002,40041450150,75,15700,SRX22240660,GSM7867558,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP468637,PRJNA1032593,,"",SRS19294814,SAMN37999495,simple,9606,Homo sapiens,GSM7867558,"Genomic, structure and Translation, I2BC, CNRS, Université Paris-Sud",SRA1740134,11,2024,Namy,hMEC,Ribo_hMEC1.1,hMEC,hMEC,WT,missing,missing
SRR26537716,588221876,44116640700,75,17066,SRX22240661,GSM7867559,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP468637,PRJNA1032593,,"",SRS19294815,SAMN37999494,simple,9606,Homo sapiens,GSM7867559,"Genomic, structure and Translation, I2BC, CNRS, Université Paris-Sud",SRA1740134,11,2024,Namy,hMEC,Ribo_hMEC1.2,hMEC,hMEC,WT,missing,missing
SRR26537715,524698679,39352400925,75,15116,SRX22240662,GSM7867560,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP468637,PRJNA1032593,,"",SRS19294816,SAMN37999493,simple,9606,Homo sapiens,GSM7867560,"Genomic, structure and Translation, I2BC, CNRS, Université Paris-Sud",SRA1740134,11,2024,Namy,hMEC,Ribo_hMEC1.3,hMEC,hMEC,WT,missing,missing
SRR26537714,113936634,8545247550,75,3255,SRX22240663,GSM7867561,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP468637,PRJNA1032593,,"",SRS19294818,SAMN37999492,simple,9606,Homo sapiens,GSM7867561,"Genomic, structure and Translation, I2BC, CNRS, Université Paris-Sud",SRA1740134,11,2024,Namy,hMEC,RNA_mZEB1.1,hMEC,hMEC,Zeb1,missing,missing
SRR26537713,124847513,9363563475,75,3589,SRX22240664,GSM7867562,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP468637,PRJNA1032593,,"",SRS19294820,SAMN37999491,simple,9606,Homo sapiens,GSM7867562,"Genomic, structure and Translation, I2BC, CNRS, Université Paris-Sud",SRA1740134,11,2024,Namy,hMEC,RNA_mZEB1.2,hMEC,hMEC,Zeb1,missing,missing
SRR26537712,119990746,8999305950,75,3443,SRX22240665,GSM7867563,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP468637,PRJNA1032593,,"",SRS19294819,SAMN37999490,simple,9606,Homo sapiens,GSM7867563,"Genomic, structure and Translation, I2BC, CNRS, Université Paris-Sud",SRA1740134,11,2024,Namy,hMEC,RNA_mZEB1.3,hMEC,hMEC,Zeb1,missing,missing
SRR26537711,112041936,8403145200,75,3195,SRX22240666,GSM7867564,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP468637,PRJNA1032593,,"",SRS19294821,SAMN37999489,simple,9606,Homo sapiens,GSM7867564,"Genomic, structure and Translation, I2BC, CNRS, Université Paris-Sud",SRA1740134,11,2024,Namy,hMEC,RNA_hMEC1.1,hMEC,hMEC,WT,missing,missing
