Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,collection_date,geo_loc_name,sex,tissue,cell_line,identity,BioSampleModel,Identity
SRR28413924,31330320,9172708211,146,2892,SRX24018245,1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813293,SAMN40571341,simple,9606,Homo sapiens,GCE1_rnaseq,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,1,Human,
SRR28413923,24750632,7262053716,146,2298,SRX24018246,2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813294,SAMN40571342,simple,9606,Homo sapiens,GCE2_rnaseq,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,2,Human,
SRR28413922,94278245,14141736750,150,9864,SRX24018247,11,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813295,SAMN40571348,simple,9606,Homo sapiens,GFP_ribo,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,8,Human,
SRR28413921,10363005,1554450750,150,1108,SRX24018248,12,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813296,SAMN40571349,simple,9606,Homo sapiens,18S-1_1,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,9,Human,
SRR28413920,3059756,458963400,150,154,SRX24018249,13,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813297,SAMN40571350,simple,9606,Homo sapiens,18S-1_2,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,10,Human,
SRR28413919,37384538,5607680700,150,4175,SRX24018250,14,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813298,SAMN40571351,simple,9606,Homo sapiens,18S-1_3,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,11,Human,
SRR28413918,11785432,1767814800,150,562,SRX24018251,15,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813299,SAMN40571352,simple,9606,Homo sapiens,18S-1_4,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,12,Human,
SRR28413917,13133399,1970009850,150,624,SRX24018252,16,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813300,SAMN40571353,simple,9606,Homo sapiens,18S-6_4,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,13,Human,
SRR28413916,7805139,1170770850,150,376,SRX24018253,17,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813301,SAMN40571354,simple,9606,Homo sapiens,18S-1_5,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,14,Human,
SRR28413915,8675130,1301269500,150,416,SRX24018254,18,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813302,SAMN40571355,simple,9606,Homo sapiens,18S-6_5,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,15,Human,
