Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,geo_loc_name,collection_date
SRR28817168,60165491,12153429182,101,3499,SRX24380160,GSM8232598,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136465,SAMN41096330,simple,10090,Mus musculus,GSM8232598,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SNI IN 1,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817167,51506044,10404220888,101,2962,SRX24380161,GSM8232599,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136466,SAMN41096329,simple,10090,Mus musculus,GSM8232599,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SHAM IN 1,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817164,137617370,27798708740,101,7962,SRX24380162,GSM8232600,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136467,SAMN41096328,simple,10090,Mus musculus,GSM8232600,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SNI IN 2,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817165,27413014,5537428828,101,1589,SRX24380163,GSM8232602,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136468,SAMN41096326,simple,10090,Mus musculus,GSM8232602,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SNI IN 3,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817166,86873950,26235932900,151,8303,SRX24380163,GSM8232602,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136468,SAMN41096326,simple,10090,Mus musculus,GSM8232602,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SNI IN 3,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817160,32108236,6485863672,101,1883,SRX24380164,GSM8232603,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136469,SAMN41096325,simple,10090,Mus musculus,GSM8232603,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SHAM IN 3,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817161,77038104,23265507408,151,7484,SRX24380164,GSM8232603,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136469,SAMN41096325,simple,10090,Mus musculus,GSM8232603,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SHAM IN 3,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817159,51772134,10457971068,101,3015,SRX24380165,GSM8232601,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136470,SAMN41096327,simple,10090,Mus musculus,GSM8232601,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SHAM IN 2,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817158,77953464,15746599728,101,4513,SRX24380166,GSM8232604,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136471,SAMN41096324,simple,10090,Mus musculus,GSM8232604,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SNI IP 1,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817162,103775397,20962630194,101,5990,SRX24380167,GSM8232605,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136472,SAMN41096323,simple,10090,Mus musculus,GSM8232605,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SHAM IP 1,spinal cord,spinal cord,inhibitory neurons,missing,missing
