Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,geo_loc_name,collection_date
SRR24970997,105105523,31531656900,150,10666,SRX20728683,GSM7500615,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444858,PRJNA985711,38763208,"",SRS18019918,SAMN35807156,simple,9606,Homo sapiens,GSM7500615,"Department of General Surgery, Peking Union Medical college hospital",SRA1658989,05,2024,Su,CFPAC-1,"CFPAC-1 cells, 0.1% DMSO treated, bioreplicate 1: Ribo-seq",CFPAC-1,CFPAC-1,pancreatic adenocarcinoma cells,"0.1percent DMSO,24 h",missing,missing
SRR24970996,111339482,33401844600,150,11088,SRX20728684,GSM7500616,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444858,PRJNA985711,38763208,"",SRS18019924,SAMN35807155,simple,9606,Homo sapiens,GSM7500616,"Department of General Surgery, Peking Union Medical college hospital",SRA1658989,05,2024,Su,CFPAC-1,"CFPAC-1 cells, 0.1% DMSO treated, bioreplicate 2: Ribo-seq",CFPAC-1,CFPAC-1,pancreatic adenocarcinoma cells,"0.1percent DMSO,24 h",missing,missing
SRR24970995,129495917,38848775100,150,12934,SRX20728685,GSM7500617,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444858,PRJNA985711,38763208,"",SRS18019926,SAMN35807154,simple,9606,Homo sapiens,GSM7500617,"Department of General Surgery, Peking Union Medical college hospital",SRA1658989,05,2024,Su,CFPAC-1,"CFPAC-1 cells, IKE treated, bioreplicate 1: Ribo-seq",CFPAC-1,CFPAC-1,pancreatic adenocarcinoma cells,"10 microM IKE,24 h",missing,missing
SRR24970994,156101659,46830497700,150,15496,SRX20728686,GSM7500618,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444858,PRJNA985711,38763208,"",SRS18019929,SAMN35807153,simple,9606,Homo sapiens,GSM7500618,"Department of General Surgery, Peking Union Medical college hospital",SRA1658989,05,2024,Su,CFPAC-1,"CFPAC-1 cells, IKE treated, bioreplicate 2: Ribo-seq",CFPAC-1,CFPAC-1,pancreatic adenocarcinoma cells,"10 microM IKE,24 h",missing,missing
SRR24970993,138303695,41491108500,150,13711,SRX20728687,GSM7500619,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444858,PRJNA985711,38763208,"",SRS18019941,SAMN35807152,simple,9606,Homo sapiens,GSM7500619,"Department of General Surgery, Peking Union Medical college hospital",SRA1658989,05,2024,Su,PANC-1,"PANC-1 cells, 0.1% DMSO treated, bioreplicate 1: Ribo-seq",PANC-1,PANC-1,pancreatic adenocarcinoma cells,"0.1percent DMSO,24 h",missing,missing
SRR24970992,123022118,36906635400,150,12022,SRX20728688,GSM7500620,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444858,PRJNA985711,38763208,"",SRS18019919,SAMN35807151,simple,9606,Homo sapiens,GSM7500620,"Department of General Surgery, Peking Union Medical college hospital",SRA1658989,05,2024,Su,PANC-1,"PANC-1 cells, 0.1% DMSO treated, bioreplicate 2: Ribo-seq",PANC-1,PANC-1,pancreatic adenocarcinoma cells,"0.1percent DMSO,24 h",missing,missing
SRR24970991,114180144,34254043200,150,11324,SRX20728689,GSM7500621,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444858,PRJNA985711,38763208,"",SRS18019920,SAMN35807150,simple,9606,Homo sapiens,GSM7500621,"Department of General Surgery, Peking Union Medical college hospital",SRA1658989,05,2024,Su,PANC-1,"PANC-1 cells, IKE treated, bioreplicate 1: Ribo-seq",PANC-1,PANC-1,pancreatic adenocarcinoma cells,"1 microM IKE,24 h",missing,missing
SRR24970990,131380248,39414074400,150,12990,SRX20728690,GSM7500622,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444858,PRJNA985711,38763208,"",SRS18019921,SAMN35807149,simple,9606,Homo sapiens,GSM7500622,"Department of General Surgery, Peking Union Medical college hospital",SRA1658989,05,2024,Su,PANC-1,"PANC-1 cells, IKE treated, bioreplicate 2: Ribo-seq",PANC-1,PANC-1,pancreatic adenocarcinoma cells,"1 microM IKE,24 h",missing,missing
SRR24970989,123795453,37138635900,150,12182,SRX20728691,GSM7500623,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444858,PRJNA985711,38763208,"",SRS18019922,SAMN35807148,simple,9606,Homo sapiens,GSM7500623,"Department of General Surgery, Peking Union Medical college hospital",SRA1658989,05,2024,Su,PANC-1,"PANC-1 cells, IKE treated, bioreplicate 3: Ribo-seq",PANC-1,PANC-1,pancreatic adenocarcinoma cells,"1 microM IKE,24 h",missing,missing
SRR24970988,129101513,38730453900,150,12764,SRX20728692,GSM7500624,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444858,PRJNA985711,38763208,"",SRS18019923,SAMN35807147,simple,9606,Homo sapiens,GSM7500624,"Department of General Surgery, Peking Union Medical college hospital",SRA1658989,05,2024,Su,PANC-1,"PANC-1 cells, IKE treated, bioreplicate 4: Ribo-seq",PANC-1,PANC-1,pancreatic adenocarcinoma cells,"1 microM IKE,24 h",missing,missing
