Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,geo_loc_name,collection_date,treatment
SRR28018132,13842677,4042061684,150,1327,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018133,22638549,6610456308,150,2203,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018134,19974649,5832597508,150,1952,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018135,23494811,6860484812,150,2283,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018136,12152027,3548391884,150,1150,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018137,17893524,5224909008,150,1685,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018138,12388373,3617404916,150,1172,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018139,16430196,4797617232,150,1548,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018140,11568332,3377952944,150,1114,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018141,15769464,4604683488,150,1522,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",NA,NA,,missing,missing,DMS
SRR28018142,13034258,3806003336,150,1270,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",NA,NA,,missing,missing,DMS
SRR28018143,17993236,5254024912,150,1729,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",NA,NA,,missing,missing,no DMS
SRR28018144,14707600,4294619200,150,1441,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",NA,NA,,missing,missing,no DMS
SRR28018145,13291775,3881198300,150,1306,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",NA,NA,,missing,missing,"DMS, denature RNA"
SRR28018146,17932857,5236394244,150,1743,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",NA,NA,,missing,missing,"DMS, denature RNA"
SRR28018147,14936888,4361571296,150,1463,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HEK293T,HEK293T,WT,missing,missing,
SRR28018148,17060088,4981545696,150,1666,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HEK293T,HEK293T,WT,missing,missing,
SRR28018149,15022265,4386501380,150,1456,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HEK293T,HEK293T,WT,missing,missing,
SRR28018150,17069899,4984410508,150,1664,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018151,12064970,3522971240,150,1174,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018152,16358928,4776806976,150,1576,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
