Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell type,genotype,treatment,geo_loc_name,collection_date
SRR28628314,1782704,99001607,55,49,SRX24226119,GSM8198371,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995719,SAMN40932388,simple,5693,Trypanosoma cruzi,GSM8198371,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in exponential growth replicate 1,whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628313,2184982,121272013,55,60,SRX24226120,GSM8198372,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995720,SAMN40932387,simple,5693,Trypanosoma cruzi,GSM8198372,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in exponential growth replicate 2,whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628312,1936244,107489431,55,53,SRX24226121,GSM8198373,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995721,SAMN40932386,simple,5693,Trypanosoma cruzi,GSM8198373,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in exponential growth replicate 3,whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628311,1972296,109630590,55,54,SRX24226122,GSM8198398,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995722,SAMN40932361,simple,5693,Trypanosoma cruzi,GSM8198398,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,GFP-FLAG (negative control) immunoprecipitation in nutritional stress replicate 1,whole organism,Dm28c,whole organism,episomal GFP-FLAG,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628310,2424477,134727363,55,67,SRX24226123,GSM8198399,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995723,SAMN40932360,simple,5693,Trypanosoma cruzi,GSM8198399,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,GFP-FLAG (negative control) immunoprecipitation in nutritional stress replicate 2,whole organism,Dm28c,whole organism,episomal GFP-FLAG,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628309,2569609,142793397,55,71,SRX24226124,GSM8198400,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995724,SAMN40932359,simple,5693,Trypanosoma cruzi,GSM8198400,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,GFP-FLAG (negative control) immunoprecipitation in nutritional stress replicate 3,whole organism,Dm28c,whole organism,episomal GFP-FLAG,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628308,3023502,167961826,55,83,SRX24226125,GSM8198401,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995725,SAMN40932358,simple,5693,Trypanosoma cruzi,GSM8198401,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E3 immunoprecipitation (episomal using GFP antibodies) in nutritional stress replicate 1,whole organism,Dm28c,whole organism,episomal eIF4E3-GFP,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628307,2303734,128028507,55,63,SRX24226126,GSM8198402,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995726,SAMN40932357,simple,5693,Trypanosoma cruzi,GSM8198402,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E3 immunoprecipitation (episomal using GFP antibodies) in nutritional stress replicate 2,whole organism,Dm28c,whole organism,episomal eIF4E3-GFP,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628306,1858258,103265639,55,51,SRX24226127,GSM8198403,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995727,SAMN40932356,simple,5693,Trypanosoma cruzi,GSM8198403,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E3 immunoprecipitation (episomal using GFP antibodies) in nutritional stress replicate 3,whole organism,Dm28c,whole organism,episomal eIF4E3-GFP,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628305,1958362,108840218,55,54,SRX24226128,GSM8198404,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995728,SAMN40932355,simple,5693,Trypanosoma cruzi,GSM8198404,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation (episomal using GFP antibodies) in nutritional stress replicate 1,whole organism,Dm28c,whole organism,episomal eIF4E4-GFP,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
