Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,genotype,treatment,geo_loc_name,collection_date
SRR29428719,22696583,1724940308,76,693,SRX24941572,GSM8331626,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP514208,PRJNA1124527,,"",SRS21645678,SAMN41858711,simple,746128,Aspergillus fumigatus,GSM8331626,University of Debrecen,SRA1900483,01,2025,Miskei,mycelium,"A. fumigatus akuBku80, untreated 1",mycelium,mycelium,akuBku80,reference strain,untreated,missing,missing
SRR29428718,26572816,2019534016,76,810,SRX24941573,GSM8331627,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP514208,PRJNA1124527,,"",SRS21645679,SAMN41858710,simple,746128,Aspergillus fumigatus,GSM8331627,University of Debrecen,SRA1900483,01,2025,Miskei,mycelium,"A. fumigatus akuBku80, untreated 2",mycelium,mycelium,akuBku80,reference strain,untreated,missing,missing
SRR29428717,16696890,1268963640,76,524,SRX24941574,GSM8331628,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP514208,PRJNA1124527,,"",SRS21645680,SAMN41858709,simple,746128,Aspergillus fumigatus,GSM8331628,University of Debrecen,SRA1900483,01,2025,Miskei,mycelium,"A. fumigatus akuBku80, untreated 3",mycelium,mycelium,akuBku80,reference strain,untreated,missing,missing
SRR29428716,22005791,1672440116,76,676,SRX24941575,GSM8331629,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP514208,PRJNA1124527,,"",SRS21645681,SAMN41858708,simple,746128,Aspergillus fumigatus,GSM8331629,University of Debrecen,SRA1900483,01,2025,Miskei,mycelium,"A. fumigatus akuBku80, MSB treated 1",mycelium,mycelium,akuBku80,reference strain,MSB treated,missing,missing
SRR29428715,23700418,1801231768,76,724,SRX24941576,GSM8331630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP514208,PRJNA1124527,,"",SRS21645682,SAMN41858707,simple,746128,Aspergillus fumigatus,GSM8331630,University of Debrecen,SRA1900483,01,2025,Miskei,mycelium,"A. fumigatus akuBku80, MSB treated 2",mycelium,mycelium,akuBku80,reference strain,MSB treated,missing,missing
SRR29428714,21977864,1670317664,76,672,SRX24941577,GSM8331631,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP514208,PRJNA1124527,,"",SRS21645683,SAMN41858706,simple,746128,Aspergillus fumigatus,GSM8331631,University of Debrecen,SRA1900483,01,2025,Miskei,mycelium,"A. fumigatus akuBku80, MSB treated 3",mycelium,mycelium,akuBku80,reference strain,MSB treated,missing,missing
SRR29428713,26286793,1997796268,76,799,SRX24941578,GSM8331632,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP514208,PRJNA1124527,,"",SRS21645684,SAMN41858705,simple,746128,Aspergillus fumigatus,GSM8331632,University of Debrecen,SRA1900483,01,2025,Miskei,mycelium,"A. fumigatus DsodB, untreated 1",mycelium,mycelium,IP345,delta_sodB mutant,untreated,missing,missing
SRR29428712,24748457,1880882732,76,753,SRX24941579,GSM8331633,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP514208,PRJNA1124527,,"",SRS21645685,SAMN41858704,simple,746128,Aspergillus fumigatus,GSM8331633,University of Debrecen,SRA1900483,01,2025,Miskei,mycelium,"A. fumigatus DsodB, untreated 2",mycelium,mycelium,IP345,delta_sodB mutant,untreated,missing,missing
SRR29428711,28345254,2154239304,76,860,SRX24941580,GSM8331634,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP514208,PRJNA1124527,,"",SRS21645686,SAMN41858703,simple,746128,Aspergillus fumigatus,GSM8331634,University of Debrecen,SRA1900483,01,2025,Miskei,mycelium,"A. fumigatus DsodB, untreated 3",mycelium,mycelium,IP345,delta_sodB mutant,untreated,missing,missing
SRR29428710,23208116,1763816816,76,720,SRX24941581,GSM8331635,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP514208,PRJNA1124527,,"",SRS21645687,SAMN41858702,simple,746128,Aspergillus fumigatus,GSM8331635,University of Debrecen,SRA1900483,01,2025,Miskei,mycelium,"A. fumigatus DsodB, MSB treated 1",mycelium,mycelium,IP345,delta_sodB mutant,MSB treated,missing,missing
