Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment,geo_loc_name,collection_date
SRR28214303,25618438,7685531400,150,2863,SRX23826526,GSM8124310,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648604,SAMN40250566,simple,79327,Schmidtea mediterranea,GSM8124310,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",fbl-1_1,"head, trunk, tail","head, trunk, tail",fbl-1 knockdown,RNAi,missing,missing
SRR28214302,29212895,8763868500,150,3232,SRX23826527,GSM8124311,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648605,SAMN40250565,simple,79327,Schmidtea mediterranea,GSM8124311,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",fbl-1_2,"head, trunk, tail","head, trunk, tail",fbl-1 knockdown,RNAi,missing,missing
SRR28214301,26854511,8056353300,150,3016,SRX23826528,GSM8124312,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648606,SAMN40250564,simple,79327,Schmidtea mediterranea,GSM8124312,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",fbl-1_3,"head, trunk, tail","head, trunk, tail",fbl-1 knockdown,RNAi,missing,missing
SRR28214300,30759945,9227983500,150,3406,SRX23826529,GSM8124313,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648607,SAMN40250563,simple,79327,Schmidtea mediterranea,GSM8124313,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",fbl-2_1,"head, trunk, tail","head, trunk, tail",fbl-2 knockdown,RNAi,missing,missing
SRR28214299,32489281,9746784300,150,3577,SRX23826530,GSM8124314,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648608,SAMN40250562,simple,79327,Schmidtea mediterranea,GSM8124314,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",fbl-2_2,"head, trunk, tail","head, trunk, tail",fbl-2 knockdown,RNAi,missing,missing
SRR28214298,28258019,8477405700,150,3124,SRX23826531,GSM8124315,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648609,SAMN40250561,simple,79327,Schmidtea mediterranea,GSM8124315,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",fbl-2_3,"head, trunk, tail","head, trunk, tail",fbl-2 knockdown,RNAi,missing,missing
SRR28214297,34441603,10332480900,150,3802,SRX23826532,GSM8124316,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648610,SAMN40250560,simple,79327,Schmidtea mediterranea,GSM8124316,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",egfp-2x-1,"head, trunk, tail","head, trunk, tail",egfp_2x knockdown,RNAi,missing,missing
SRR28214296,30367373,9110211900,150,3399,SRX23826533,GSM8124317,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648611,SAMN40250559,simple,79327,Schmidtea mediterranea,GSM8124317,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",egfp-2x-2,"head, trunk, tail","head, trunk, tail",egfp_2x knockdown,RNAi,missing,missing
SRR28214295,28097556,8429266800,150,3113,SRX23826534,GSM8124318,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648612,SAMN40250558,simple,79327,Schmidtea mediterranea,GSM8124318,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",egfp-2x-3,"head, trunk, tail","head, trunk, tail",egfp_2x knockdown,RNAi,missing,missing
SRR28214294,30897050,9269115000,150,3418,SRX23826535,GSM8124319,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648613,SAMN40250557,simple,79327,Schmidtea mediterranea,GSM8124319,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",egfp-1,"head, trunk, tail","head, trunk, tail",egfp knockdown,RNAi,missing,missing
SRR28214293,29918359,8975507700,150,3307,SRX23826536,GSM8124320,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648614,SAMN40250556,simple,79327,Schmidtea mediterranea,GSM8124320,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",egfp-2,"head, trunk, tail","head, trunk, tail",egfp knockdown,RNAi,missing,missing
SRR28214292,33112903,9933870900,150,3673,SRX23826537,GSM8124321,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648615,SAMN40250555,simple,79327,Schmidtea mediterranea,GSM8124321,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",egfp-3,"head, trunk, tail","head, trunk, tail",egfp knockdown,RNAi,missing,missing
SRR28214291,186172438,55851731400,150,20580,SRX23826538,GSM8124322,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648616,SAMN40250554,simple,79327,Schmidtea mediterranea,GSM8124322,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",fbl-1_1_Ribo,"head, trunk, tail","head, trunk, tail",fbl-1 knockdown,RNAi,missing,missing
SRR28214290,320137504,96041251200,150,34278,SRX23826539,GSM8124323,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648617,SAMN40250553,simple,79327,Schmidtea mediterranea,GSM8124323,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",fbl-1_2_Ribo,"head, trunk, tail","head, trunk, tail",fbl-1 knockdown,RNAi,missing,missing
SRR28214289,221781898,66534569400,150,24003,SRX23826540,GSM8124324,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648618,SAMN40250552,simple,79327,Schmidtea mediterranea,GSM8124324,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",fbl-1_3_Ribo,"head, trunk, tail","head, trunk, tail",fbl-1 knockdown,RNAi,missing,missing
SRR28214288,282787570,84836271000,150,30245,SRX23826541,GSM8124325,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648619,SAMN40250551,simple,79327,Schmidtea mediterranea,GSM8124325,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",fbl-2_1_Ribo,"head, trunk, tail","head, trunk, tail",fbl-2 knockdown,RNAi,missing,missing
SRR28214287,294375781,88312734300,150,32589,SRX23826542,GSM8124326,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648620,SAMN40250550,simple,79327,Schmidtea mediterranea,GSM8124326,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",fbl-2_2_Ribo,"head, trunk, tail","head, trunk, tail",fbl-2 knockdown,RNAi,missing,missing
SRR28214286,302099226,90629767800,150,32362,SRX23826543,GSM8124327,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648621,SAMN40250549,simple,79327,Schmidtea mediterranea,GSM8124327,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",fbl-2_3_Ribo,"head, trunk, tail","head, trunk, tail",fbl-2 knockdown,RNAi,missing,missing
SRR28214285,275183553,82555065900,150,29498,SRX23826544,GSM8124328,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP493172,PRJNA1083472,,"",SRS20648622,SAMN40250548,simple,79327,Schmidtea mediterranea,GSM8124328,???????????????,SRA1817107,11,2024,hao,"head, trunk, tail",egfp-2x-1_Ribo,"head, trunk, tail","head, trunk, tail",egfp_2x knockdown,RNAi,missing,missing
