Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR26226446,84962475,8496247500,100,2987,SRX21936727,GSM7814477,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463937,PRJNA1022492,38260457,"",SRS19016041,SAMN37609488,simple,10090,Mus musculus,GSM7814477,"Morscher lab, Oncology, University Children's Hospital Zurich",SRA1723686,02,2024,Cherkaoui,Tumor tissue,Ribo_CD_5696,Tumor tissue,Tumor tissue,Neuroblastoma Cancer Cells,Neuroblast,MYCN Amplified,Control Diet (CD),missing,missing
SRR26226445,150715593,15071559300,100,4827,SRX21936728,GSM7814486,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463937,PRJNA1022492,38260457,"",SRS19016042,SAMN37609479,simple,10090,Mus musculus,GSM7814486,"Morscher lab, Oncology, University Children's Hospital Zurich",SRA1723686,02,2024,Cherkaoui,Tumor tissue,Ribo_Proargdrop_5828,Tumor tissue,Tumor tissue,neuroblastoma cancer cells,Neuroblast,MYCN Amplified,Proline Arginine Dropout Diet (ProArg),missing,missing
SRR26226444,127252368,12725236800,100,3903,SRX21936729,GSM7814487,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463937,PRJNA1022492,38260457,"",SRS19016043,SAMN37609478,simple,10090,Mus musculus,GSM7814487,"Morscher lab, Oncology, University Children's Hospital Zurich",SRA1723686,02,2024,Cherkaoui,Tumor tissue,Ribo_CD_DFMO_5747,Tumor tissue,Tumor tissue,neuroblastoma cancer cells,Neuroblast,MYCN Amplified,DFMO Treatment (CD DFMO),missing,missing
SRR26226443,79738654,7973865400,100,2516,SRX21936730,GSM7814488,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463937,PRJNA1022492,38260457,"",SRS19016044,SAMN37609477,simple,10090,Mus musculus,GSM7814488,"Morscher lab, Oncology, University Children's Hospital Zurich",SRA1723686,02,2024,Cherkaoui,Tumor tissue,Ribo_CD_DFMO_5802,Tumor tissue,Tumor tissue,neuroblastoma cancer cells,Neuroblast,MYCN Amplified,DFMO Treatment (CD DFMO),missing,missing
SRR26226442,117280951,11728095100,100,3632,SRX21936731,GSM7814489,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463937,PRJNA1022492,38260457,"",SRS19016045,SAMN37609476,simple,10090,Mus musculus,GSM7814489,"Morscher lab, Oncology, University Children's Hospital Zurich",SRA1723686,02,2024,Cherkaoui,Tumor tissue,Ribo_CD_DFMO_5806,Tumor tissue,Tumor tissue,neuroblastoma cancer cells,Neuroblast,MYCN Amplified,DFMO Treatment (CD DFMO),missing,missing
SRR26226441,103418850,10341885000,100,3296,SRX21936732,GSM7814490,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463937,PRJNA1022492,38260457,"",SRS19016046,SAMN37609475,simple,10090,Mus musculus,GSM7814490,"Morscher lab, Oncology, University Children's Hospital Zurich",SRA1723686,02,2024,Cherkaoui,Tumor tissue,Ribo_CD_DFMO_5823,Tumor tissue,Tumor tissue,neuroblastoma cancer cells,Neuroblast,MYCN Amplified,DFMO Treatment (CD DFMO),missing,missing
SRR26226440,132354420,13235442000,100,3993,SRX21936733,GSM7814491,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463937,PRJNA1022492,38260457,"",SRS19016047,SAMN37609474,simple,10090,Mus musculus,GSM7814491,"Morscher lab, Oncology, University Children's Hospital Zurich",SRA1723686,02,2024,Cherkaoui,Tumor tissue,Ribo_CD_DFMO_135,Tumor tissue,Tumor tissue,neuroblastoma cancer cells,Neuroblast,MYCN Amplified,DFMO Treatment (CD DFMO),missing,missing
SRR26226439,115110204,11511020400,100,3583,SRX21936734,GSM7814492,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463937,PRJNA1022492,38260457,"",SRS19016048,SAMN37609473,simple,10090,Mus musculus,GSM7814492,"Morscher lab, Oncology, University Children's Hospital Zurich",SRA1723686,02,2024,Cherkaoui,Tumor tissue,Ribo_Proargdrop_DFMO_5732,Tumor tissue,Tumor tissue,neuroblastoma cancer cells,Neuroblast,MYCN Amplified,Proline Arginine Dropout Diet with DFMO Treatment(ProArg DFMO),missing,missing
SRR26226438,146871922,14687192200,100,4682,SRX21936735,GSM7814493,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463937,PRJNA1022492,38260457,"",SRS19016049,SAMN37609472,simple,10090,Mus musculus,GSM7814493,"Morscher lab, Oncology, University Children's Hospital Zurich",SRA1723686,02,2024,Cherkaoui,Tumor tissue,Ribo_Proargdrop_DFMO_5736,Tumor tissue,Tumor tissue,neuroblastoma cancer cells,Neuroblast,MYCN Amplified,Proline Arginine Dropout Diet with DFMO Treatment(ProArg DFMO),missing,missing
SRR26226437,158150327,15815032700,100,5605,SRX21936736,GSM7814478,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463937,PRJNA1022492,38260457,"",SRS19016050,SAMN37609487,simple,10090,Mus musculus,GSM7814478,"Morscher lab, Oncology, University Children's Hospital Zurich",SRA1723686,02,2024,Cherkaoui,Tumor tissue,Ribo_CD_5778,Tumor tissue,Tumor tissue,neuroblastoma cancer cells,Neuroblast,MYCN Amplified,Control Diet (CD),missing,missing
