Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,geo_loc_name,collection_date
SRR31850841,30871911,9261573300,150,4335,SRX27210696,GSM8703765,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP554369,PRJNA1204289,,"",SRS23660113,SAMN46015805,simple,10090,Mus musculus,GSM8703765,Chinese Academy of Medical Sciences and Peking Union Medical College,SRA2042477,01,2025,Liu,mouse fibrosarcoma TC1 cells,TC1_WT1(mRNAseq),mouse fibrosarcoma TC1 cells,mouse fibrosarcoma TC1 cells,wild type,missing,missing
SRR31850840,26095753,7828725900,150,3680,SRX27210697,GSM8703766,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP554369,PRJNA1204289,,"",SRS23660114,SAMN46015804,simple,10090,Mus musculus,GSM8703766,Chinese Academy of Medical Sciences and Peking Union Medical College,SRA2042477,01,2025,Liu,mouse fibrosarcoma TC1 cells,TC1_WT2(mRNAseq),mouse fibrosarcoma TC1 cells,mouse fibrosarcoma TC1 cells,wild type,missing,missing
SRR31850839,23852560,7155768000,150,3377,SRX27210698,GSM8703767,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP554369,PRJNA1204289,,"",SRS23660115,SAMN46015803,simple,10090,Mus musculus,GSM8703767,Chinese Academy of Medical Sciences and Peking Union Medical College,SRA2042477,01,2025,Liu,mouse fibrosarcoma TC1 cells,TC1_sgNAT10_1(mRNAseq),mouse fibrosarcoma TC1 cells,mouse fibrosarcoma TC1 cells,sgNAT10,missing,missing
SRR31850838,24469825,7340947500,150,3510,SRX27210699,GSM8703768,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP554369,PRJNA1204289,,"",SRS23660116,SAMN46015802,simple,10090,Mus musculus,GSM8703768,Chinese Academy of Medical Sciences and Peking Union Medical College,SRA2042477,01,2025,Liu,mouse fibrosarcoma TC1 cells,TC1_sgNAT10_2(mRNAseq),mouse fibrosarcoma TC1 cells,mouse fibrosarcoma TC1 cells,sgNAT10,missing,missing
SRR31850837,18942449,5616702229,148,1662,SRX27210700,GSM8703769,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP554369,PRJNA1204289,,"",SRS23660117,SAMN46015801,simple,10090,Mus musculus,GSM8703769,Chinese Academy of Medical Sciences and Peking Union Medical College,SRA2042477,01,2025,Liu,mouse fibrosarcoma TC1 cells,TC1_cell_WT1(mRNAseq),mouse fibrosarcoma TC1 cells,mouse fibrosarcoma TC1 cells,wild type,missing,missing
SRR31850836,17415565,5164746179,148,1529,SRX27210701,GSM8703770,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP554369,PRJNA1204289,,"",SRS23660118,SAMN46015800,simple,10090,Mus musculus,GSM8703770,Chinese Academy of Medical Sciences and Peking Union Medical College,SRA2042477,01,2025,Liu,mouse fibrosarcoma TC1 cells,TC1_cell_WT2(mRNAseq),mouse fibrosarcoma TC1 cells,mouse fibrosarcoma TC1 cells,wild type,missing,missing
SRR31850835,19030489,5642680574,148,1662,SRX27210702,GSM8703771,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP554369,PRJNA1204289,,"",SRS23660119,SAMN46015799,simple,10090,Mus musculus,GSM8703771,Chinese Academy of Medical Sciences and Peking Union Medical College,SRA2042477,01,2025,Liu,mouse fibrosarcoma TC1 cells,TC1_cell_WT3(mRNAseq),mouse fibrosarcoma TC1 cells,mouse fibrosarcoma TC1 cells,wild type,missing,missing
SRR31850834,20505766,6078161609,148,1788,SRX27210703,GSM8703772,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP554369,PRJNA1204289,,"",SRS23660120,SAMN46015798,simple,10090,Mus musculus,GSM8703772,Chinese Academy of Medical Sciences and Peking Union Medical College,SRA2042477,01,2025,Liu,mouse fibrosarcoma TC1 cells,TC1_cell_sgMYC_1(mRNAseq),mouse fibrosarcoma TC1 cells,mouse fibrosarcoma TC1 cells,sgMYC,missing,missing
SRR31850833,19994683,5930220966,148,1750,SRX27210704,GSM8703773,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP554369,PRJNA1204289,,"",SRS23660121,SAMN46015797,simple,10090,Mus musculus,GSM8703773,Chinese Academy of Medical Sciences and Peking Union Medical College,SRA2042477,01,2025,Liu,mouse fibrosarcoma TC1 cells,TC1_cell_sgMYC_2(mRNAseq),mouse fibrosarcoma TC1 cells,mouse fibrosarcoma TC1 cells,sgMYC,missing,missing
SRR31850832,21983961,6511781828,148,1929,SRX27210705,GSM8703774,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP554369,PRJNA1204289,,"",SRS23660122,SAMN46015796,simple,10090,Mus musculus,GSM8703774,Chinese Academy of Medical Sciences and Peking Union Medical College,SRA2042477,01,2025,Liu,mouse fibrosarcoma TC1 cells,TC1_cell_sgMYC_3(mRNAseq),mouse fibrosarcoma TC1 cells,mouse fibrosarcoma TC1 cells,sgMYC,missing,missing
SRR31850831,53443071,5344307100,100,3318,SRX27210706,GSM8703775,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP554369,PRJNA1204289,,"",SRS23660123,SAMN46015795,simple,10090,Mus musculus,GSM8703775,Chinese Academy of Medical Sciences and Peking Union Medical College,SRA2042477,01,2025,Liu,mouse fibrosarcoma TC1 cells,TC1_WT1(Riboseq),mouse fibrosarcoma TC1 cells,mouse fibrosarcoma TC1 cells,wild type,missing,missing
