Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment,geo_loc_name,collection_date
SRR26989813,61446059,6206051959,101,1835,SRX22682908,GSM7923445,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474948,PRJNA1046496,1,"",SRS19676646,SAMN38502470,simple,9986,Oryctolagus cuniculus,GSM7923445,"Shao lab, Cell Biology, Harvard Medical School",SRA1759987,12,2023,Makar,Reticulocyte lysate,"RRL with FVBeta-UGA, replicate 1",Reticulocyte lysate,Reticulocyte lysate,WT,Added in vitro transcribed FVBeta-UGA,missing,missing
SRR26989814,61492297,6210721997,101,1839,SRX22682908,GSM7923445,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474948,PRJNA1046496,1,"",SRS19676646,SAMN38502470,simple,9986,Oryctolagus cuniculus,GSM7923445,"Shao lab, Cell Biology, Harvard Medical School",SRA1759987,12,2023,Makar,Reticulocyte lysate,"RRL with FVBeta-UGA, replicate 1",Reticulocyte lysate,Reticulocyte lysate,WT,Added in vitro transcribed FVBeta-UGA and 5 uM SRI-41315,missing,missing
SRR26989811,63456210,6409077210,101,1897,SRX22682909,GSM7923446,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474948,PRJNA1046496,1,"",SRS19676647,SAMN38502469,simple,9986,Oryctolagus cuniculus,GSM7923446,"Shao lab, Cell Biology, Harvard Medical School",SRA1759987,12,2023,Makar,Reticulocyte lysate,"RRL with FVBeta-UGA and SRI-41315, replicate 1",Reticulocyte lysate,Reticulocyte lysate,WT,Added in vitro transcribed FVBeta-UGG,missing,missing
SRR26989812,63420566,6405477166,101,1899,SRX22682909,GSM7923446,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474948,PRJNA1046496,1,"",SRS19676647,SAMN38502469,simple,9986,Oryctolagus cuniculus,GSM7923446,"Shao lab, Cell Biology, Harvard Medical School",SRA1759987,12,2023,Makar,Reticulocyte lysate,"RRL with FVBeta-UGA and SRI-41315, replicate 1",Reticulocyte lysate,Reticulocyte lysate,WT,Added in vitro transcribed FVBeta-UGG and 5 uM SRI-41315,missing,missing
SRR26989809,61629884,6224618284,101,1882,SRX22682910,GSM7923447,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474948,PRJNA1046496,1,"",SRS19676648,SAMN38502468,simple,9986,Oryctolagus cuniculus,GSM7923447,"Shao lab, Cell Biology, Harvard Medical School",SRA1759987,12,2023,Makar,Reticulocyte lysate,"RRL with FVBeta-UGG, replicate 1",Reticulocyte lysate,Reticulocyte lysate,WT,Added in vitro transcribed FVBeta-UGG and 1 uM eRF1-AAQ,missing,missing
SRR26989810,61722655,6233988155,101,1888,SRX22682910,GSM7923447,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474948,PRJNA1046496,1,"",SRS19676648,SAMN38502468,simple,9986,Oryctolagus cuniculus,GSM7923447,"Shao lab, Cell Biology, Harvard Medical School",SRA1759987,12,2023,Makar,Reticulocyte lysate,"RRL with FVBeta-UGG, replicate 1",Reticulocyte lysate,Reticulocyte lysate,WT,Added in vitro transcribed FVBeta-UGG-QW and 5 uM SRI-41315,missing,missing
SRR26989807,80871780,8168049780,101,2424,SRX22682911,GSM7923448,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474948,PRJNA1046496,1,"",SRS19676649,SAMN38502467,simple,9986,Oryctolagus cuniculus,GSM7923448,"Shao lab, Cell Biology, Harvard Medical School",SRA1759987,12,2023,Makar,Reticulocyte lysate,"RRL with FVBeta-UGG and SRI-41315, replicate 1",Reticulocyte lysate,Reticulocyte lysate,WT,Added in vitro transcribed FVBeta-UGA,missing,missing
SRR26989808,80890078,8169897878,101,2430,SRX22682911,GSM7923448,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474948,PRJNA1046496,1,"",SRS19676649,SAMN38502467,simple,9986,Oryctolagus cuniculus,GSM7923448,"Shao lab, Cell Biology, Harvard Medical School",SRA1759987,12,2023,Makar,Reticulocyte lysate,"RRL with FVBeta-UGG and SRI-41315, replicate 1",Reticulocyte lysate,Reticulocyte lysate,WT,Added in vitro transcribed FVBeta-UGA and 5 uM SRI-41315,missing,missing
SRR26989805,188909426,19079852026,101,5711,SRX22682912,GSM7923449,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474948,PRJNA1046496,1,"",SRS19676650,SAMN38502466,simple,9986,Oryctolagus cuniculus,GSM7923449,"Shao lab, Cell Biology, Harvard Medical School",SRA1759987,12,2023,Makar,Reticulocyte lysate,"RRL with FVBeta-UGG and eRF1-AAQ, replicate 1",Reticulocyte lysate,Reticulocyte lysate,WT,Added in vitro transcribed FVBeta-UGG,missing,missing
SRR26989806,189027978,19091825778,101,5725,SRX22682912,GSM7923449,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474948,PRJNA1046496,1,"",SRS19676650,SAMN38502466,simple,9986,Oryctolagus cuniculus,GSM7923449,"Shao lab, Cell Biology, Harvard Medical School",SRA1759987,12,2023,Makar,Reticulocyte lysate,"RRL with FVBeta-UGG and eRF1-AAQ, replicate 1",Reticulocyte lysate,Reticulocyte lysate,WT,Added in vitro transcribed FVBeta-UGG and 5 uM SRI-41315,missing,missing
