Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,vector backbone,insert,substrain,GEO Accession
SRR6080101,32079521,1603976050,50,671,SRX3219092,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543780,SAMN07709296,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794751,GEO,SRA613734,09,2020,"",pACYC177 plasmid / no insert rep 1,pACYC177 plasmid / no insert rep 1,pACYC177 plasmid / no insert rep 1,K-12 MG1655,pACYC177,N/A,MG1655,GSM2794751
SRR6080102,36708714,1835435700,50,887,SRX3219093,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543781,SAMN07709295,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794752,GEO,SRA613734,09,2020,"",pACYC177 plasmid / no insert rep 2,pACYC177 plasmid / no insert rep 2,pACYC177 plasmid / no insert rep 2,K-12 MG1655,pACYC177,N/A,MG1655,GSM2794752
SRR6080103,47920458,2396022900,50,1194,SRX3219094,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543782,SAMN07709294,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794753,GEO,SRA613734,09,2020,"",pACYC177 plasmid / no insert rep 3,pACYC177 plasmid / no insert rep 3,pACYC177 plasmid / no insert rep 3,K-12 MG1655,pACYC177,N/A,MG1655,GSM2794753
SRR6080104,25275059,1263752950,50,530,SRX3219095,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543783,SAMN07709293,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794754,GEO,SRA613734,09,2020,"",pACYC177 plasmid / slow Luciferase rep 1,pACYC177 plasmid / slow Luciferase rep 1,pACYC177 plasmid / slow Luciferase rep 1,K-12 MG1655,pACYC177,slow Luciferase,MG1655,GSM2794754
SRR6080105,37700489,1885024450,50,901,SRX3219096,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543784,SAMN07709292,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794755,GEO,SRA613734,09,2020,"",pACYC177 plasmid / slow Luciferase rep 2,pACYC177 plasmid / slow Luciferase rep 2,pACYC177 plasmid / slow Luciferase rep 2,K-12 MG1655,pACYC177,slow Luciferase,MG1655,GSM2794755
SRR6080106,34919046,1745952300,50,863,SRX3219097,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543785,SAMN07709291,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794756,GEO,SRA613734,09,2020,"",pACYC177 plasmid / slow Luciferase rep 3,pACYC177 plasmid / slow Luciferase rep 3,pACYC177 plasmid / slow Luciferase rep 3,K-12 MG1655,pACYC177,slow Luciferase,MG1655,GSM2794756
SRR6080107,5478227,273911350,50,116,SRX3219098,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543786,SAMN07709290,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794757,GEO,SRA613734,09,2020,"",pACYC177 plasmid / WT Luciferase rep 1,pACYC177 plasmid / WT Luciferase rep 1,pACYC177 plasmid / WT Luciferase rep 1,K-12 MG1655,pACYC177,WT Luciferase,MG1655,GSM2794757
SRR6080108,5789180,578918000,100,233,SRX3219098,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543786,SAMN07709290,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794757,GEO,SRA613734,09,2020,"",pACYC177 plasmid / WT Luciferase rep 1,pACYC177 plasmid / WT Luciferase rep 1,pACYC177 plasmid / WT Luciferase rep 2,K-12 MG1655,pACYC177,WT Luciferase,MG1655,GSM2794758
SRR6080109,37218701,1860935050,50,899,SRX3219099,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543787,SAMN07709289,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794758,GEO,SRA613734,09,2020,"",pACYC177 plasmid / WT Luciferase rep 2,pACYC177 plasmid / WT Luciferase rep 2,pACYC177 plasmid / WT Luciferase rep 3,K-12 MG1655,pACYC177,WT Luciferase,MG1655,GSM2794759
SRR6080110,32022245,1601112250,50,803,SRX3219100,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543788,SAMN07709288,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794759,GEO,SRA613734,09,2020,"",pACYC177 plasmid / WT Luciferase rep 3,pACYC177 plasmid / WT Luciferase rep 3,pACYC177 plasmid / harmonized Luciferase rep 1,K-12 MG1655,pACYC177,harmonized Luciferase,MG1655,GSM2794760
