Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment,geo_loc_name,collection_date,fraction
SRR26195310,51267886,1870801947,36,636,SRX21906711,GSM7808337,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP463488,PRJNA1021597,38823018,"",SRS18992602,SAMN37565397,simple,9606,Homo sapiens,GSM7808337,"LBG, NIDDK, National Institute of Health",SRA1721810,04,2024,Karasik,Lung,"A549 human lung carcinoma, RNaseL_KO, Rnase A, 4.5h, rep1",Lung,Lung,A549,lung carcinoma,RNAseL KO,RNase A,missing,missing,
SRR26195309,83035837,3104150733,37,1053,SRX21906712,GSM7808338,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP463488,PRJNA1021597,38823018,"",SRS18992603,SAMN37565396,simple,9606,Homo sapiens,GSM7808338,"LBG, NIDDK, National Institute of Health",SRA1721810,04,2024,Karasik,Lung,"A549 human lung carcinoma, RNaseL_KO, BSA, 4.5h, rep1",Lung,Lung,A549,lung carcinoma,RNAseL KO,BSA,missing,missing,
SRR26195308,50819459,1878899121,36,789,SRX21906713,GSM7808339,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP463488,PRJNA1021597,38823018,"",SRS18992604,SAMN37565395,simple,9606,Homo sapiens,GSM7808339,"LBG, NIDDK, National Institute of Health",SRA1721810,04,2024,Karasik,Lung,"A549 human lung carcinoma, RNaseL_KO, BSA, 4.5h, rep2",Lung,Lung,A549,lung carcinoma,RNAseL KO,BSA,missing,missing,
SRR26195307,79123930,2948276921,37,1223,SRX21906714,GSM7808340,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP463488,PRJNA1021597,38823018,"",SRS18992605,SAMN37565394,simple,9606,Homo sapiens,GSM7808340,"LBG, NIDDK, National Institute of Health",SRA1721810,04,2024,Karasik,Lung,"A549 human lung carcinoma, RNaseL_KO, Rnase A, 4.5h, rep2",Lung,Lung,A549,lung carcinoma,RNAseL KO,RNase A,missing,missing,
SRR28560294,130141621,4640693093,35,1900,SRX24159669,GSM8188695,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP463488,PRJNA1021597,38823018,"",SRS20940460,SAMN40753101,simple,9606,Homo sapiens,GSM8188695,"LBG, National Institutes of Diabetes and Digestive and Kidney Diseas, National Institutes of Health",SRA1839854,04,2024,Karasik,Lung,"A549 human lung carcinoma, WT, Lipofectamine (Control), 4.5h, 1",Lung,Lung,A549,lung carcinoma,WT,Control,missing,missing,80S ribosome protected RNA (25-34 nt)
SRR28560293,118210124,4414968638,37,1803,SRX24159670,GSM8188696,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP463488,PRJNA1021597,38823018,"",SRS20940461,SAMN40753100,simple,9606,Homo sapiens,GSM8188696,"LBG, National Institutes of Diabetes and Digestive and Kidney Diseas, National Institutes of Health",SRA1839854,04,2024,Karasik,Lung,"A549 human lung carcinoma, WT, 1 µM 2-5A , 4.5h, 1",Lung,Lung,A549,lung carcinoma,WT,2-5A,missing,missing,80S ribosome protected RNA (25-34 nt)
SRR28560292,69296045,2619231213,37,911,SRX24159671,GSM8188697,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463488,PRJNA1021597,38823018,"",SRS20940462,SAMN40753099,simple,9606,Homo sapiens,GSM8188697,"LBG, National Institutes of Diabetes and Digestive and Kidney Diseas, National Institutes of Health",SRA1839854,04,2024,Karasik,Lung,"A549 human lung carcinoma, WT, Lipofectamine (Control), 4.5h, 2",Lung,Lung,A549,lung carcinoma,WT,Control,missing,missing,80S ribosome protected RNA (25-34 nt)
SRR28560291,68470632,2584581149,37,900,SRX24159672,GSM8188698,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463488,PRJNA1021597,38823018,"",SRS20940463,SAMN40753098,simple,9606,Homo sapiens,GSM8188698,"LBG, National Institutes of Diabetes and Digestive and Kidney Diseas, National Institutes of Health",SRA1839854,04,2024,Karasik,Lung,"A549 human lung carcinoma, WT, 0.25 µg/ml poly I:C, 4.5h, 1",Lung,Lung,A549,lung carcinoma,WT,polyI:C,missing,missing,80S ribosome protected RNA (25-34 nt)
SRR28560289,182533324,6785745145,37,2320,SRX24159673,GSM8188699,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463488,PRJNA1021597,38823018,"",SRS20940464,SAMN40753097,simple,9606,Homo sapiens,GSM8188699,"LBG, National Institutes of Diabetes and Digestive and Kidney Diseas, National Institutes of Health",SRA1839854,04,2024,Karasik,Lung,"A549 human lung carcinoma, WT, Lipofectamine (Control), 4.5h, 3",Lung,Lung,A549,lung carcinoma,WT,Control,missing,missing,80S ribosome protected RNA (25-34 nt)
SRR28560288,187886238,7020208459,37,2456,SRX24159674,GSM8188700,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463488,PRJNA1021597,38823018,"",SRS20940465,SAMN40753096,simple,9606,Homo sapiens,GSM8188700,"LBG, National Institutes of Diabetes and Digestive and Kidney Diseas, National Institutes of Health",SRA1839854,04,2024,Karasik,Lung,"A549 human lung carcinoma, WT, 1 µM 2-5A , 4.5h, 2",Lung,Lung,A549,lung carcinoma,WT,2-5A,missing,missing,80S ribosome protected RNA (25-34 nt)
SRR28560287,254581567,9459098848,37,3196,SRX24159675,GSM8188701,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463488,PRJNA1021597,38823018,"",SRS20940466,SAMN40753095,simple,9606,Homo sapiens,GSM8188701,"LBG, National Institutes of Diabetes and Digestive and Kidney Diseas, National Institutes of Health",SRA1839854,04,2024,Karasik,Lung,"A549 human lung carcinoma, WT, 0.25 µg/ml poly I:C, 4.5h, 2",Lung,Lung,A549,lung carcinoma,WT,polyI:C,missing,missing,80S ribosome protected RNA (25-34 nt)
SRR28560290,62117822,2291754579,36,818,SRX24159676,GSM8188702,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463488,PRJNA1021597,38823018,"",SRS20940467,SAMN40753094,simple,9606,Homo sapiens,GSM8188702,"LBG, National Institutes of Diabetes and Digestive and Kidney Diseas, National Institutes of Health",SRA1839854,04,2024,Karasik,Lung,"A549 human lung carcinoma, RNAseL KO, Lipofectamine (Control), 4.5h",Lung,Lung,A549,lung carcinoma,RNAseL KO,Control,missing,missing,80S ribosome protected RNA (25-34 nt)
SRR28560286,178141255,6594657359,37,2283,SRX24159677,GSM8188703,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463488,PRJNA1021597,38823018,"",SRS20940468,SAMN40753093,simple,9606,Homo sapiens,GSM8188703,"LBG, National Institutes of Diabetes and Digestive and Kidney Diseas, National Institutes of Health",SRA1839854,04,2024,Karasik,Lung,"A549 human lung carcinoma, RNAseL KO, 1 µM 2-5A , 4.5h",Lung,Lung,A549,lung carcinoma,RNAseL KO,2-5A,missing,missing,80S ribosome protected RNA (25-34 nt)
SRR28560285,181079036,6714352880,37,2292,SRX24159678,GSM8188704,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463488,PRJNA1021597,38823018,"",SRS20940469,SAMN40753092,simple,9606,Homo sapiens,GSM8188704,"LBG, National Institutes of Diabetes and Digestive and Kidney Diseas, National Institutes of Health",SRA1839854,04,2024,Karasik,Lung,"A549 human lung carcinoma, RNAseL KO, 0.25 µg/ml poly I:C, 4.5h",Lung,Lung,A549,lung carcinoma,RNAseL KO,polyI:C,missing,missing,80S ribosome protected RNA (25-34 nt)
