Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,geo_loc_name,collection_date
SRR27348756,2749534,819361132,149,363,SRX23025542,GSM7991684,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP480116,PRJNA1057108,1,"",SRS19987486,SAMN39123539,simple,9606,Homo sapiens,GSM7991684,Vinmec-VinUni Institute of Immunology,SRA1775761,01,2024,Makar,primary cells,"UCMSC, rep1",primary cells,primary cells,mesenchymal stem cells,no treatment,missing,missing
SRR27348757,2691001,801918298,149,349,SRX23025542,GSM7991684,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP480116,PRJNA1057108,1,"",SRS19987486,SAMN39123539,simple,9606,Homo sapiens,GSM7991684,Vinmec-VinUni Institute of Immunology,SRA1775761,01,2024,Makar,primary cells,"UCMSC, rep1",primary cells,primary cells,mesenchymal stem cells,exosome isolation,missing,missing
SRR27348758,2708749,807207202,149,352,SRX23025542,GSM7991684,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP480116,PRJNA1057108,1,"",SRS19987486,SAMN39123539,simple,9606,Homo sapiens,GSM7991684,Vinmec-VinUni Institute of Immunology,SRA1775761,01,2024,Makar,primary cells,"UCMSC, rep1",primary cells,primary cells,mesenchymal stem cells,no treatment,missing,missing
SRR27348759,2629058,783459284,149,343,SRX23025542,GSM7991684,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP480116,PRJNA1057108,1,"",SRS19987486,SAMN39123539,simple,9606,Homo sapiens,GSM7991684,Vinmec-VinUni Institute of Immunology,SRA1775761,01,2024,Makar,primary cells,"UCMSC, rep1",primary cells,primary cells,mesenchymal stem cells,exosome isolation,missing,missing
SRR27348752,2401509,715649682,149,313,SRX23025543,GSM7991685,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP480116,PRJNA1057108,1,"",SRS19987487,SAMN39123538,simple,9606,Homo sapiens,GSM7991685,Vinmec-VinUni Institute of Immunology,SRA1775761,01,2024,Makar,primary cells,"UCMSC, exosome, rep1",primary cells,primary cells,mesenchymal stem cells,no treatment,missing,missing
SRR27348753,2357081,702410138,149,302,SRX23025543,GSM7991685,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP480116,PRJNA1057108,1,"",SRS19987487,SAMN39123538,simple,9606,Homo sapiens,GSM7991685,Vinmec-VinUni Institute of Immunology,SRA1775761,01,2024,Makar,primary cells,"UCMSC, exosome, rep1",primary cells,primary cells,mesenchymal stem cells,exosome isolation,missing,missing
SRR27348754,2349089,700028522,149,301,SRX23025543,GSM7991685,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP480116,PRJNA1057108,1,"",SRS19987487,SAMN39123538,simple,9606,Homo sapiens,GSM7991685,Vinmec-VinUni Institute of Immunology,SRA1775761,01,2024,Makar,primary cells,"UCMSC, exosome, rep1",primary cells,primary cells,mesenchymal stem cells,no treatment,missing,missing
SRR27348755,2317324,690562552,149,298,SRX23025543,GSM7991685,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP480116,PRJNA1057108,1,"",SRS19987487,SAMN39123538,simple,9606,Homo sapiens,GSM7991685,Vinmec-VinUni Institute of Immunology,SRA1775761,01,2024,Makar,primary cells,"UCMSC, exosome, rep1",primary cells,primary cells,mesenchymal stem cells,exosome isolation,missing,missing
SRR27348748,5134994,1530228212,149,667,SRX23025544,GSM7991686,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP480116,PRJNA1057108,1,"",SRS19987490,SAMN39123537,simple,9606,Homo sapiens,GSM7991686,Vinmec-VinUni Institute of Immunology,SRA1775761,01,2024,Makar,primary cells,"UCMSC, rep2",primary cells,primary cells,mesenchymal stem cells,no treatment,missing,missing
SRR27348749,5017074,1495088052,149,637,SRX23025544,GSM7991686,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP480116,PRJNA1057108,1,"",SRS19987490,SAMN39123537,simple,9606,Homo sapiens,GSM7991686,Vinmec-VinUni Institute of Immunology,SRA1775761,01,2024,Makar,primary cells,"UCMSC, rep2",primary cells,primary cells,mesenchymal stem cells,exosome isolation,missing,missing
