Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,geo_loc_name,collection_date
SRR27352762,20223144,1516735800,75,620,SRX23029290,GSM7993197,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480170,PRJNA1057253,1,"",SRS19991174,SAMN39129017,simple,6239,Caenorhabditis elegans,GSM7993197,"Victor Ambros, Umass Medical School",SRA1775835,12,2023,Makar,whole animal,F180del.rep1.riboseq,whole animal,whole animal,"alg-1(ma447,F180del)",missing,missing
SRR27352761,21629457,1622209275,75,663,SRX23029291,GSM7993198,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480170,PRJNA1057253,1,"",SRS19991175,SAMN39129016,simple,6239,Caenorhabditis elegans,GSM7993198,"Victor Ambros, Umass Medical School",SRA1775835,12,2023,Makar,whole animal,F180del.rep2.riboseq,whole animal,whole animal,"alg-1(ma447,F180del)",missing,missing
SRR27352760,15585472,1168910400,75,447,SRX23029292,GSM7993199,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480170,PRJNA1057253,1,"",SRS19991176,SAMN39129015,simple,6239,Caenorhabditis elegans,GSM7993199,"Victor Ambros, Umass Medical School",SRA1775835,12,2023,Makar,whole animal,F180del.rep3.riboseq,whole animal,whole animal,"alg-1(ma447,F180del)",missing,missing
SRR27352759,18988999,1424174925,75,565,SRX23029293,GSM7993200,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480170,PRJNA1057253,1,"",SRS19991177,SAMN39129014,simple,6239,Caenorhabditis elegans,GSM7993200,"Victor Ambros, Umass Medical School",SRA1775835,12,2023,Makar,whole animal,G199S.rep1.riboseq,whole animal,whole animal,"alg-1(ma443, G199S)",missing,missing
SRR27352758,18511253,1388343975,75,555,SRX23029294,GSM7993201,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480170,PRJNA1057253,1,"",SRS19991178,SAMN39129013,simple,6239,Caenorhabditis elegans,GSM7993201,"Victor Ambros, Umass Medical School",SRA1775835,12,2023,Makar,whole animal,G199S.rep2.riboseq,whole animal,whole animal,"alg-1(ma443, G199S)",missing,missing
SRR27352757,17742485,1330686375,75,497,SRX23029295,GSM7993202,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480170,PRJNA1057253,1,"",SRS19991179,SAMN39129012,simple,6239,Caenorhabditis elegans,GSM7993202,"Victor Ambros, Umass Medical School",SRA1775835,12,2023,Makar,whole animal,G199S.rep3.riboseq,whole animal,whole animal,"alg-1(ma443, G199S)",missing,missing
SRR27352756,15543348,1165751100,75,466,SRX23029296,GSM7993203,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480170,PRJNA1057253,1,"",SRS19991180,SAMN39129011,simple,6239,Caenorhabditis elegans,GSM7993203,"Victor Ambros, Umass Medical School",SRA1775835,12,2023,Makar,whole animal,V254I.rep1.riboseq,whole animal,whole animal,"alg-1(zen25, V254I)",missing,missing
SRR27352755,20760031,1557002325,75,642,SRX23029297,GSM7993204,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480170,PRJNA1057253,1,"",SRS19991181,SAMN39129010,simple,6239,Caenorhabditis elegans,GSM7993204,"Victor Ambros, Umass Medical School",SRA1775835,12,2023,Makar,whole animal,V254I.rep2.riboseq,whole animal,whole animal,"alg-1(zen25, V254I)",missing,missing
SRR27352754,22255065,1669129875,75,678,SRX23029298,GSM7993213,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480170,PRJNA1057253,1,"",SRS19991182,SAMN39129001,simple,6239,Caenorhabditis elegans,GSM7993213,"Victor Ambros, Umass Medical School",SRA1775835,12,2023,Makar,whole animal,WT.rep2.riboseq,whole animal,whole animal,N2,missing,missing
SRR27352753,16018938,1201420350,75,470,SRX23029299,GSM7993214,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480170,PRJNA1057253,1,"",SRS19991183,SAMN39129000,simple,6239,Caenorhabditis elegans,GSM7993214,"Victor Ambros, Umass Medical School",SRA1775835,12,2023,Makar,whole animal,WT.rep3.riboseq,whole animal,whole animal,N2,missing,missing
SRR27352752,15431581,1157368575,75,480,SRX23029300,GSM7993205,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480170,PRJNA1057253,1,"",SRS19991184,SAMN39129009,simple,6239,Caenorhabditis elegans,GSM7993205,"Victor Ambros, Umass Medical School",SRA1775835,12,2023,Makar,whole animal,V254I.rep3.riboseq,whole animal,whole animal,"alg-1(zen25, V254I)",missing,missing
SRR27352751,19421277,1456595775,75,600,SRX23029301,GSM7993206,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480170,PRJNA1057253,1,"",SRS19991185,SAMN39129008,simple,6239,Caenorhabditis elegans,GSM7993206,"Victor Ambros, Umass Medical School",SRA1775835,12,2023,Makar,whole animal,H751L.rep1.riboseq,whole animal,whole animal,"alg-1(zen18,H751L)",missing,missing
