Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,treatment,geo_loc_name,collection_date
SRR25741028,27669932,692899279,25,907,SRX21464376,GSM7730130,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP456646,PRJNA1008576,,"",SRS18699564,SAMN37123735,simple,7227,Drosophila melanogaster,GSM7730130,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1698651,08,2024,Iwasaki,testis,Ribo_WT1,testis,testis,CT,missing,missing
SRR25741027,10084010,205393190,20,315,SRX21464377,GSM7730131,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP456646,PRJNA1008576,,"",SRS18699563,SAMN37123734,simple,7227,Drosophila melanogaster,GSM7730131,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1698651,08,2024,Iwasaki,testis,Ribo_WT2,testis,testis,CT,missing,missing
SRR25741026,5100410,114399153,22,164,SRX21464378,GSM7730132,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP456646,PRJNA1008576,,"",SRS18699566,SAMN37123733,simple,7227,Drosophila melanogaster,GSM7730132,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1698651,08,2024,Iwasaki,testis,Ribo_KO1,testis,testis,Mettl1-KO,missing,missing
SRR25741025,9344956,227336742,24,304,SRX21464379,GSM7730133,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP456646,PRJNA1008576,,"",SRS18699567,SAMN37123732,simple,7227,Drosophila melanogaster,GSM7730133,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1698651,08,2024,Iwasaki,testis,Ribo_KO2,testis,testis,Mettl1-KO,missing,missing
SRR25741024,53942957,15187369863,143,7924,SRX21464380,GSM7730134,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP456646,PRJNA1008576,,"",SRS18699568,SAMN37123731,simple,7227,Drosophila melanogaster,GSM7730134,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1698651,08,2024,Iwasaki,testis,RNA_WT1,testis,testis,CT,missing,missing
SRR25741023,47647297,13368762463,142,6858,SRX21464381,GSM7730135,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP456646,PRJNA1008576,,"",SRS18699569,SAMN37123730,simple,7227,Drosophila melanogaster,GSM7730135,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1698651,08,2024,Iwasaki,testis,RNA_WT2,testis,testis,CT,missing,missing
SRR25741022,46137074,13014691881,143,6732,SRX21464382,GSM7730136,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP456646,PRJNA1008576,,"",SRS18699570,SAMN37123729,simple,7227,Drosophila melanogaster,GSM7730136,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1698651,08,2024,Iwasaki,testis,RNA_KO1,testis,testis,Mettl1-KO,missing,missing
SRR25741021,50183885,14145369748,143,7206,SRX21464383,GSM7730137,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP456646,PRJNA1008576,,"",SRS18699571,SAMN37123728,simple,7227,Drosophila melanogaster,GSM7730137,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1698651,08,2024,Iwasaki,testis,RNA_KO2,testis,testis,Mettl1-KO,missing,missing
SRR28962289,61468315,1709317284,27,1898,SRX24491859,GSM8257723,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP456646,PRJNA1008576,,"",SRS21241021,SAMN41260420,simple,7227,Drosophila melanogaster,GSM8257723,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,testis,Ribo_testis_WT1_2,testis,testis,CT,missing,missing
SRR28962288,48399202,1262234895,26,1471,SRX24491860,GSM8257724,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP456646,PRJNA1008576,,"",SRS21241022,SAMN41260419,simple,7227,Drosophila melanogaster,GSM8257724,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,testis,Ribo_testis_WT2_2,testis,testis,CT,missing,missing
SRR28962287,45913091,1276232702,27,1418,SRX24491861,GSM8257725,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP456646,PRJNA1008576,,"",SRS21241023,SAMN41260418,simple,7227,Drosophila melanogaster,GSM8257725,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,testis,Ribo_testis_KO1_2,testis,testis,Mettl1-KO,missing,missing
SRR28962286,37945045,1013526536,26,1158,SRX24491862,GSM8257726,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP456646,PRJNA1008576,,"",SRS21241024,SAMN41260417,simple,7227,Drosophila melanogaster,GSM8257726,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,testis,Ribo_testis_KO2_2,testis,testis,Mettl1-KO,missing,missing
SRR28962285,34925884,3335177004,95,1025,SRX24491863,GSM8257727,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456646,PRJNA1008576,,"",SRS21241025,SAMN41260416,simple,7227,Drosophila melanogaster,GSM8257727,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,testis,RNA_testis_WT1_2,testis,testis,CT,missing,missing
