Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,strain,GEO Accession
SRR15712977,15449556,646171445,41,215,SRX12008575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP335571,PRJNA760480,,"",SRS10014722,SAMN21216046,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556736,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RNASeq_EV1,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T,PAO1,GSM5556736
SRR15712978,7178311,300365933,41,102,SRX12008576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP335571,PRJNA760480,,"",SRS10014723,SAMN21216047,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556737,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RNASeq_EV2,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T,PAO1,GSM5556737
SRR15712979,17613853,729751321,41,248,SRX12008577,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP335571,PRJNA760480,,"",SRS10014726,SAMN21216048,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556738,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RNASeq_PleD1,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T:pleD*,PAO1,GSM5556738
SRR15712980,15969684,668651258,41,224,SRX12008578,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP335571,PRJNA760480,,"",SRS10014724,SAMN21216049,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556739,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RNASeq_PleD2,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T:pleD*,PAO1,GSM5556739
SRR15712981,39027821,1990418871,51,1342,SRX12008579,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP335571,PRJNA760480,,"",SRS10014725,SAMN21216050,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556740,GEO,SRA1288536,09,2024,"",Ribo-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RiboSeq_EV1,Ribo-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T,PAO1,GSM5556740
SRR15712982,39482402,2013602502,51,1374,SRX12008580,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP335571,PRJNA760480,,"",SRS10014727,SAMN21216051,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556741,GEO,SRA1288536,09,2024,"",Ribo-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RiboSeq_EV2,Ribo-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T,PAO1,GSM5556741
SRR15712983,34233249,1745895699,51,1179,SRX12008581,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP335571,PRJNA760480,,"",SRS10014729,SAMN21216052,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556742,GEO,SRA1288536,09,2024,"",Ribo-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RiboSeq_PleD1,Ribo-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T:pleD*,PAO1,GSM5556742
SRR15712984,38449863,1960943013,51,1342,SRX12008582,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP335571,PRJNA760480,,"",SRS10014731,SAMN21216053,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556743,GEO,SRA1288536,09,2024,"",Ribo-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RiboSeq_PleD2,Ribo-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T:pleD*,PAO1,GSM5556743
SRR15712985,10686798,1004559012,43,298,SRX12008583,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP335571,PRJNA760480,,"",SRS10014728,SAMN21216054,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556744,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RNASeq_EV1_repetition,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T,PAO1,GSM5556744
SRR15712986,13985041,1314593854,43,389,SRX12008584,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP335571,PRJNA760480,,"",SRS10014732,SAMN21216055,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556745,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RNASeq_EV2_repetition,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T,PAO1,GSM5556745
