Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,fraction,geo_loc_name,collection_date
SRR23828877,38771861,2520170965,65,996,SRX19650576,GSM7093018,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019228,SAMN33736331,simple,9606,Homo sapiens,GSM7093018,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 0hr, transcription, rep1",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 0 hr,Total RNA,missing,missing
SRR23828876,31862895,2071088175,65,821,SRX19650577,GSM7093019,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019229,SAMN33736330,simple,9606,Homo sapiens,GSM7093019,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 5hr, transcription, rep1",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 5hr,Total RNA,missing,missing
SRR23828875,33992234,2209495210,65,872,SRX19650578,GSM7093020,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019230,SAMN33736329,simple,9606,Homo sapiens,GSM7093020,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 10hr, transcription, rep1",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 10hr,Total RNA,missing,missing
SRR23828874,26858919,1745829735,65,689,SRX19650579,GSM7093021,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019231,SAMN33736328,simple,9606,Homo sapiens,GSM7093021,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 15hr, transcription, rep1",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 15hr,Total RNA,missing,missing
SRR23828873,32526231,2114205015,65,833,SRX19650580,GSM7093022,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019232,SAMN33736327,simple,9606,Homo sapiens,GSM7093022,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 0hr, transcription, rep2",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 0 hr,Total RNA,missing,missing
SRR23828872,30589284,1988303460,65,787,SRX19650581,GSM7093023,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019233,SAMN33736326,simple,9606,Homo sapiens,GSM7093023,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 5hr, transcription, rep2",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 5hr,Total RNA,missing,missing
SRR23828871,28975194,1883387610,65,740,SRX19650582,GSM7093024,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019235,SAMN33736325,simple,9606,Homo sapiens,GSM7093024,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 10hr, transcription, rep2",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 10hr,Total RNA,missing,missing
SRR23828870,23155058,1505078770,65,592,SRX19650583,GSM7093025,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019234,SAMN33736324,simple,9606,Homo sapiens,GSM7093025,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 15hr, transcription, rep2",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 15hr,Total RNA,missing,missing
SRR23828869,36454188,2369522220,65,934,SRX19650584,GSM7093026,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019236,SAMN33736323,simple,9606,Homo sapiens,GSM7093026,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 0hr, transcription, rep3",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 0 hr,Total RNA,missing,missing
SRR23828868,33278242,2163085730,65,852,SRX19650585,GSM7093027,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019237,SAMN33736322,simple,9606,Homo sapiens,GSM7093027,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 5hr, transcription, rep3",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 5hr,Total RNA,missing,missing
SRR23828867,27257614,1771744910,65,699,SRX19650586,GSM7093028,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019238,SAMN33736321,simple,9606,Homo sapiens,GSM7093028,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 10hr, transcription, rep3",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 10hr,Total RNA,missing,missing
SRR23828866,29461548,1915000620,65,755,SRX19650587,GSM7093029,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019239,SAMN33736320,simple,9606,Homo sapiens,GSM7093029,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 15hr, transcription, rep3",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 15hr,Total RNA,missing,missing
SRR23828865,35637000,2316405000,65,914,SRX19650588,GSM7093030,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019240,SAMN33736319,simple,9606,Homo sapiens,GSM7093030,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 0hr, transcription, rep4",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 0 hr,Total RNA,missing,missing
SRR23828864,31152947,2024941555,65,797,SRX19650589,GSM7093031,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019241,SAMN33736318,simple,9606,Homo sapiens,GSM7093031,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 5hr, transcription, rep4",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 5hr,Total RNA,missing,missing
SRR23828863,26575262,1727392030,65,685,SRX19650590,GSM7093032,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019242,SAMN33736317,simple,9606,Homo sapiens,GSM7093032,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 10hr, transcription, rep4",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 10hr,Total RNA,missing,missing
SRR23828862,26641673,1731708745,65,692,SRX19650591,GSM7093033,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019243,SAMN33736316,simple,9606,Homo sapiens,GSM7093033,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 15hr, transcription, rep4",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 15hr,Total RNA,missing,missing
SRR23828861,57208751,3718568815,65,1457,SRX19650592,GSM7093034,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019244,SAMN33736315,simple,9606,Homo sapiens,GSM7093034,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 0hr, translation, rep1",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 0 hr,Ribosome protected RNA fragments,missing,missing
SRR23828860,65657879,4267762135,65,1658,SRX19650593,GSM7093035,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019245,SAMN33736314,simple,9606,Homo sapiens,GSM7093035,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 5hr, translation, rep1",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 5hr,Ribosome protected RNA fragments,missing,missing
SRR23828859,55928706,3635365890,65,1406,SRX19650594,GSM7093036,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019246,SAMN33736313,simple,9606,Homo sapiens,GSM7093036,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 10hr, translation, rep1",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 10hr,Ribosome protected RNA fragments,missing,missing
SRR23828858,55505134,3607833710,65,1409,SRX19650595,GSM7093037,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019247,SAMN33736312,simple,9606,Homo sapiens,GSM7093037,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 15hr, translation, rep1",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 15hr,Ribosome protected RNA fragments,missing,missing
SRR23828857,51481869,3346321485,65,1297,SRX19650596,GSM7093038,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019248,SAMN33736311,simple,9606,Homo sapiens,GSM7093038,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 0hr, translation, rep2",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 0 hr,Ribosome protected RNA fragments,missing,missing
SRR23828856,56762510,3689563150,65,1444,SRX19650597,GSM7093039,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019249,SAMN33736310,simple,9606,Homo sapiens,GSM7093039,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 5hr, translation, rep2",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 5hr,Ribosome protected RNA fragments,missing,missing
SRR23828855,68667701,4463400565,65,1738,SRX19650598,GSM7093040,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019250,SAMN33736309,simple,9606,Homo sapiens,GSM7093040,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 10hr, translation, rep2",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 10hr,Ribosome protected RNA fragments,missing,missing
SRR23828854,64652810,4202432650,65,1640,SRX19650599,GSM7093041,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019251,SAMN33736308,simple,9606,Homo sapiens,GSM7093041,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 15hr, translation, rep2",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 15hr,Ribosome protected RNA fragments,missing,missing
SRR23828853,52381983,3404828895,65,1346,SRX19650600,GSM7093042,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019252,SAMN33736307,simple,9606,Homo sapiens,GSM7093042,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 0hr, translation, rep3",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 0 hr,Ribosome protected RNA fragments,missing,missing
SRR23828852,55767014,3624855910,65,1419,SRX19650601,GSM7093043,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019253,SAMN33736306,simple,9606,Homo sapiens,GSM7093043,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 5hr, translation, rep3",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 5hr,Ribosome protected RNA fragments,missing,missing
SRR23828851,55363227,3598609755,65,1399,SRX19650602,GSM7093044,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019254,SAMN33736305,simple,9606,Homo sapiens,GSM7093044,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 10hr, translation, rep3",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 10hr,Ribosome protected RNA fragments,missing,missing
SRR23828850,76825532,4993659580,65,1953,SRX19650603,GSM7093045,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019255,SAMN33736304,simple,9606,Homo sapiens,GSM7093045,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 15hr, translation, rep3",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 15hr,Ribosome protected RNA fragments,missing,missing
SRR23828849,59674491,3878841915,65,1508,SRX19650604,GSM7093046,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019256,SAMN33736303,simple,9606,Homo sapiens,GSM7093046,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 0hr, translation, rep4",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 0 hr,Ribosome protected RNA fragments,missing,missing
SRR23828848,63183354,4106918010,65,1599,SRX19650605,GSM7093047,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019257,SAMN33736302,simple,9606,Homo sapiens,GSM7093047,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 5hr, translation, rep4",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 5hr,Ribosome protected RNA fragments,missing,missing
SRR23828847,54078240,3515085600,65,1375,SRX19650606,GSM7093048,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426981,PRJNA944112,,"",SRS17019258,SAMN33736301,simple,9606,Homo sapiens,GSM7093048,"Department of Oncological Sciences, University of Utah",SRA1604127,03,2024,Edgar,human RPE-1,"RPE-1 cells, 10hr, translation, rep4",human RPE-1,human RPE-1,retinal pigment epithelial cells,WT,Serum stimulation for 10hr,Ribosome protected RNA fragments,missing,missing
