Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,age,collection_date,ecotype,geo_loc_name,replicate,tissue,BioSampleModel
DRR495762,63213301,3160665050,50,2429,DRX479933,zt0_1_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369148,SAMD00621642,simple,3702,Arabidopsis thaliana,SAMD00621642,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt0_1,zt0_1,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 1,whole shoot,Plant
DRR495763,60668334,3033416700,50,2339,DRX479934,zt0_2_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369149,SAMD00621643,simple,3702,Arabidopsis thaliana,SAMD00621643,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt0_2,zt0_2,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 2,whole shoot,Plant
DRR495764,67521303,3376065150,50,2630,DRX479935,zt3_1_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369150,SAMD00621644,simple,3702,Arabidopsis thaliana,SAMD00621644,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt3_1,zt3_1,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 1,whole shoot,Plant
DRR495765,62915563,3145778150,50,2413,DRX479936,zt3_2_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369151,SAMD00621645,simple,3702,Arabidopsis thaliana,SAMD00621645,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt3_2,zt3_2,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 2,whole shoot,Plant
DRR495766,110066518,5503325900,50,4272,DRX479937,zt6_1_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369152,SAMD00621646,simple,3702,Arabidopsis thaliana,SAMD00621646,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt6_1,zt6_1,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 1,whole shoot,Plant
DRR495767,101903359,5095167950,50,3918,DRX479938,zt6_2_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369153,SAMD00621647,simple,3702,Arabidopsis thaliana,SAMD00621647,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt6_2,zt6_2,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 2,whole shoot,Plant
DRR495768,65894005,3294700250,50,2568,DRX479939,zt12_1_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369154,SAMD00621648,simple,3702,Arabidopsis thaliana,SAMD00621648,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt12_1,zt12_1,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 1,whole shoot,Plant
DRR495769,110234822,5511741100,50,4273,DRX479940,zt12_2_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369155,SAMD00621649,simple,3702,Arabidopsis thaliana,SAMD00621649,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt12_2,zt12_2,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 2,whole shoot,Plant
DRR495770,65398648,3269932400,50,2508,DRX479941,zt18_1_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369156,SAMD00621650,simple,3702,Arabidopsis thaliana,SAMD00621650,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt18_1,zt18_1,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 1,whole shoot,Plant
DRR495771,65027386,3251369300,50,2483,DRX479942,zt18_2_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369157,SAMD00621651,simple,3702,Arabidopsis thaliana,SAMD00621651,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt18_2,zt18_2,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 2,whole shoot,Plant
DRR495772,68972314,3448615700,50,2633,DRX479943,zt21_1_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369158,SAMD00621652,simple,3702,Arabidopsis thaliana,SAMD00621652,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt21_1,zt21_1,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 1,whole shoot,Plant
