Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR27792469,111702833,11281986133,101,3183,SRX23456115,GSM8047406,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486950,PRJNA1071161,,"",SRS20309146,SAMN39681321,simple,9606,Homo sapiens,GSM8047406,UCSF,SRA1794748,10,2024,Aghi,Bone,RNAseq_KO_DMSO_Rep1,Bone,Bone,U-2OS,epithelial,"G3BP1/2 KO, G3BP deletions by CRISPR Cas9 machinery (doi: 10.1083/jcb.201508028)",DMSO for 2 hours,missing,missing
SRR27792468,94237875,9518025375,101,2731,SRX23456116,GSM8047407,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486950,PRJNA1071161,,"",SRS20309147,SAMN39681320,simple,9606,Homo sapiens,GSM8047407,UCSF,SRA1794748,10,2024,Aghi,Bone,RNAseq_KO_DMSO_Rep2,Bone,Bone,U-2OS,epithelial,"G3BP1/2 KO, G3BP deletions by CRISPR Cas9 machinery (doi: 10.1083/jcb.201508028)",DMSO for 2 hours,missing,missing
SRR27792467,89316675,9020984175,101,2572,SRX23456117,GSM8047408,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486950,PRJNA1071161,,"",SRS20309148,SAMN39681319,simple,9606,Homo sapiens,GSM8047408,UCSF,SRA1794748,10,2024,Aghi,Bone,RNAseq_G3BP2B_DMSO_Rep1,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP2B WT,DMSO for 2 hours,missing,missing
SRR27792466,109634675,11073102175,101,3219,SRX23456118,GSM8047409,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486950,PRJNA1071161,,"",SRS20309149,SAMN39681318,simple,9606,Homo sapiens,GSM8047409,UCSF,SRA1794748,10,2024,Aghi,Bone,RNAseq_G3BP2B_DMSO_Rep2,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP2B WT,DMSO for 2 hours,missing,missing
SRR27792465,121786604,12300447004,101,3628,SRX23456119,GSM8047410,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486950,PRJNA1071161,,"",SRS20309151,SAMN39681317,simple,9606,Homo sapiens,GSM8047410,UCSF,SRA1794748,10,2024,Aghi,Bone,RNAseq_V11A_DMSO_Rep1,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP2B V11A,DMSO for 2 hours,missing,missing
SRR27792464,101049615,10206011115,101,2914,SRX23456120,GSM8047411,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486950,PRJNA1071161,,"",SRS20309150,SAMN39681316,simple,9606,Homo sapiens,GSM8047411,UCSF,SRA1794748,10,2024,Aghi,Bone,RNAseq_V11A_DMSO_Rep2,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP2B V11A,DMSO for 2 hours,missing,missing
SRR27792463,102523182,10354841382,101,2957,SRX23456121,GSM8047412,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486950,PRJNA1071161,,"",SRS20309152,SAMN39681315,simple,9606,Homo sapiens,GSM8047412,UCSF,SRA1794748,10,2024,Aghi,Bone,RNAseq_KO_Tg_Rep1,Bone,Bone,U-2OS,epithelial,"G3BP1/2 KO, G3BP deletions by CRISPR Cas9 machinery (doi: 10.1083/jcb.201508028)",Thapsigargin for 2 hours,missing,missing
SRR27792462,118928980,12011826980,101,3407,SRX23456122,GSM8047413,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486950,PRJNA1071161,,"",SRS20309153,SAMN39681314,simple,9606,Homo sapiens,GSM8047413,UCSF,SRA1794748,10,2024,Aghi,Bone,RNAseq_KO_Tg_Rep2,Bone,Bone,U-2OS,epithelial,"G3BP1/2 KO, G3BP deletions by CRISPR Cas9 machinery (doi: 10.1083/jcb.201508028)",Thapsigargin for 2 hours,missing,missing
SRR27792461,108365674,10944933074,101,3125,SRX23456123,GSM8047414,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486950,PRJNA1071161,,"",SRS20309154,SAMN39681313,simple,9606,Homo sapiens,GSM8047414,UCSF,SRA1794748,10,2024,Aghi,Bone,RNAseq_G3BP2B_Tg_Rep1,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP2B WT,Thapsigargin for 2 hours,missing,missing
SRR27792460,128710127,12999722827,101,3812,SRX23456124,GSM8047415,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486950,PRJNA1071161,,"",SRS20309155,SAMN39681312,simple,9606,Homo sapiens,GSM8047415,UCSF,SRA1794748,10,2024,Aghi,Bone,RNAseq_G3BP2B_Tg_Rep2,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP2B WT,Thapsigargin for 2 hours,missing,missing
