Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,collection_date,env_broad_scale,env_local_scale,env_medium,geo_loc_name,isol_growth_condt,lat_lon,BioSampleModel
SRR26453736,45792039,2335393989,51,1047,SRX22157951,BY4741_NAA25_GFP_total_rep1,miRNA-Seq,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP467583,PRJNA1030163,,"",SRS19216908,SAMN37890218,simple,1247190,Saccharomyces cerevisiae BY4741,BY4741_NAA25_GFP_total_rep1_AS-155812-LR-22483_R1.fastq,"Technion, Israel institute of technology",SRA1736195,10,2023,Shiber,"","",BY4741_NAA25_GFP_total_rep1,n/a,n/a,n/a,YPD,n/a,n/a,n/a,MIGS.eu
SRR26453735,45085973,2299384623,51,1066,SRX22157952,BY4741_NAA25_GFP_total_rep2,miRNA-Seq,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP467583,PRJNA1030163,,"",SRS19216909,SAMN37890217,simple,1247190,Saccharomyces cerevisiae BY4741,BY4741_NAA25_GFP_total_rep2_AS-155812-LR-22484_R1.fastq,"Technion, Israel institute of technology",SRA1736195,10,2023,Shiber,"","",BY4741_NAA25_GFP_total_rep2,n/a,n/a,n/a,YPD,n/a,n/a,n/a,MIGS.eu
SRR26453734,7406044,377708244,51,196,SRX22157953,BY4741_NAA10-GFP_total_rep1,miRNA-Seq,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP467583,PRJNA1030163,,"",SRS19216910,SAMN37890227,simple,1247190,Saccharomyces cerevisiae BY4741,BY4741_NAA10-GFP_total_rep1_AS-168690-LR-26561_R1.fastq,"Technion, Israel institute of technology",SRA1736195,10,2023,Shiber,"","",BY4741_NAA10-GFP_total_rep1,n/a,n/a,n/a,YPD,n/a,n/a,n/a,MIGS.eu
SRR26453733,7407242,377769342,51,194,SRX22157954,BY4741_NAA10-GFP_IP_rep1,miRNA-Seq,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP467583,PRJNA1030163,,"",SRS19216911,SAMN37890228,simple,1247190,Saccharomyces cerevisiae BY4741,BY4741_NAA10-GFP_IP_rep1_AS-168692-LR-26561_R1.fastq,"Technion, Israel institute of technology",SRA1736195,10,2023,Shiber,"","",BY4741_NAA10-GFP_IP_rep1,n/a,n/a,n/a,YPD,n/a,n/a,n/a,MIGS.eu
SRR26453732,45949780,2343438780,51,1111,SRX22157955,BY4741_NAA25_GFP_IP_rep1,miRNA-Seq,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP467583,PRJNA1030163,,"",SRS19216912,SAMN37890220,simple,1247190,Saccharomyces cerevisiae BY4741,BY4741_NAA25_GFP_IP_rep1_AS-155818-LR-22483_R1.fastq,"Technion, Israel institute of technology",SRA1736195,10,2023,Shiber,"","",BY4741_NAA25_GFP_IP_rep1,n/a,n/a,n/a,YPD,n/a,n/a,n/a,MIGS.eu
SRR26453731,45002627,2295133977,51,1126,SRX22157956,BY4741_NAA25_GFP_IP_rep2,miRNA-Seq,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP467583,PRJNA1030163,,"",SRS19216913,SAMN37890219,simple,1247190,Saccharomyces cerevisiae BY4741,BY4741_NAA25_GFP_IP_rep2_AS-155818-LR-22484_R1.fastq,"Technion, Israel institute of technology",SRA1736195,10,2023,Shiber,"","",BY4741_NAA25_GFP_IP_rep2,n/a,n/a,n/a,YPD,n/a,n/a,n/a,MIGS.eu
SRR26453730,8894252,453606852,51,243,SRX22157957,BY4741_NAA20_GFP_total_rep1,miRNA-Seq,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP467583,PRJNA1030163,,"",SRS19216914,SAMN37890221,simple,1247190,Saccharomyces cerevisiae BY4741,BY4741_NAA20_GFP_total_rep1_AS-127103-LR-17683_R1.fastq,"Technion, Israel institute of technology",SRA1736195,10,2023,Shiber,"","",BY4741_NAA20_GFP_total_rep1,n/a,n/a,n/a,YPD,n/a,n/a,n/a,MIGS.eu
SRR26453729,10531510,537107010,51,284,SRX22157958,BY4741_NAA20_GFP_IP_rep1,miRNA-Seq,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP467583,PRJNA1030163,,"",SRS19216915,SAMN37890222,simple,1247190,Saccharomyces cerevisiae BY4741,BY4741_NAA20_GFP_IP_rep1_AS-116441-LR-16869_R1.fastq,"Technion, Israel institute of technology",SRA1736195,10,2023,Shiber,"","",BY4741_NAA20_GFP_IP_rep1,n/a,n/a,n/a,YPD,n/a,n/a,n/a,MIGS.eu
SRR26453728,9137460,466010460,51,232,SRX22157959,BY4741_NAA15_GFP_total_rep1,miRNA-Seq,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP467583,PRJNA1030163,,"",SRS19216916,SAMN37890224,simple,1247190,Saccharomyces cerevisiae BY4741,BY4741_NAA15_GFP_total_rep1_AS-168698-LR-26566_R1.fastq,"Technion, Israel institute of technology",SRA1736195,10,2023,Shiber,"","",BY4741_NAA15_GFP_total_rep1,n/a,n/a,n/a,YPD,n/a,n/a,n/a,MIGS.eu
SRR26453727,8782615,447913365,51,232,SRX22157960,BY4741_NAA15_GFP_total_rep2,miRNA-Seq,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP467583,PRJNA1030163,,"",SRS19216917,SAMN37890223,simple,1247190,Saccharomyces cerevisiae BY4741,BY4741_NAA15_GFP_total_rep2_AS-168698-LR-26565_R1.fastq,"Technion, Israel institute of technology",SRA1736195,10,2023,Shiber,"","",BY4741_NAA15_GFP_total_rep2,n/a,n/a,n/a,YPD,n/a,n/a,n/a,MIGS.eu
