Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,library type,geo_loc_name,collection_date
SRR27177563,3160529,237039675,75,93,SRX22858140,GSM7966611,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833675,SAMN38765421,simple,9606,Homo sapiens,GSM7966611,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1, RNA-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 restored expression in YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177564,14657137,747513987,51,283,SRX22858140,GSM7966611,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833675,SAMN38765421,simple,9606,Homo sapiens,GSM7966611,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1, RNA-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 restored expression in YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177562,31795396,1621565196,51,620,SRX22858141,GSM7966612,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833676,SAMN38765420,simple,9606,Homo sapiens,GSM7966612,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1, RNA-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 & YBX3 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177545,6264188,469814100,75,178,SRX22858142,GSM7966613,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833677,SAMN38765419,simple,9606,Homo sapiens,GSM7966613,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1 + YB-3, Ribo-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 & YBX3 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177546,121384479,6190608429,51,2101,SRX22858142,GSM7966613,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833677,SAMN38765419,simple,9606,Homo sapiens,GSM7966613,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1 + YB-3, Ribo-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 & YBX3 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177560,362084,54312600,150,21,SRX22858143,GSM7966614,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833678,SAMN38765418,simple,9606,Homo sapiens,GSM7966614,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1 + YB-3, Ribo-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 & YBX3 restored expression in YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177561,70868477,3614292327,51,1242,SRX22858143,GSM7966614,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833678,SAMN38765418,simple,9606,Homo sapiens,GSM7966614,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1 + YB-3, Ribo-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX3 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177558,332077,49811550,150,20,SRX22858144,GSM7966615,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833679,SAMN38765417,simple,9606,Homo sapiens,GSM7966615,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1 + YB-3, Ribo-Seq, rep3",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX3 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177559,61156854,3118999554,51,1074,SRX22858144,GSM7966615,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833679,SAMN38765417,simple,9606,Homo sapiens,GSM7966615,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1 + YB-3, Ribo-Seq, rep3",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 & YBX3 restored expression in YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177556,2536916,190268700,75,76,SRX22858145,GSM7966616,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833680,SAMN38765416,simple,9606,Homo sapiens,GSM7966616,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1 + YB-3, RNA-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX3 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177557,10176080,518980080,51,199,SRX22858145,GSM7966616,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833680,SAMN38765416,simple,9606,Homo sapiens,GSM7966616,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1 + YB-3, RNA-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177547,6316525,473739375,75,178,SRX22858146,GSM7966618,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833681,SAMN38765414,simple,9606,Homo sapiens,GSM7966618,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-3, Ribo-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177548,73965847,3772258197,51,1293,SRX22858146,GSM7966618,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833681,SAMN38765414,simple,9606,Homo sapiens,GSM7966618,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-3, Ribo-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177552,337835,50675250,150,19,SRX22858147,GSM7966619,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833682,SAMN38765413,simple,9606,Homo sapiens,GSM7966619,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-3, Ribo-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177553,55395123,2825151273,51,976,SRX22858147,GSM7966619,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833682,SAMN38765413,simple,9606,Homo sapiens,GSM7966619,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-3, Ribo-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
