Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,age,genotype,GEO Accession
SRR14736215,5827140,297184140,51,117,SRX11070925,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322751,PRJNA735236,35357974,"",SRS9137342,SAMN19573035,simple,9606,Homo sapiens,GSM5359573,GEO,SRA1240873,12,2024,Braun,Brain microvascular endothelial cells,BMEC-2A2_1,Brain microvascular endothelial cells,P3,MCT8 P321L-corr,GSM5359573
SRR14736216,9999001,509949051,51,199,SRX11070926,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322751,PRJNA735236,35357974,"",SRS9137343,SAMN19573034,simple,9606,Homo sapiens,GSM5359574,GEO,SRA1240873,12,2024,Braun,Brain microvascular endothelial cells,BMEC-2A2_2,Brain microvascular endothelial cells,P3,MCT8 P321L-corr,GSM5359574
SRR14736217,11280491,575305041,51,224,SRX11070927,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322751,PRJNA735236,35357974,"",SRS9137344,SAMN19573032,simple,9606,Homo sapiens,GSM5359575,GEO,SRA1240873,12,2024,Braun,Brain microvascular endothelial cells,BMEC-CR5_1,Brain microvascular endothelial cells,P3,MCT8-delEx,GSM5359575
SRR14736218,10942034,558043734,51,219,SRX11070928,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322751,PRJNA735236,35357974,"",SRS9137345,SAMN19573030,simple,9606,Homo sapiens,GSM5359576,GEO,SRA1240873,12,2024,Braun,Brain microvascular endothelial cells,BMEC-CR5_2,Brain microvascular endothelial cells,P3,MCT8-delEx,GSM5359576
SRR14736219,12082696,616217496,51,242,SRX11070929,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322751,PRJNA735236,35357974,"",SRS9137346,SAMN19573029,simple,9606,Homo sapiens,GSM5359577,GEO,SRA1240873,12,2024,Braun,Brain microvascular endothelial cells,BMEC-CS01_1,Brain microvascular endothelial cells,P3,MCT8 P321L,GSM5359577
SRR14736220,10264011,523464561,51,205,SRX11070930,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322751,PRJNA735236,35357974,"",SRS9137347,SAMN19573027,simple,9606,Homo sapiens,GSM5359578,GEO,SRA1240873,12,2024,Braun,Brain microvascular endothelial cells,BMEC-CS01_2,Brain microvascular endothelial cells,P3,MCT8 P321L,GSM5359578
SRR14736221,8863975,452062725,51,177,SRX11070931,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322751,PRJNA735236,35357974,"",SRS9137348,SAMN19573026,simple,9606,Homo sapiens,GSM5359579,GEO,SRA1240873,12,2024,Braun,Brain microvascular endothelial cells,BMEC-CS03_1,Brain microvascular endothelial cells,P3,MCT8 WT,GSM5359579
SRR14736222,9891555,504469305,51,197,SRX11070932,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322751,PRJNA735236,35357974,"",SRS9137349,SAMN19573024,simple,9606,Homo sapiens,GSM5359580,GEO,SRA1240873,12,2024,Braun,Brain microvascular endothelial cells,BMEC-CS03_2,Brain microvascular endothelial cells,P3,MCT8 WT,GSM5359580
SRR14736223,10427670,531811170,51,209,SRX11070933,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322751,PRJNA735236,35357974,"",SRS9137350,SAMN19573022,simple,9606,Homo sapiens,GSM5359581,GEO,SRA1240873,12,2024,Braun,Brain microvascular endothelial cells,BMEC-CS06_1,Brain microvascular endothelial cells,P3,MCT8 S194F,GSM5359581
SRR14736224,8508963,433957113,51,170,SRX11070934,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322751,PRJNA735236,35357974,"",SRS9137351,SAMN19573021,simple,9606,Homo sapiens,GSM5359582,GEO,SRA1240873,12,2024,Braun,Brain microvascular endothelial cells,BMEC-CS06_2,Brain microvascular endothelial cells,P3,MCT8 S194F,GSM5359582
