Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,chip antibody,treatment,geo_loc_name,collection_date
SRR23725108,41740689,2754885474,66,1033,SRX19585732,GSM7083693,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968608,SAMN33610376,simple,9606,Homo sapiens,GSM7083693,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE,RPE_Pol II-Ser2P [0404],RPE,RPE,Retinal Pigment Epithelial,"Pol II-Ser2P(CMA602), kindly provided by Dr. H Kimura (TITech)",Late G1,missing,missing
SRR23725107,46199452,3049163832,66,1162,SRX19585733,GSM7083692,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968609,SAMN33610377,simple,9606,Homo sapiens,GSM7083692,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE,RPE_Pol II [0404],RPE,RPE,Retinal Pigment Epithelial,"Pol II(CMA601), kindly provided by Dr. H Kimura (TITech)",Late G1,missing,missing
SRR23725106,37585792,2480662272,66,935,SRX19585734,GSM7083691,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968611,SAMN33610378,simple,9606,Homo sapiens,GSM7083691,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE,RPE_H3K27ac1 [0404],RPE,RPE,Retinal Pigment Epithelial,"H3K27ac1(CMA309), kindly provided by Dr. H Kimura (TITech)",Late G1,missing,missing
SRR23725105,31347340,2068924440,66,802,SRX19585735,GSM7083690,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968610,SAMN33610379,simple,9606,Homo sapiens,GSM7083690,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE,RPE_H3K4me3 [0404],RPE,RPE,Retinal Pigment Epithelial,"H3K4me3(CMA304), kindly provided by Dr. H Kimura (TITech)",Late G1,missing,missing
SRR23725104,30349458,2003064228,66,748,SRX19585736,GSM7083689,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968612,SAMN33610380,simple,9606,Homo sapiens,GSM7083689,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE,RPE_Input [0127],RPE,RPE,Retinal Pigment Epithelial,none,Late G1,missing,missing
SRR23725103,32601889,2151724674,66,808,SRX19585737,GSM7083688,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968613,SAMN33610381,simple,9606,Homo sapiens,GSM7083688,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE,RPE_CK2 Late [0127],RPE,RPE,Retinal Pigment Epithelial,"CK2 (Abcam, ab#70774)",Late G1,missing,missing
SRR23725102,31502586,2079170676,66,806,SRX19585738,GSM7083699,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968614,SAMN33610370,simple,9606,Homo sapiens,GSM7083699,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE,RPE_H3K4me3 [0420],RPE,RPE,Retinal Pigment Epithelial,"H3K4me3(CMA304), kindly provided by Dr. H Kimura (TITech)",Early G1,missing,missing
SRR23725101,35313753,2330707698,66,854,SRX19585739,GSM7083698,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968615,SAMN33610371,simple,9606,Homo sapiens,GSM7083698,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE,RPE_Input [0414],RPE,RPE,Retinal Pigment Epithelial,none,Early G1,missing,missing
SRR23725100,36194040,2388806640,66,881,SRX19585740,GSM7083697,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968616,SAMN33610372,simple,9606,Homo sapiens,GSM7083697,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE,RPE_CK2 Early [0414],RPE,RPE,Retinal Pigment Epithelial,"CK2 (Abcam, ab#70774)",Early G1,missing,missing
SRR23725099,33947302,2240521932,66,839,SRX19585741,GSM7083696,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968617,SAMN33610373,simple,9606,Homo sapiens,GSM7083696,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE-CK3 deficient,RPE_KO_Input [0127],RPE-CK3 deficient,RPE-CK3 deficient,Retinal Pigment Epithelial,none,Late G1,missing,missing
SRR23725098,39846071,2629840686,66,815,SRX19585742,GSM7083695,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968618,SAMN33610374,simple,9606,Homo sapiens,GSM7083695,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE-CK2 deficient,RPE-KO_CK2 [0127],RPE-CK2 deficient,RPE-CK2 deficient,Retinal Pigment Epithelial,"CK2 (Abcam, ab#70774)",Late G1,missing,missing
SRR23725097,37105107,2448937062,66,906,SRX19585743,GSM7083694,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968619,SAMN33610375,simple,9606,Homo sapiens,GSM7083694,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE,RPE_Input [0404],RPE,RPE,Retinal Pigment Epithelial,none,Late G1,missing,missing
SRR23725096,36706036,2422598376,66,905,SRX19585744,GSM7083700,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968620,SAMN33610369,simple,9606,Homo sapiens,GSM7083700,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE,RPE_H3K27ac1 [0420],RPE,RPE,Retinal Pigment Epithelial,"H3K27ac1(CMA309), kindly provided by Dr. H Kimura (TITech)",Early G1,missing,missing
SRR23725095,36245251,2392186566,66,896,SRX19585745,GSM7083701,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP426070,PRJNA941788,,"",SRS16968621,SAMN33610368,simple,9606,Homo sapiens,GSM7083701,"Institute of Biosignal Transduction, Biomolecular Sciences, Fukushima Medcial University Sch Medicine",SRA1601533,10,2023,Homma,RPE,RPE_Pol II [0420],RPE,RPE,Retinal Pigment Epithelial,"Pol II(CMA601), kindly provided by Dr. H Kimura (TITech)",Early G1,missing,missing
