Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,geo_loc_name,collection_date
SRR29385983,5339716,800957400,150,220,SRX24900045,GSM8325891,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606279,SAMN41812997,simple,9606,Homo sapiens,GSM8325891,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,AAVS1_KO_RNA_rep1,HEK293T,HEK293T,AAVS1_KO,missing,missing
SRR29385982,7812032,1171804800,150,320,SRX24900046,GSM8325892,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606280,SAMN41812996,simple,9606,Homo sapiens,GSM8325892,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,PARK7_KO_RNA_rep1,HEK293T,HEK293T,PARK7_KO,missing,missing
SRR29385981,7916255,1187438250,150,323,SRX24900047,GSM8325893,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606281,SAMN41812995,simple,9606,Homo sapiens,GSM8325893,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,VIM_KO_RNA_rep1,HEK293T,HEK293T,VIM_KO,missing,missing
SRR29385980,6963433,1044514950,150,286,SRX24900048,GSM8325894,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606282,SAMN41812994,simple,9606,Homo sapiens,GSM8325894,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,USP42_KO_RNA_rep1,HEK293T,HEK293T,USP42_KO,missing,missing
SRR29385979,10118219,1517732850,150,415,SRX24900049,GSM8325895,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606283,SAMN41812993,simple,9606,Homo sapiens,GSM8325895,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,AAVS1_KO_RNA_rep2,HEK293T,HEK293T,AAVS1_KO,missing,missing
SRR29385978,8991493,1348723950,150,367,SRX24900050,GSM8325896,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606284,SAMN41812992,simple,9606,Homo sapiens,GSM8325896,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,PARK7_KO_RNA_rep2,HEK293T,HEK293T,PARK7_KO,missing,missing
SRR29385977,8236484,1235472600,150,337,SRX24900051,GSM8325897,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606285,SAMN41812991,simple,9606,Homo sapiens,GSM8325897,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,VIM_KO_RNA_rep2,HEK293T,HEK293T,VIM_KO,missing,missing
SRR29385976,9708197,1456229550,150,399,SRX24900052,GSM8325898,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606286,SAMN41812990,simple,9606,Homo sapiens,GSM8325898,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,USP42_KO_RNA_rep2,HEK293T,HEK293T,USP42_KO,missing,missing
SRR29385975,6694602,1004190300,150,272,SRX24900053,GSM8325899,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606287,SAMN41812989,simple,9606,Homo sapiens,GSM8325899,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,AAVS1_KO_RNA_rep3,HEK293T,HEK293T,AAVS1_KO,missing,missing
SRR29385974,10756620,1613493000,150,444,SRX24900054,GSM8325900,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606288,SAMN41812988,simple,9606,Homo sapiens,GSM8325900,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,PARK7_KO_RNA_rep3,HEK293T,HEK293T,PARK7_KO,missing,missing
