Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,treatment,geo_loc_name,collection_date,strain
SRR27779142,761833,220931570,140,92,SRX23444032,GSM8045620,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486704,PRJNA1070981,,"",SRS20297375,SAMN39667408,simple,546342,Staphylococcus aureus subsp. aureus str. JKD6008,GSM8045620,"Tree lab, School of Biotechnology and Biomolecular Sciences, University of New South Wales",SRA1794338,03,2024,Tree,"strain JKD6008 (vancomycin intermediate, VISA)",JKD6008_untagged_bkg_1,"strain JKD6008 (vancomycin intermediate, VISA)","strain JKD6008 (vancomycin intermediate, VISA)",VISA,untagged_background_control_1,missing,missing,JKD6008
SRR27779141,2922602,844631978,139,347,SRX23444033,GSM8045621,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486704,PRJNA1070981,,"",SRS20297374,SAMN39667407,simple,546342,Staphylococcus aureus subsp. aureus str. JKD6008,GSM8045621,"Tree lab, School of Biotechnology and Biomolecular Sciences, University of New South Wales",SRA1794338,03,2024,Tree,"strain JKD6008 (vancomycin intermediate, VISA)",JKD6008_untagged_bkg_2,"strain JKD6008 (vancomycin intermediate, VISA)","strain JKD6008 (vancomycin intermediate, VISA)",VISA,untagged_background_control_2,missing,missing,JKD6008
SRR27779140,1182373,342888170,140,138,SRX23444034,GSM8045622,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486704,PRJNA1070981,,"",SRS20297378,SAMN39667406,simple,546342,Staphylococcus aureus subsp. aureus str. JKD6008,GSM8045622,"Tree lab, School of Biotechnology and Biomolecular Sciences, University of New South Wales",SRA1794338,03,2024,Tree,"strain JKD6008 (vancomycin intermediate, VISA)",JKD6008_untagged_bkg_3,"strain JKD6008 (vancomycin intermediate, VISA)","strain JKD6008 (vancomycin intermediate, VISA)",VISA,untagged_background_control_3,missing,missing,JKD6008
SRR27779139,6267296,1811248544,139,739,SRX23444035,GSM8045623,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486704,PRJNA1070981,,"",SRS20297376,SAMN39667405,simple,546342,Staphylococcus aureus subsp. aureus str. JKD6008,GSM8045623,"Tree lab, School of Biotechnology and Biomolecular Sciences, University of New South Wales",SRA1794338,03,2024,Tree,"strain JKD6008 (vancomycin intermediate, VISA)",JKD6008_untagged_bkg_4,"strain JKD6008 (vancomycin intermediate, VISA)","strain JKD6008 (vancomycin intermediate, VISA)",VISA,untagged_background_control_4,missing,missing,JKD6008
SRR27779138,7442405,2150855045,139,885,SRX23444036,GSM8045624,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486704,PRJNA1070981,,"",SRS20297377,SAMN39667404,simple,546342,Staphylococcus aureus subsp. aureus str. JKD6008,GSM8045624,"Tree lab, School of Biotechnology and Biomolecular Sciences, University of New South Wales",SRA1794338,03,2024,Tree,"strain JKD6008 (vancomycin intermediate, VISA)",RNaseIII-CLASH_no_treatment_1,"strain JKD6008 (vancomycin intermediate, VISA)","strain JKD6008 (vancomycin intermediate, VISA)",VISA,no treatment,missing,missing,JKD6008
SRR27779137,71000969,20519280041,139,8114,SRX23444037,GSM8045625,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486704,PRJNA1070981,,"",SRS20297379,SAMN39667403,simple,546342,Staphylococcus aureus subsp. aureus str. JKD6008,GSM8045625,"Tree lab, School of Biotechnology and Biomolecular Sciences, University of New South Wales",SRA1794338,03,2024,Tree,"strain JKD6008 (vancomycin intermediate, VISA)",RNaseIII-CLASH_no_treatment_2,"strain JKD6008 (vancomycin intermediate, VISA)","strain JKD6008 (vancomycin intermediate, VISA)",VISA,no treatment,missing,missing,JKD6008
SRR27779136,52454775,15316794300,142,6100,SRX23444038,GSM8045626,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486704,PRJNA1070981,,"",SRS20297381,SAMN39667402,simple,546342,Staphylococcus aureus subsp. aureus str. JKD6008,GSM8045626,"Tree lab, School of Biotechnology and Biomolecular Sciences, University of New South Wales",SRA1794338,03,2024,Tree,"strain JKD6008 (vancomycin intermediate, VISA)",RNaseIII-CLASH_vancomycin_1,"strain JKD6008 (vancomycin intermediate, VISA)","strain JKD6008 (vancomycin intermediate, VISA)",VISA,2ug/ml vancomycin for 10mins,missing,missing,JKD6008
SRR27779135,61051418,17765962638,141,7192,SRX23444039,GSM8045627,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486704,PRJNA1070981,,"",SRS20297380,SAMN39667401,simple,546342,Staphylococcus aureus subsp. aureus str. JKD6008,GSM8045627,"Tree lab, School of Biotechnology and Biomolecular Sciences, University of New South Wales",SRA1794338,03,2024,Tree,"strain JKD6008 (vancomycin intermediate, VISA)",RNaseIII-CLASH_vancomycin_2,"strain JKD6008 (vancomycin intermediate, VISA)","strain JKD6008 (vancomycin intermediate, VISA)",VISA,2ug/ml vancomycin for 10mins,missing,missing,JKD6008
SRR27779134,135287857,39504054244,142,15200,SRX23444040,GSM8045628,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486704,PRJNA1070981,,"",SRS20297382,SAMN39667400,simple,546342,Staphylococcus aureus subsp. aureus str. JKD6008,GSM8045628,"Tree lab, School of Biotechnology and Biomolecular Sciences, University of New South Wales",SRA1794338,03,2024,Tree,"strain JKD6008 (vancomycin intermediate, VISA)",RNaseIII-CLASH_vancomycin_3,"strain JKD6008 (vancomycin intermediate, VISA)","strain JKD6008 (vancomycin intermediate, VISA)",VISA,2ug/ml vancomycin for 10mins,missing,missing,JKD6008
SRR27779133,56699326,16499503866,141,6358,SRX23444041,GSM8045629,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486704,PRJNA1070981,,"",SRS20297383,SAMN39667399,simple,546342,Staphylococcus aureus subsp. aureus str. JKD6008,GSM8045629,"Tree lab, School of Biotechnology and Biomolecular Sciences, University of New South Wales",SRA1794338,03,2024,Tree,"strain JKD6008 (vancomycin intermediate, VISA)",RNaseIII-CLASH_vancomycin_4,"strain JKD6008 (vancomycin intermediate, VISA)","strain JKD6008 (vancomycin intermediate, VISA)",VISA,2ug/ml vancomycin for 10mins,missing,missing,JKD6008
