Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth temperature,geo_loc_name,collection_date
SRR18482577,53086282,1550956966,29,644,SRX14614161,GSM5972495,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365927,PRJNA819979,,"",SRS12382167,SAMN26947736,simple,5476,Candida albicans,GSM5972495,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392214,04,2024,Leidel,Yeast,SC5314_HMA1_KO_30_Rep1_RPF,Yeast,SC5314 - hma1delta/hma1delta,30 C,missing,missing
SRR18482576,36825388,1104460694,29,457,SRX14614162,GSM5972496,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365927,PRJNA819979,,"",SRS12382168,SAMN26947735,simple,5476,Candida albicans,GSM5972496,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392214,04,2024,Leidel,Yeast,SC5314_HMA1_KO_30_Rep2_RPF,Yeast,SC5314 - hma1delta/hma1delta,30 C,missing,missing
SRR18482575,34452340,1012753095,29,416,SRX14614163,GSM5972497,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365927,PRJNA819979,,"",SRS12382169,SAMN26947734,simple,5476,Candida albicans,GSM5972497,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392214,04,2024,Leidel,Yeast,SC5314_HMA1_KO_30_Rep3_RPF,Yeast,SC5314 - hma1delta/hma1delta,30 C,missing,missing
SRR18482574,40982216,1201486898,29,496,SRX14614164,GSM5972498,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365927,PRJNA819979,,"",SRS12382170,SAMN26947733,simple,5476,Candida albicans,GSM5972498,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392214,04,2024,Leidel,Yeast,SC5314_HMA1_KO_37_Rep1_RPF,Yeast,SC5314 - hma1delta/hma1delta,37 C,missing,missing
SRR18482573,28252287,824401896,29,341,SRX14614165,GSM5972499,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365927,PRJNA819979,,"",SRS12382171,SAMN26947732,simple,5476,Candida albicans,GSM5972499,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392214,04,2024,Leidel,Yeast,SC5314_HMA1_KO_37_Rep2_RPF,Yeast,SC5314 - hma1delta/hma1delta,37 C,missing,missing
SRR18482572,43501847,1246123866,28,527,SRX14614166,GSM5972500,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365927,PRJNA819979,,"",SRS12382172,SAMN26947731,simple,5476,Candida albicans,GSM5972500,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392214,04,2024,Leidel,Yeast,SC5314_HMA1_KO_37_Rep3_RPF,Yeast,SC5314 - hma1delta/hma1delta,37 C,missing,missing
SRR18482571,28403930,834355351,29,346,SRX14614167,GSM5972501,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365927,PRJNA819979,,"",SRS12382173,SAMN26947730,simple,5476,Candida albicans,GSM5972501,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392214,04,2024,Leidel,Yeast,SC5314_WT_30_Rep1_RPF,Yeast,SC5314 - wild type,30 C,missing,missing
SRR18482570,31758991,920317788,28,380,SRX14614168,GSM5972502,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365927,PRJNA819979,,"",SRS12382174,SAMN26947729,simple,5476,Candida albicans,GSM5972502,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392214,04,2024,Leidel,Yeast,SC5314_WT_30_Rep2_RPF,Yeast,SC5314 - wild type,30 C,missing,missing
SRR18482569,36915638,1097242784,29,451,SRX14614169,GSM5972503,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365927,PRJNA819979,,"",SRS12382175,SAMN26947728,simple,5476,Candida albicans,GSM5972503,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392214,04,2024,Leidel,Yeast,SC5314_WT_30_Rep3_RPF,Yeast,SC5314 - wild type,30 C,missing,missing
SRR18482568,32213910,930642789,28,383,SRX14614170,GSM5972504,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365927,PRJNA819979,,"",SRS12382176,SAMN26947727,simple,5476,Candida albicans,GSM5972504,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392214,04,2024,Leidel,Yeast,SC5314_WT_37_Rep1_RPF,Yeast,SC5314 - wild type,37 C,missing,missing
