Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,cell_subtype,BioSampleModel,disease
SRR24332961,23428558,7028567400,150,2802,SRX20125808,D425_sgPFDN2_3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454490,SAMN34359879,simple,9606,Homo sapiens,D425,University of Michigan,SRA1628947,10,2023,Makar,"",D425,D425,NA,ATCC,not provided,Brain,D425,Medulloblastoma,Human,
SRR24332960,26349536,7904860800,150,3129,SRX20125809,D425_sgPFDN2_2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454490,SAMN34359879,simple,9606,Homo sapiens,D425,University of Michigan,SRA1628947,10,2023,Makar,"",D425,D425,NA,ATCC,not provided,Brain,D425,Medulloblastoma,Human,
SRR24332959,30089078,9026723400,150,3550,SRX20125810,D425_sgPFDN2_1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454490,SAMN34359879,simple,9606,Homo sapiens,D425,University of Michigan,SRA1628947,10,2023,Makar,"",D425,D425,NA,ATCC,not provided,Brain,D425,Medulloblastoma,Human,
SRR24332958,22308643,6692592900,150,2649,SRX20125811,D425_sgLacZ,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454490,SAMN34359879,simple,9606,Homo sapiens,D425,University of Michigan,SRA1628947,10,2023,Makar,"",D425,D425,NA,ATCC,not provided,Brain,D425,Medulloblastoma,Human,
SRR24332957,41886431,12565929300,150,4945,SRX20125812,D425_sgCh2-2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454490,SAMN34359879,simple,9606,Homo sapiens,D425,University of Michigan,SRA1628947,10,2023,Makar,"",D425,D425,NA,ATCC,not provided,Brain,D425,Medulloblastoma,Human,
SRR24332956,23732088,7119626400,150,2807,SRX20125813,D425_sgASNSD1-uORF_3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454490,SAMN34359879,simple,9606,Homo sapiens,D425,University of Michigan,SRA1628947,10,2023,Makar,"",D425,D425,NA,ATCC,not provided,Brain,D425,Medulloblastoma,Human,
SRR24332955,36080320,10824096000,150,4271,SRX20125814,D425_sgASNSD1-uORF_2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454490,SAMN34359879,simple,9606,Homo sapiens,D425,University of Michigan,SRA1628947,10,2023,Makar,"",D425,D425,NA,ATCC,not provided,Brain,D425,Medulloblastoma,Human,
SRR24332954,22951005,6885301500,150,2710,SRX20125815,D425_sgASNSD1-uORF_1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454490,SAMN34359879,simple,9606,Homo sapiens,D425,University of Michigan,SRA1628947,10,2023,Makar,"",D425,D425,NA,ATCC,not provided,Brain,D425,Medulloblastoma,Human,
SRR24332953,21336501,6400950300,150,2525,SRX20125816,D425_sgAAVS1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454490,SAMN34359879,simple,9606,Homo sapiens,D425,University of Michigan,SRA1628947,10,2023,Makar,"",D425,D425,NA,ATCC,not provided,Brain,D425,Medulloblastoma,Human,
SRR24332980,64863449,19459034700,150,6451,SRX20125820,CHLA-01-MED,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454494,SAMN34409790,simple,9606,Homo sapiens,CHLA-01-MED,University of Michigan,SRA1628911,10,2023,Makar,"",Human sample from Homo sapiens,CHLA-01-MED,Not provided,ATCC,not provided,Brain,CHLA-01-MED,,Human,Medulloblastoma
