Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,num,cultivar,age,geo_loc_name,tissue,collection_date,BioSampleModel
SRR31565787,144446995,7222349750,50,2120,SRX26931365,ribo_c72_0-5_rep1,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404870,SAMN45125375,simple,4577,Zea mays,ribo_c72_0-5_rep1,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_0-5_rep1,1,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565786,78912131,3945606550,50,1142,SRX26931366,ribo_c72_1-0_rep1,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404871,SAMN45125376,simple,4577,Zea mays,ribo_c72_1-0_rep1,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_1-0_rep1,2,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565785,58674182,2933709100,50,858,SRX26931367,ribo_c72_0-5_rep2,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404872,SAMN45125385,simple,4577,Zea mays,ribo_c72_0-5_rep2,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_0-5_rep2,11,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565784,67967477,3398373850,50,969,SRX26931368,ribo_c72_1-0_rep2,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404873,SAMN45125386,simple,4577,Zea mays,ribo_c72_1-0_rep2,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_1-0_rep2,12,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565783,61307862,3065393100,50,877,SRX26931369,ribo_c72_1-3_rep2,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404874,SAMN45125387,simple,4577,Zea mays,ribo_c72_1-3_rep2,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_1-3_rep2,13,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565782,75400736,3770036800,50,1109,SRX26931370,ribo_c72_1-5_rep2,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404875,SAMN45125388,simple,4577,Zea mays,ribo_c72_1-5_rep2,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_1-5_rep2,14,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565781,73944769,3697238450,50,1117,SRX26931371,ribo_c72_2-0_rep2,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404876,SAMN45125389,simple,4577,Zea mays,ribo_c72_2-0_rep2,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_2-0_rep2,15,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565780,60690040,3034502000,50,913,SRX26931372,ribo_c72_2-5_rep2,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404877,SAMN45125390,simple,4577,Zea mays,ribo_c72_2-5_rep2,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_2-5_rep2,16,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565779,87048581,4352429050,50,1308,SRX26931373,ribo_c72_3-0_rep2,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404878,SAMN45125391,simple,4577,Zea mays,ribo_c72_3-0_rep2,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_3-0_rep2,17,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565778,64746264,3237313200,50,955,SRX26931374,ribo_c72_4-0_rep2,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404879,SAMN45125392,simple,4577,Zea mays,ribo_c72_4-0_rep2,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_4-0_rep2,18,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
