Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,organism,organism,collection date,scientific_name,organism part,age,geographic location (country and/or sea),infect,ENA-LAST-UPDATE,ENA first public,External Id,INSDC center name,INSDC last update,INSDC status,Submitter Id,broker name,sample name
ERR12268573,48320160,3672332160,76,1453,ERX11678790,AV2-WT_12d_Ribo_seq_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014224,SAMEA114630225,simple,4100,Nicotiana benthamiana,E-MTAB-13539:AV2-WT_12d_Ribo_seq,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-WT_12d_Ribo_seq,not applicable,Nicotiana benthamiana,Nicotiana benthamiana,not collected,Nicotiana benthamiana,leaf,3.5,not collected,Asparagus Virus 2 WT,2023-11-16,,,,,,,,
ERR12268566,19487976,1481086176,76,588,ERX11678783,AV2-2st_rep1_7d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014217,SAMEA114630218,simple,4100,Nicotiana benthamiana,SAMEA114630218,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-2st_rep1_7d_small_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 2st,,2024-05-08,SAMEA114630218,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-2st_rep1_7d_small_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-2st_rep1_7d_small_RNA_seq
ERR12268584,17593671,1337118996,76,513,ERX11678801,MO_rep1_7d_RNA_seq_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014235,SAMEA114630236,simple,4100,Nicotiana benthamiana,E-MTAB-13539:MO_rep1_7d_RNA_seq,European Bioinformatics Institute,ERA27404583,07,2024,"","",MO_rep1_7d_RNA_seq,not applicable,Nicotiana benthamiana,Nicotiana benthamiana,not collected,Nicotiana benthamiana,leaf,3,not collected,mock,2023-11-16,,,,,,,,
ERR12268590,29101677,2211727452,76,861,ERX11678807,MO_rep3_7d_RNA_seq_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014241,SAMEA114630242,simple,4100,Nicotiana benthamiana,E-MTAB-13539:MO_rep3_7d_RNA_seq,European Bioinformatics Institute,ERA27404583,07,2024,"","",MO_rep3_7d_RNA_seq,not applicable,Nicotiana benthamiana,Nicotiana benthamiana,not collected,Nicotiana benthamiana,leaf,3,not collected,mock,2023-11-16,,,,,,,,
ERR12268583,15709881,1193950956,76,468,ERX11678800,MO_rep1_14d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014234,SAMEA114630235,simple,4100,Nicotiana benthamiana,E-MTAB-13539:MO_rep1_14d_small_RNA_seq,European Bioinformatics Institute,ERA27404583,07,2024,"","",MO_rep1_14d_small_RNA_seq,not applicable,Nicotiana benthamiana,Nicotiana benthamiana,not collected,Nicotiana benthamiana,leaf,3,not collected,mock,2023-11-16,,,,,,,,
ERR12268577,17329454,1317038504,76,509,ERX11678794,AV2-WT_rep2_14d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014228,SAMEA114630229,simple,4100,Nicotiana benthamiana,E-MTAB-13539:AV2-WT_rep2_14d_small_RNA_seq,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-WT_rep2_14d_small_RNA_seq,not applicable,Nicotiana benthamiana,Nicotiana benthamiana,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 WT,2023-11-16,,,,,,,,
ERR12268569,20750588,1577044688,76,610,ERX11678786,AV2-2st_rep2_7d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014220,SAMEA114630221,simple,4100,Nicotiana benthamiana,SAMEA114630221,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-2st_rep2_7d_small_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 2st,,2024-05-08,SAMEA114630221,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-2st_rep2_7d_small_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-2st_rep2_7d_small_RNA_seq
ERR12268582,26778284,2035149584,76,788,ERX11678799,AV2-WT_rep3_7d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014233,SAMEA114630234,simple,4100,Nicotiana benthamiana,E-MTAB-13539:AV2-WT_rep3_7d_small_RNA_seq,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-WT_rep3_7d_small_RNA_seq,not applicable,Nicotiana benthamiana,Nicotiana benthamiana,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 WT,2023-11-16,,,,,,,,
ERR12268571,24609333,1870309308,76,709,ERX11678788,AV2-2st_rep3_7d_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014222,SAMEA114630223,simple,4100,Nicotiana benthamiana,E-MTAB-13539:AV2-2st_rep3_7d_RNA_seq,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-2st_rep3_7d_RNA_seq,not applicable,Nicotiana benthamiana,Nicotiana benthamiana,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 2st,2023-11-16,,,,,,,,
ERR12268585,21583823,1640370548,76,641,ERX11678802,MO_rep1_7d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014236,SAMEA114630237,simple,4100,Nicotiana benthamiana,E-MTAB-13539:MO_rep1_7d_small_RNA_seq,European Bioinformatics Institute,ERA27404583,07,2024,"","",MO_rep1_7d_small_RNA_seq,not applicable,Nicotiana benthamiana,Nicotiana benthamiana,not collected,Nicotiana benthamiana,leaf,3,not collected,mock,2023-11-16,,,,,,,,
ERR12268564,18879435,1434837060,76,575,ERX11678781,AV2-2st_rep1_14d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014215,SAMEA114630216,simple,4100,Nicotiana benthamiana,E-MTAB-13539:AV2-2st_rep1_14d_small_RNA_seq,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-2st_rep1_14d_small_RNA_seq,not applicable,Nicotiana benthamiana,Nicotiana benthamiana,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 2st,2023-11-16,,,,,,,,
ERR12268580,19402090,1474558840,76,560,ERX11678797,AV2-WT_rep3_14d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014231,SAMEA114630232,simple,4100,Nicotiana benthamiana,SAMEA114630232,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-WT_rep3_14d_small_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 WT,,2024-05-08,SAMEA114630232,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-WT_rep3_14d_small_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-WT_rep3_14d_small_RNA_seq
