Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment,batch,geo_loc_name,collection_date
SRR26898602,26869469,2015210175,75,890,SRX22592745,GSM7911877,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599349,SAMN38344880,simple,10090,Mus musculus,GSM7911877,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/input RNA_biol rep1 [RNA 1],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,1,missing,missing
SRR26898601,31859711,2389478325,75,1060,SRX22592746,GSM7911878,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599348,SAMN38344879,simple,10090,Mus musculus,GSM7911878,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/input RNA_biol rep1 [RNA 2],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,1,missing,missing
SRR26898600,25563533,1917264975,75,852,SRX22592747,GSM7911879,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599350,SAMN38344878,simple,10090,Mus musculus,GSM7911879,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/input RNA_biol rep2 [RNA 3],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,1,missing,missing
SRR26898599,24236662,1817749650,75,802,SRX22592748,GSM7911880,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599353,SAMN38344877,simple,10090,Mus musculus,GSM7911880,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/input RNA_biol rep2 [RNA 4 ],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,1,missing,missing
SRR26898598,27154203,2036565225,75,897,SRX22592749,GSM7911881,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599351,SAMN38344876,simple,10090,Mus musculus,GSM7911881,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/input RNA_biol rep3 [RNA 5],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,1,missing,missing
SRR26898597,39079495,2930962125,75,1295,SRX22592750,GSM7911882,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599354,SAMN38344875,simple,10090,Mus musculus,GSM7911882,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/input RNA_biol rep3 [RNA 6],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,1,missing,missing
SRR26898596,27093604,2032020300,75,899,SRX22592751,GSM7911883,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599352,SAMN38344874,simple,10090,Mus musculus,GSM7911883,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/input RNA_biol rep4 [RNA 7],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,1,missing,missing
SRR26898595,24754311,1856573325,75,818,SRX22592752,GSM7911884,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599356,SAMN38344873,simple,10090,Mus musculus,GSM7911884,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/input RNA_biol rep4 [RNA 8],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,1,missing,missing
SRR26898594,41885926,3141444450,75,1474,SRX22592753,GSM7911885,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599357,SAMN38344872,simple,10090,Mus musculus,GSM7911885,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/input RNA_biol rep5 [RNA 9],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,2,missing,missing
SRR26898593,51199210,3839940750,75,1797,SRX22592754,GSM7911886,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599355,SAMN38344871,simple,10090,Mus musculus,GSM7911886,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/input RNA_biol rep5 [RNA 10],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,2,missing,missing
SRR26898592,39503214,2962741050,75,1392,SRX22592755,GSM7911887,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599358,SAMN38344870,simple,10090,Mus musculus,GSM7911887,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/input RNA_biol rep6 [RNA 11],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,2,missing,missing
SRR26898591,46314006,3473550450,75,1629,SRX22592756,GSM7911888,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599359,SAMN38344869,simple,10090,Mus musculus,GSM7911888,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/input RNA_biol rep6 [RNA 12],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,2,missing,missing
SRR26898590,38429335,2882200125,75,1359,SRX22592757,GSM7911889,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599360,SAMN38344868,simple,10090,Mus musculus,GSM7911889,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/input RNA_biol rep7 [RNA 13],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,2,missing,missing
SRR26898589,47414196,3556064700,75,1661,SRX22592758,GSM7911890,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599361,SAMN38344867,simple,10090,Mus musculus,GSM7911890,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/input RNA_biol rep7 [RNA 14],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,2,missing,missing
SRR26898588,27781741,2083630575,75,982,SRX22592759,GSM7911891,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599362,SAMN38344866,simple,10090,Mus musculus,GSM7911891,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/input RNA_biol rep8 [RNA 15],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,2,missing,missing
SRR26898587,50691928,3801894600,75,1781,SRX22592760,GSM7911892,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599363,SAMN38344865,simple,10090,Mus musculus,GSM7911892,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/input RNA_biol rep8 [RNA 16],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,2,missing,missing
SRR26898586,22206087,1665456525,75,753,SRX22592761,GSM7911893,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599365,SAMN38344864,simple,10090,Mus musculus,GSM7911893,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/RPF biol rep1 [RPF 1],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,1,missing,missing
