Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,geo_loc_name,collection_date,tissue,treatment
SRR26538093,19239671,5810380642,151,2005,SRX22240992,GSM7867547,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 1000,SRP468654,PRJNA1032588,39721582,"",SRS19295147,SAMN37999850,simple,4932,Saccharomyces cerevisiae,GSM7867547,"Sysgem Genomics, Life Sciences, Ewha Womans University",SRA1740136,12,2024,Lee,yeast,RFP MTFi rep1,yeast,budding yeast,missing,missing,,
SRR26538092,27470401,8296061102,151,2946,SRX22240993,GSM7867548,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 1000,SRP468654,PRJNA1032588,39721582,"",SRS19295148,SAMN37999849,simple,4932,Saccharomyces cerevisiae,GSM7867548,"Sysgem Genomics, Life Sciences, Ewha Womans University",SRA1740136,12,2024,Lee,yeast,RFP MTFi rep2,yeast,budding yeast,missing,missing,,
SRR26538091,17123354,5171252908,151,1856,SRX22240994,GSM7867549,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 1000,SRP468654,PRJNA1032588,39721582,"",SRS19295149,SAMN37999848,simple,4932,Saccharomyces cerevisiae,GSM7867549,"Sysgem Genomics, Life Sciences, Ewha Womans University",SRA1740136,12,2024,Lee,yeast,RFP MTF rep1,yeast,budding yeast,missing,missing,,
SRR26538090,19573473,5911188846,151,2033,SRX22240995,GSM7867550,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 1000,SRP468654,PRJNA1032588,39721582,"",SRS19295150,SAMN37999847,simple,4932,Saccharomyces cerevisiae,GSM7867550,"Sysgem Genomics, Life Sciences, Ewha Womans University",SRA1740136,12,2024,Lee,yeast,RFP MTF rep2,yeast,budding yeast,missing,missing,,
SRR30617315,18504850,5588464700,151,1793,SRX26039619,GSM8505961,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP468654,PRJNA1032588,39721582,"",SRS22610745,SAMN43561136,simple,4932,Saccharomyces cerevisiae,GSM8505961,"Sysgem Genomics, Life Sciences, Ewha Womans University",SRA1967601,12,2024,Lee,yeast cells,"arf1D, EcFMT, replicate 1 [RIBO-seq]",yeast cells,,missing,missing,yeast cells,EcFMT
SRR30617314,15712823,4745272546,151,1523,SRX26039620,GSM8505962,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP468654,PRJNA1032588,39721582,"",SRS22610746,SAMN43561135,simple,4932,Saccharomyces cerevisiae,GSM8505962,"Sysgem Genomics, Life Sciences, Ewha Womans University",SRA1967601,12,2024,Lee,yeast cells,"arf1D, EcFMT, replicate 2 [RIBO-seq]",yeast cells,,missing,missing,yeast cells,EcFMT
SRR30617313,15423853,4658003606,151,1504,SRX26039621,GSM8505963,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP468654,PRJNA1032588,39721582,"",SRS22610747,SAMN43561134,simple,4932,Saccharomyces cerevisiae,GSM8505963,"Sysgem Genomics, Life Sciences, Ewha Womans University",SRA1967601,12,2024,Lee,yeast cells,"arf1D, R42L, replicate 1 [RIBO-seq]",yeast cells,,missing,missing,yeast cells,R42L
SRR30617312,14884688,4495175776,151,1452,SRX26039622,GSM8505964,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP468654,PRJNA1032588,39721582,"",SRS22610749,SAMN43561133,simple,4932,Saccharomyces cerevisiae,GSM8505964,"Sysgem Genomics, Life Sciences, Ewha Womans University",SRA1967601,12,2024,Lee,yeast cells,"arf1D, R42L, replicate 2 [RIBO-seq]",yeast cells,,missing,missing,yeast cells,R42L
SRR30617311,18636706,5628285212,151,1833,SRX26039623,GSM8505965,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP468654,PRJNA1032588,39721582,"",SRS22610748,SAMN43561132,simple,4932,Saccharomyces cerevisiae,GSM8505965,"Sysgem Genomics, Life Sciences, Ewha Womans University",SRA1967601,12,2024,Lee,yeast cells,"hrc1D, EcFMT, replicate 1 [RIBO-seq]",yeast cells,,missing,missing,yeast cells,EcFMT
SRR30617310,19515256,5893607312,151,1909,SRX26039624,GSM8505966,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP468654,PRJNA1032588,39721582,"",SRS22610751,SAMN43561131,simple,4932,Saccharomyces cerevisiae,GSM8505966,"Sysgem Genomics, Life Sciences, Ewha Womans University",SRA1967601,12,2024,Lee,yeast cells,"hrc1D, EcFMT, replicate 2 [RIBO-seq]",yeast cells,,missing,missing,yeast cells,EcFMT
SRR30617309,15961596,4820401992,151,1578,SRX26039625,GSM8505967,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP468654,PRJNA1032588,39721582,"",SRS22610750,SAMN43561130,simple,4932,Saccharomyces cerevisiae,GSM8505967,"Sysgem Genomics, Life Sciences, Ewha Womans University",SRA1967601,12,2024,Lee,yeast cells,"hrc1D, R42L, replicate 1 [RIBO-seq]",yeast cells,,missing,missing,yeast cells,R42L
SRR30617308,13817710,4172948420,151,1367,SRX26039626,GSM8505968,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP468654,PRJNA1032588,39721582,"",SRS22610752,SAMN43561129,simple,4932,Saccharomyces cerevisiae,GSM8505968,"Sysgem Genomics, Life Sciences, Ewha Womans University",SRA1967601,12,2024,Lee,yeast cells,"hrc1D, R42L, replicate 2 [RIBO-seq]",yeast cells,,missing,missing,yeast cells,R42L
