Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,hours in fe-deficient conditions,geo_loc_name,collection_date
SRR17429245,26214938,1328157114,50,413,SRX13600560,GSM5771576,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489971,SAMN24611859,simple,4932,Saccharomyces cerevisiae,GSM5771576,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type RNA-seq, 0H, replicate 1",Whole cells,wild-type (W303a),0h,missing,missing
SRR17429244,3820341,193528397,50,59,SRX13600561,GSM5771577,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489972,SAMN24611858,simple,4932,Saccharomyces cerevisiae,GSM5771577,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type RNA-seq, 0H, replicate 2",Whole cells,wild-type (W303a),0h,missing,missing
SRR17429243,14095113,714244505,50,221,SRX13600562,GSM5771578,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489973,SAMN24611857,simple,4932,Saccharomyces cerevisiae,GSM5771578,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type RNA-seq, 0H, replicate 3",Whole cells,wild-type (W303a),0h,missing,missing
SRR17429242,7382538,374062017,50,116,SRX13600563,GSM5771579,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489974,SAMN24611856,simple,4932,Saccharomyces cerevisiae,GSM5771579,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type RNA-seq, 3H, replicate 1",Whole cells,wild-type (W303a),3h,missing,missing
SRR17429241,2752950,139578199,50,43,SRX13600564,GSM5771580,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489975,SAMN24611855,simple,4932,Saccharomyces cerevisiae,GSM5771580,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type RNA-seq, 3H, replicate 2",Whole cells,wild-type (W303a),3h,missing,missing
SRR17429240,11986890,607344953,50,188,SRX13600565,GSM5771581,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489976,SAMN24611854,simple,4932,Saccharomyces cerevisiae,GSM5771581,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type RNA-seq, 3H, replicate 3",Whole cells,wild-type (W303a),3h,missing,missing
SRR17429239,1432136,72510413,50,22,SRX13600566,GSM5771582,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489977,SAMN24611853,simple,4932,Saccharomyces cerevisiae,GSM5771582,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type RNA-seq, 6H, replicate 1",Whole cells,wild-type (W303a),6h,missing,missing
SRR17429238,4038730,204596633,50,63,SRX13600567,GSM5771583,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489978,SAMN24611852,simple,4932,Saccharomyces cerevisiae,GSM5771583,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type RNA-seq, 6H, replicate 2",Whole cells,wild-type (W303a),6h,missing,missing
SRR17429237,24078848,1220805458,50,381,SRX13600568,GSM5771584,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489979,SAMN24611851,simple,4932,Saccharomyces cerevisiae,GSM5771584,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type RNA-seq, 6H, replicate 3",Whole cells,wild-type (W303a),6h,missing,missing
SRR17429236,8699071,440712176,50,137,SRX13600569,GSM5771585,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489980,SAMN24611850,simple,4932,Saccharomyces cerevisiae,GSM5771585,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant RNA-seq, 0H, replicate 1",Whole cells,cth1deltacth2delta mutant,0h,missing,missing
