Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,geo_loc_name,collection_date
SRR25421855,29499039,1148013753,38,498,SRX21156683,GSM7661136,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419170,SAMN36705663,simple,9606,Homo sapiens,GSM7661136,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,young-rep1-Ribo-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421854,43452706,1685423062,38,707,SRX21156684,GSM7661137,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419172,SAMN36705662,simple,9606,Homo sapiens,GSM7661137,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,young-rep2-Ribo-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421853,71299361,2738886944,38,1142,SRX21156685,GSM7661138,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419171,SAMN36705661,simple,9606,Homo sapiens,GSM7661138,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,young-rep3-Ribo-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421852,130296280,4987455066,38,2033,SRX21156686,GSM7661139,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419173,SAMN36705660,simple,9606,Homo sapiens,GSM7661139,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,old-rep1-Ribo-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421851,82191398,3124357917,38,1302,SRX21156687,GSM7661140,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419175,SAMN36705659,simple,9606,Homo sapiens,GSM7661140,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,old-rep2-Ribo-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421850,95626195,3626347782,37,1506,SRX21156688,GSM7661141,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419174,SAMN36705658,simple,9606,Homo sapiens,GSM7661141,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,old-rep3-Ribo-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421849,111732465,4220995694,37,1744,SRX21156689,GSM7661142,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419176,SAMN36705657,simple,9606,Homo sapiens,GSM7661142,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,ICM-rep1-Ribo-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421848,56269737,2112959554,37,892,SRX21156690,GSM7661143,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419177,SAMN36705656,simple,9606,Homo sapiens,GSM7661143,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,ICM-rep2-Ribo-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421847,33753743,1294327385,38,548,SRX21156691,GSM7661144,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419178,SAMN36705655,simple,9606,Homo sapiens,GSM7661144,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,ICM-rep3-Ribo-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421846,18759518,939526888,50,425,SRX21156692,GSM7661145,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419179,SAMN36705654,simple,9606,Homo sapiens,GSM7661145,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,young-rep1-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421845,26401993,1334077506,50,598,SRX21156693,GSM7661146,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419180,SAMN36705653,simple,9606,Homo sapiens,GSM7661146,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,young-rep2-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421844,23828264,1203368812,50,545,SRX21156694,GSM7661147,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419181,SAMN36705652,simple,9606,Homo sapiens,GSM7661147,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,young-rep3-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421843,23265566,1174966394,50,529,SRX21156695,GSM7661148,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419182,SAMN36705651,simple,9606,Homo sapiens,GSM7661148,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,old-rep1-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421842,33071750,1671039102,50,744,SRX21156696,GSM7661149,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419185,SAMN36705650,simple,9606,Homo sapiens,GSM7661149,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,old-rep2-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421841,26409390,1334836210,50,601,SRX21156697,GSM7661150,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419183,SAMN36705649,simple,9606,Homo sapiens,GSM7661150,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,old-rep3-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421840,29648217,1497815523,50,669,SRX21156698,GSM7661151,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419184,SAMN36705648,simple,9606,Homo sapiens,GSM7661151,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,ICM-rep1-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421839,24522741,1239417629,50,557,SRX21156699,GSM7661152,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419187,SAMN36705647,simple,9606,Homo sapiens,GSM7661152,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,ICM-rep2-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing
SRR25421838,26084450,1317062499,50,594,SRX21156700,GSM7661153,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451382,PRJNA998457,38196311,"",SRS18419186,SAMN36705646,simple,9606,Homo sapiens,GSM7661153,"Institute of Pathology, University Medical Center Göttingen",SRA1679636,04,2024,Palikyras,IMR90,ICM-rep3-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing
