Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR26979505,32937951,2173904766,66,723,SRX22672780,GSM7921724,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP474827,PRJNA1046391,1,"",SRS19667694,SAMN38492562,simple,9606,Homo sapiens,GSM7921724,"Stephen Floor, Cell and Tissue Biology, University of California, San Francisco",SRA1759613,12,2023,Makar,K-562,Riboseq_K562_118_IGHMBP2_Rep1,K-562,K-562,lymphoblast cells,IGHMBP2 HET; expression is partially deleted in K-562 expressing CRISPRi machinery (doi: 10.1016/j.cell.2014.09.029),None,missing,missing
SRR26979504,44205334,2917552044,66,968,SRX22672781,GSM7921725,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP474827,PRJNA1046391,1,"",SRS19667695,SAMN38492561,simple,9606,Homo sapiens,GSM7921725,"Stephen Floor, Cell and Tissue Biology, University of California, San Francisco",SRA1759613,12,2023,Makar,K-562,Riboseq_K562_118_IGHMBP2_Rep2,K-562,K-562,lymphoblast cells,IGHMBP2 HET; expression is partially deleted in K-562 expressing CRISPRi machinery (doi: 10.1016/j.cell.2014.09.029),None,missing,missing
SRR26979503,44178614,2915788524,66,965,SRX22672782,GSM7921726,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP474827,PRJNA1046391,1,"",SRS19667696,SAMN38492560,simple,9606,Homo sapiens,GSM7921726,"Stephen Floor, Cell and Tissue Biology, University of California, San Francisco",SRA1759613,12,2023,Makar,K-562,Riboseq_K562_115_IGHMBP2_Rep1,K-562,K-562,lymphoblast cells,IGHMBP2 KO; expression is fully deleted in K-562 expressing CRISPRi machinery (doi: 10.1016/j.cell.2014.09.029),None,missing,missing
SRR26979502,29576911,1952076126,66,641,SRX22672783,GSM7921727,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP474827,PRJNA1046391,1,"",SRS19667697,SAMN38492559,simple,9606,Homo sapiens,GSM7921727,"Stephen Floor, Cell and Tissue Biology, University of California, San Francisco",SRA1759613,12,2023,Makar,K-562,Riboseq_K562_115_IGHMBP2_Rep2,K-562,K-562,lymphoblast cells,IGHMBP2 KO; expression is fully deleted in K-562 expressing CRISPRi machinery (doi: 10.1016/j.cell.2014.09.029),None,missing,missing
SRR26979501,53167048,3509025168,66,1205,SRX22672784,GSM7921728,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP474827,PRJNA1046391,1,"",SRS19667698,SAMN38492558,simple,9606,Homo sapiens,GSM7921728,"Stephen Floor, Cell and Tissue Biology, University of California, San Francisco",SRA1759613,12,2023,Makar,K-562,Riboseq_K562_61_IGHMBP2_Rep1,K-562,K-562,lymphoblast cells,IGHMBP2 KO; expression is fully deleted in K-562 expressing CRISPRi machinery (doi: 10.1016/j.cell.2014.09.029),None,missing,missing
SRR26979500,39597226,2613416916,66,862,SRX22672785,GSM7921729,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP474827,PRJNA1046391,1,"",SRS19667699,SAMN38492557,simple,9606,Homo sapiens,GSM7921729,"Stephen Floor, Cell and Tissue Biology, University of California, San Francisco",SRA1759613,12,2023,Makar,K-562,Riboseq_K562_61_IGHMBP2_Rep2,K-562,K-562,lymphoblast cells,IGHMBP2 KO; expression is fully deleted in K-562 expressing CRISPRi machinery (doi: 10.1016/j.cell.2014.09.029),None,missing,missing
SRR26979499,45976798,3034468668,66,993,SRX22672786,GSM7921730,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP474827,PRJNA1046391,1,"",SRS19667700,SAMN38492556,simple,9606,Homo sapiens,GSM7921730,"Stephen Floor, Cell and Tissue Biology, University of California, San Francisco",SRA1759613,12,2023,Makar,K-562,Riboseq_K562_33_IGHMBP2_Rep1,K-562,K-562,lymphoblast cells,IGHMBP2 HET; expression is partially deleted in K-562 expressing CRISPRi machinery (doi: 10.1016/j.cell.2014.09.029),None,missing,missing
SRR26979498,55051689,3633411474,66,1194,SRX22672787,GSM7921731,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP474827,PRJNA1046391,1,"",SRS19667701,SAMN38492555,simple,9606,Homo sapiens,GSM7921731,"Stephen Floor, Cell and Tissue Biology, University of California, San Francisco",SRA1759613,12,2023,Makar,K-562,Riboseq_K562_33_IGHMBP2_Rep2,K-562,K-562,lymphoblast cells,IGHMBP2 HET; expression is partially deleted in K-562 expressing CRISPRi machinery (doi: 10.1016/j.cell.2014.09.029),None,missing,missing
SRR26979497,33296967,2197599822,66,724,SRX22672788,GSM7921732,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP474827,PRJNA1046391,1,"",SRS19667702,SAMN38492554,simple,9606,Homo sapiens,GSM7921732,"Stephen Floor, Cell and Tissue Biology, University of California, San Francisco",SRA1759613,12,2023,Makar,K-562,Riboseq_K562_WT_IGHMBP2_Rep1,K-562,K-562,lymphoblast cells,Parental K-562 expressing CRISPRi machinery (doi: 10.1016/j.cell.2014.09.029),None,missing,missing
SRR26979496,35745190,2359182540,66,772,SRX22672789,GSM7921733,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP474827,PRJNA1046391,1,"",SRS19667703,SAMN38492553,simple,9606,Homo sapiens,GSM7921733,"Stephen Floor, Cell and Tissue Biology, University of California, San Francisco",SRA1759613,12,2023,Makar,K-562,Riboseq_K562_WT_IGHMBP2_Rep2,K-562,K-562,lymphoblast cells,Parental K-562 expressing CRISPRi machinery (doi: 10.1016/j.cell.2014.09.029),None,missing,missing
