Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment,fraction,geo_loc_name,collection_date
SRR28092564,20055886,1002794300,50,421,SRX23738905,GSM8111661,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP491713,PRJNA1080486,,"",SRS20565897,SAMN40135318,simple,10090,Mus musculus,GSM8111661,Nanjing agricultural university,SRA1811051,02,2024,Zhong,liver,"XZ0825, liver, control, immunoprecipitation",liver,liver,WT,control,immunoprecipitation,missing,missing
SRR28092563,12075548,603777400,50,258,SRX23738906,GSM8111662,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP491713,PRJNA1080486,,"",SRS20566858,SAMN40135317,simple,10090,Mus musculus,GSM8111662,Nanjing agricultural university,SRA1811051,02,2024,Zhong,liver,"XZ0826, liver, control, immunoprecipitation",liver,liver,WT,control,immunoprecipitation,missing,missing
SRR28092562,16595522,829776100,50,351,SRX23738907,GSM8111663,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP491713,PRJNA1080486,,"",SRS20566500,SAMN40135316,simple,10090,Mus musculus,GSM8111663,Nanjing agricultural university,SRA1811051,02,2024,Zhong,liver,"XZ0827, liver, control, immunoprecipitation",liver,liver,WT,control,immunoprecipitation,missing,missing
SRR28092561,20849140,1042457000,50,438,SRX23738908,GSM8111664,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP491713,PRJNA1080486,,"",SRS20566104,SAMN40135315,simple,10090,Mus musculus,GSM8111664,Nanjing agricultural university,SRA1811051,02,2024,Zhong,liver,"XZ0828, liver, CCL4 administration, immunoprecipitation",liver,liver,WT,CCL4 administration,immunoprecipitation,missing,missing
SRR28092560,18031960,901598000,50,381,SRX23738909,GSM8111665,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP491713,PRJNA1080486,,"",SRS20565896,SAMN40135314,simple,10090,Mus musculus,GSM8111665,Nanjing agricultural university,SRA1811051,02,2024,Zhong,liver,"XZ0829, liver, CCL4 administration, immunoprecipitation",liver,liver,WT,CCL4 administration,immunoprecipitation,missing,missing
SRR28092559,18571008,928550400,50,392,SRX23738910,GSM8111666,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP491713,PRJNA1080486,,"",SRS20566105,SAMN40135313,simple,10090,Mus musculus,GSM8111666,Nanjing agricultural university,SRA1811051,02,2024,Zhong,liver,"XZ0830, liver, CCL4 administration, immunoprecipitation",liver,liver,WT,CCL4 administration,immunoprecipitation,missing,missing
SRR28092558,18152665,907633250,50,378,SRX23738911,GSM8111667,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP491713,PRJNA1080486,,"",SRS20566107,SAMN40135312,simple,10090,Mus musculus,GSM8111667,Nanjing agricultural university,SRA1811051,02,2024,Zhong,liver,"XZ0834, liver, control, Input",liver,liver,WT,control,Input,missing,missing
SRR28092557,14752494,737624700,50,306,SRX23738912,GSM8111668,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP491713,PRJNA1080486,,"",SRS20566106,SAMN40135311,simple,10090,Mus musculus,GSM8111668,Nanjing agricultural university,SRA1811051,02,2024,Zhong,liver,"XZ0835, liver, control, Input",liver,liver,WT,control,Input,missing,missing
SRR28092556,15096785,754839250,50,317,SRX23738913,GSM8111669,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP491713,PRJNA1080486,,"",SRS20566109,SAMN40135310,simple,10090,Mus musculus,GSM8111669,Nanjing agricultural university,SRA1811051,02,2024,Zhong,liver,"XZ0836, liver, control, Input",liver,liver,WT,control,Input,missing,missing
SRR28092555,13611310,680565500,50,289,SRX23738914,GSM8111670,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP491713,PRJNA1080486,,"",SRS20566108,SAMN40135309,simple,10090,Mus musculus,GSM8111670,Nanjing agricultural university,SRA1811051,02,2024,Zhong,liver,"XZ0837, liver, CCL4 administration, Input",liver,liver,WT,CCL4 administration,Input,missing,missing
