Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,cultivar,ecotype,age,dev_stage,collection_date,geo_loc_name,tissue,treatment,replicate,BioSampleModel
SRR28019661,22743043,6822912900,150,2165,SRX23671661,S1146S_0_1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490536,PRJNA1078441,,"",SRS20502861,SAMN40001618,simple,4530,Oryza sativa,S1146S_0_1,Hunan Agricultural University,SRA1805174,02,2024,Li,"","",0 d,S1146S,not applicable,not applicable,mature seed,2022-03-01,China:Changsa,seed,seed aging stress,replicate = biological replicate 1',Plant
SRR28019660,23559960,7067988000,150,2248,SRX23671662,S1146S_0_2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490536,PRJNA1078441,,"",SRS20502411,SAMN40001619,simple,4530,Oryza sativa,S1146S_0_2,Hunan Agricultural University,SRA1805174,02,2024,Li,"","",0 d,S1146S,not applicable,not applicable,mature seed,2022-03-01,China:Changsa,seed,seed aging stress,replicate = biological replicate 2',Plant
SRR28019659,23565725,7069717500,150,2301,SRX23671663,SD26S_7_2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490536,PRJNA1078441,,"",SRS20502526,SAMN40001628,simple,4530,Oryza sativa,SD26S_7_2,Hunan Agricultural University,SRA1805174,02,2024,Li,"","",7 d,SD26S,not applicable,not applicable,mature seed,2022-03-01,China:Changsa,seed,seed aging stress,replicate = biological replicate 2',Plant
SRR28019658,25868545,7760563500,150,2479,SRX23671664,SD26S_7_3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490536,PRJNA1078441,,"",SRS20502525,SAMN40001629,simple,4530,Oryza sativa,SD26S_7_3,Hunan Agricultural University,SRA1805174,02,2024,Li,"","",7 d,SD26S,not applicable,not applicable,mature seed,2022-03-01,China:Changsa,seed,seed aging stress,replicate = biological replicate 3',Plant
SRR28019657,23066520,6919956000,150,2205,SRX23671665,S1146S_0_3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490536,PRJNA1078441,,"",SRS20502733,SAMN40001620,simple,4530,Oryza sativa,S1146S_0_3,Hunan Agricultural University,SRA1805174,02,2024,Li,"","",0 d,S1146S,not applicable,not applicable,mature seed,2022-03-01,China:Changsa,seed,seed aging stress,replicate = biological replicate 3',Plant
SRR28019656,21212088,6363626400,150,2043,SRX23671666,S1146S_7_1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490536,PRJNA1078441,,"",SRS20502734,SAMN40001621,simple,4530,Oryza sativa,S1146S_7_1,Hunan Agricultural University,SRA1805174,02,2024,Li,"","",7 d,S1146S,not applicable,not applicable,mature seed,2022-03-01,China:Changsa,seed,seed aging stress,replicate = biological replicate 1',Plant
SRR28019655,22913067,6873920100,150,2232,SRX23671667,S1146S_7_2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490536,PRJNA1078441,,"",SRS20502735,SAMN40001622,simple,4530,Oryza sativa,S1146S_7_2,Hunan Agricultural University,SRA1805174,02,2024,Li,"","",7 d,S1146S,not applicable,not applicable,mature seed,2022-03-01,China:Changsa,seed,seed aging stress,replicate = biological replicate 2',Plant
SRR28019654,23614000,7084200000,150,2274,SRX23671668,S1146S_7_3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490536,PRJNA1078441,,"",SRS20502527,SAMN40001623,simple,4530,Oryza sativa,S1146S_7_3,Hunan Agricultural University,SRA1805174,02,2024,Li,"","",7 d,S1146S,not applicable,not applicable,mature seed,2022-03-01,China:Changsa,seed,seed aging stress,replicate = biological replicate 3',Plant
SRR28019653,23367505,7010251500,150,2246,SRX23671669,SD26S_0_1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490536,PRJNA1078441,,"",SRS20502412,SAMN40001624,simple,4530,Oryza sativa,SD26S_0_1,Hunan Agricultural University,SRA1805174,02,2024,Li,"","",0 d,SD26S,not applicable,not applicable,mature seed,2022-03-01,China:Changsa,seed,seed aging stress,replicate = biological replicate 1',Plant
SRR28019652,21698275,6509482500,150,2062,SRX23671670,SD26S_0_2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490536,PRJNA1078441,,"",SRS20502528,SAMN40001625,simple,4530,Oryza sativa,SD26S_0_2,Hunan Agricultural University,SRA1805174,02,2024,Li,"","",0 d,SD26S,not applicable,not applicable,mature seed,2022-03-01,China:Changsa,seed,seed aging stress,replicate = biological replicate 2',Plant
