Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,chip antibody,treatment,geo_loc_name,collection_date
SRR23939406,80515257,17552803213,109,5898,SRX19748663,GSM7111007,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428658,PRJNA947526,,"",SRS17114360,SAMN33861920,simple,9606,Homo sapiens,GSM7111007,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1609519,10,2023,Nedialkova,kucg-2 hiPSC,hiPSC kucg-2 RPC1 ChIP-Seq rep1,kucg-2 hiPSC,kucg-2 hiPSC,Human induced pluripotent stem cell,"RPC1 (Cell Signaling Technology, #12825)",WT,missing,missing
SRR23939405,83868794,18284046927,109,6191,SRX19748664,GSM7111008,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428658,PRJNA947526,,"",SRS17114362,SAMN33861919,simple,9606,Homo sapiens,GSM7111008,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1609519,10,2023,Nedialkova,kucg-2 hiPSC,hiPSC kucg-2 RPC1 ChIP-Seq rep2,kucg-2 hiPSC,kucg-2 hiPSC,Human induced pluripotent stem cell,"RPC1 (Cell Signaling Technology, #12825)",WT,missing,missing
SRR23939404,56632856,12345982317,109,4188,SRX19748665,GSM7111009,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428658,PRJNA947526,,"",SRS17114361,SAMN33861918,simple,9606,Homo sapiens,GSM7111009,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1609519,10,2023,Nedialkova,wibj-2 hiPSC,hiPSC wibj-2 RPC1 ChIP-Seq rep1,wibj-2 hiPSC,wibj-2 hiPSC,Human induced pluripotent stem cell,"RPC1 (Cell Signaling Technology, #12825)",WT,missing,missing
SRR23939403,55982708,12203805379,109,4103,SRX19748666,GSM7111010,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428658,PRJNA947526,,"",SRS17114363,SAMN33861917,simple,9606,Homo sapiens,GSM7111010,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1609519,10,2023,Nedialkova,wibj-2 hiPSC,hiPSC wibj-2 RPC1 ChIP-Seq rep2,wibj-2 hiPSC,wibj-2 hiPSC,Human induced pluripotent stem cell,"RPC1 (Cell Signaling Technology, #12825)",WT,missing,missing
SRR23939402,101693829,22188790069,109,7452,SRX19748667,GSM7111011,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428658,PRJNA947526,,"",SRS17114364,SAMN33861916,simple,9606,Homo sapiens,GSM7111011,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1609519,10,2023,Nedialkova,kucg-2 hiPSC,NPC RPC1 ChIP-Seq rep1,kucg-2 hiPSC,kucg-2 hiPSC,Human neural progenitor,"RPC1 (Cell Signaling Technology, #12825)",WT,missing,missing
SRR23939401,81257191,17709393240,109,5925,SRX19748668,GSM7111012,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428658,PRJNA947526,,"",SRS17114365,SAMN33861915,simple,9606,Homo sapiens,GSM7111012,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1609519,10,2023,Nedialkova,kucg-2 hiPSC,NPC RPC1 ChIP-Seq rep2,kucg-2 hiPSC,kucg-2 hiPSC,Human neural progenitor,"RPC1 (Cell Signaling Technology, #12825)",WT,missing,missing
SRR23939400,98243649,21431092702,109,7326,SRX19748669,GSM7111013,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428658,PRJNA947526,,"",SRS17114366,SAMN33861914,simple,9606,Homo sapiens,GSM7111013,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1609519,10,2023,Nedialkova,kucg-2 hiPSC,Neurons RPC1 ChIP-Seq rep1,kucg-2 hiPSC,kucg-2 hiPSC,Human mature neurons,"RPC1 (Cell Signaling Technology, #12825)",WT,missing,missing
SRR23939399,126844321,27680078945,109,9323,SRX19748670,GSM7111014,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428658,PRJNA947526,,"",SRS17114367,SAMN33861913,simple,9606,Homo sapiens,GSM7111014,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1609519,10,2023,Nedialkova,kucg-2 hiPSC,Neurons RPC1 ChIP-Seq rep2,kucg-2 hiPSC,kucg-2 hiPSC,Human mature neurons,"RPC1 (Cell Signaling Technology, #12825)",WT,missing,missing
SRR23939398,61790148,13469030007,109,4498,SRX19748671,GSM7111023,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428658,PRJNA947526,,"",SRS17114368,SAMN33861904,simple,9606,Homo sapiens,GSM7111023,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1609519,10,2023,Nedialkova,kucg-2 hiPSC,Neorons BRF1 ChIP-Seq rep1,kucg-2 hiPSC,kucg-2 hiPSC,Human mature neurons,"BRF1 (Abcam, ab264191)",WT,missing,missing
SRR23939397,66923872,14563975724,108,4938,SRX19748672,GSM7111024,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428658,PRJNA947526,,"",SRS17114369,SAMN33861903,simple,9606,Homo sapiens,GSM7111024,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1609519,10,2023,Nedialkova,kucg-2 hiPSC,Neurons BRF1 ChIP-Seq rep2,kucg-2 hiPSC,kucg-2 hiPSC,Human mature neurons,"BRF1 (Abcam, ab264191)",WT,missing,missing
