Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,molecule,geo_loc_name,collection_date
SRR24210498,33283577,2196716082,66,690,SRX20007013,GSM7184209,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351531,SAMN34247382,simple,9606,Homo sapiens,GSM7184209,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgDDX3 arm, initial time point, replicate 1, ribosome footprints",K562,K562,immortalised myelogenous leukemia,sgDDX3,ribosome protected footprints,missing,missing
SRR24210497,54774530,3615118980,66,1149,SRX20007014,GSM7184210,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351532,SAMN34247381,simple,9606,Homo sapiens,GSM7184210,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgDDX3 arm, day 14 time point, replicate 1, ribosome footprints",K562,K562,immortalised myelogenous leukemia,sgDDX3,ribosome protected footprints,missing,missing
SRR24210496,45128245,2978464170,66,937,SRX20007015,GSM7184211,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351533,SAMN34247380,simple,9606,Homo sapiens,GSM7184211,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgDDX3 arm, day 3 time point, replicate 1, ribosome footprints",K562,K562,immortalised myelogenous leukemia,sgDDX3,ribosome protected footprints,missing,missing
SRR24210495,47468056,3132891696,66,985,SRX20007016,GSM7184212,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351534,SAMN34247379,simple,9606,Homo sapiens,GSM7184212,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgDDX3 arm, initial time point, replicate 2, ribosome footprints",K562,K562,immortalised myelogenous leukemia,sgDDX3,ribosome protected footprints,missing,missing
SRR24210494,52071546,3436722036,66,1080,SRX20007017,GSM7184213,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351535,SAMN34247378,simple,9606,Homo sapiens,GSM7184213,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgDDX3 arm, day 14 time point, replicate 2, ribosome footprints",K562,K562,immortalised myelogenous leukemia,sgDDX3,ribosome protected footprints,missing,missing
SRR24210493,40649002,2682834132,66,839,SRX20007018,GSM7184214,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351536,SAMN34247377,simple,9606,Homo sapiens,GSM7184214,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgDDX3 arm, day 3 time point, replicate 2, ribosome footprints",K562,K562,immortalised myelogenous leukemia,sgDDX3,ribosome protected footprints,missing,missing
SRR24210492,67354533,4445399178,66,1403,SRX20007019,GSM7184215,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351537,SAMN34247376,simple,9606,Homo sapiens,GSM7184215,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgGal4 arm, initial time point, replicate 1, ribosome footprints",K562,K562,immortalised myelogenous leukemia,sgGal4,ribosome protected footprints,missing,missing
SRR24210491,50508774,3333579084,66,1054,SRX20007020,GSM7184216,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351538,SAMN34247375,simple,9606,Homo sapiens,GSM7184216,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgGal4 arm, day 14 time point, replicate 1, ribosome footprints",K562,K562,immortalised myelogenous leukemia,sgGal4,ribosome protected footprints,missing,missing
SRR24210490,65138611,4299148326,66,1355,SRX20007021,GSM7184217,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351539,SAMN34247374,simple,9606,Homo sapiens,GSM7184217,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgGal4 arm, day 3 time point, replicate 1, ribosome footprints",K562,K562,immortalised myelogenous leukemia,sgGal4,ribosome protected footprints,missing,missing
SRR24210489,77945595,5144409270,66,1604,SRX20007022,GSM7184218,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351541,SAMN34247373,simple,9606,Homo sapiens,GSM7184218,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgGal4 arm, initial time point, replicate 2, ribosome footprints",K562,K562,immortalised myelogenous leukemia,sgGal4,ribosome protected footprints,missing,missing
SRR24210488,46201276,3049284216,66,954,SRX20007023,GSM7184219,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351540,SAMN34247372,simple,9606,Homo sapiens,GSM7184219,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgGal4 arm, day 14 time point, replicate 2, ribosome footprints",K562,K562,immortalised myelogenous leukemia,sgGal4,ribosome protected footprints,missing,missing
SRR24210487,44405299,2930749734,66,928,SRX20007024,GSM7184220,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351542,SAMN34247371,simple,9606,Homo sapiens,GSM7184220,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgGal4 arm, day 3 time point, replicate 2, ribosome footprints",K562,K562,immortalised myelogenous leukemia,sgGal4,ribosome protected footprints,missing,missing
SRR24210486,36143561,2385475026,66,859,SRX20007025,GSM7184221,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351543,SAMN34247370,simple,9606,Homo sapiens,GSM7184221,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgDDX3 arm, initial time point, replicate 1, RNAseq",K562,K562,immortalised myelogenous leukemia,sgDDX3,Cytoplasmic RNA,missing,missing
SRR24210485,17380695,1147125870,66,412,SRX20007026,GSM7184222,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351544,SAMN34247369,simple,9606,Homo sapiens,GSM7184222,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgDDX3 arm, day 14 time point, replicate 1, RNAseq",K562,K562,immortalised myelogenous leukemia,sgDDX3,Cytoplasmic RNA,missing,missing
SRR24210484,37963253,2505574698,66,901,SRX20007027,GSM7184223,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351545,SAMN34247368,simple,9606,Homo sapiens,GSM7184223,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgDDX3 arm, day 3 time point, replicate 1, RNAseq",K562,K562,immortalised myelogenous leukemia,sgDDX3,Cytoplasmic RNA,missing,missing
SRR24210483,22123211,1460131926,66,525,SRX20007028,GSM7184224,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433325,PRJNA957227,,"",SRS17351547,SAMN34247367,simple,9606,Homo sapiens,GSM7184224,"Floor Lab, Cell and Tissue Biology, University of California, San Francisco",SRA1623592,07,2024,Xu,K562,"sgDDX3 arm, initial time point, replicate 2, RNAseq",K562,K562,immortalised myelogenous leukemia,sgDDX3,Cytoplasmic RNA,missing,missing
