Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tretment,replicate,molecule,geo_loc_name,collection_date
SRR25443524,124596732,12459673200,100,5857,SRX21176753,GSM7664481,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438065,SAMN36734118,simple,10090,Mus musculus,GSM7664481,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA form axons of mouse PCNs, rep 1",mouse primary cortical neurons,untreated,1,polysomal RNA,missing,missing
SRR25443523,121757610,12175761000,100,5781,SRX21176754,GSM7664482,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438066,SAMN36734117,simple,10090,Mus musculus,GSM7664482,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"total RNA from axons of mouse PCNs, rep 1",mouse primary cortical neurons,untreated,1,total RNA,missing,missing
SRR25443521,155387549,15538754900,100,7201,SRX21176755,GSM7664483,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438067,SAMN36734116,simple,10090,Mus musculus,GSM7664483,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from cell bodies of mouse PCNs, rep 1",mouse primary cortical neurons,untreated,1,polysomal RNA,missing,missing
SRR25443520,134521399,13452139900,100,6414,SRX21176756,GSM7664484,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438068,SAMN36734115,simple,10090,Mus musculus,GSM7664484,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from cell bodies of mouse PCNs, rep 2",mouse primary cortical neurons,untreated,2,polysomal RNA,missing,missing
SRR25443522,127486142,12748614200,100,6059,SRX21176757,GSM7664485,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438069,SAMN36734114,simple,10090,Mus musculus,GSM7664485,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"total RNA from cell bodies of mouse PCNs, rep 1",mouse primary cortical neurons,untreated,1,total RNA,missing,missing
SRR25443519,25565019,2582066919,101,1191,SRX21176758,GSM7664486,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438070,SAMN36734113,simple,10090,Mus musculus,GSM7664486,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from axons of mouse PCNs expressing tRFP, rep 1",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP,1,free RNA,missing,missing
SRR25443518,28955037,2924458737,101,1358,SRX21176759,GSM7664487,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438071,SAMN36734112,simple,10090,Mus musculus,GSM7664487,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from axons of mouse PCNs expressing tRFP, rep 2",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP,2,free RNA,missing,missing
SRR25443517,46696679,4716364579,101,2186,SRX21176760,GSM7664488,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438072,SAMN36734111,simple,10090,Mus musculus,GSM7664488,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from axons of mouse PCNs expressing tRFP, rep 1",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP,1,polysomal RNA,missing,missing
SRR25443516,31068226,3137890826,101,1461,SRX21176761,GSM7664489,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438073,SAMN36734110,simple,10090,Mus musculus,GSM7664489,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from axons of mouse PCNs expressing tRFP, rep 2",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP,2,polysomal RNA,missing,missing
SRR25443515,17489452,1766434652,101,816,SRX21176762,GSM7664490,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438074,SAMN36734109,simple,10090,Mus musculus,GSM7664490,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from cell bodies of mouse PCNs expressing tRFP, rep 1",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP,1,free RNA,missing,missing
