Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ecotype,age,collection_date,geo_loc_name,tissue,genotype,replicate,BioSampleModel,treatment
SRR27275924,1203131,146781982,122,50,SRX22953913,RIP-seq wild-type control batch 1 rep 1,RIP-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921632,SAMN38912326,simple,3702,Arabidopsis thaliana,Wild-type control for RIP-seq batch 1 rep 1,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",Wild-type control for RIP-seq batch 1 rep 1,Col-0,23 days,2022,USA,Seedling,Wild type,rep 1,Plant,
SRR27275923,1217362,148518164,122,52,SRX22953914,RIP-seq wild-type control batch 1 rep 2,RIP-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921633,SAMN38912327,simple,3702,Arabidopsis thaliana,Wild-type control for RIP-seq batch 1 rep 2,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",Wild-type control for RIP-seq batch 1 rep 2,Col-0,23 days,2022,USA,Seedling,Wild type,rep 2,Plant,
SRR27275922,13175299,1607386478,122,494,SRX22953915,Ribo-seq wild-type control reillumination rep 1,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921634,SAMN38912336,simple,3702,Arabidopsis thaliana,Wild-type control for ribo-seq reillumination rep 1,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",Wild-type control for ribo-seq reillumination rep 1,Col-0,21 days,2022,USA,Seedling,Wild type,rep 1,Plant,Reillumination
SRR27275921,7774822,948528284,122,300,SRX22953916,Ribo-seq wild-type control  reillumination rep 2,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921636,SAMN38912337,simple,3702,Arabidopsis thaliana,Wild-type control for ribo-seq reillumination rep 2,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",Wild-type control for ribo-seq reillumination rep 2,Col-0,21 days,2022,USA,Seedling,Wild type,rep 2,Plant,Reillumination
SRR27275920,9999113,1219891786,122,369,SRX22953917,Ribo-seq hcf173 mutant expressing dPPR transgene dark rep 1,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921635,SAMN38912338,simple,3702,Arabidopsis thaliana,hcf173 mutant expressing dPPR transgene for ribo-seq dark rep 1,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",hcf173 mutant expressing dPPR transgene for ribo-seq dark rep 1,Col-0,21 days,2022,USA,Seedling,hcf173 mutant with dPPR transgene,rep 1,Plant,1h Dark
SRR27275919,13846681,1689295082,122,575,SRX22953918,Ribo-seq hcf173 mutant expressing dPPR transgene dark rep 2,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921637,SAMN38912339,simple,3702,Arabidopsis thaliana,hcf173 mutant expressing dPPR transgene for ribo-seq dark rep 2,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",hcf173 mutant expressing dPPR transgene for ribo-seq dark rep 2,Col-0,21 days,2022,USA,Seedling,hcf173 mutant with dPPR transgene,rep 2,Plant,1h Dark
SRR27275918,18635790,2273566380,122,729,SRX22953919,Ribo-seq hcf173 mutant expressing dPPR transgene reillumination rep 1,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921638,SAMN38912340,simple,3702,Arabidopsis thaliana,hcf173 mutant expressing dPPR transgene for ribo-seq reillumination rep 1,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",hcf173 mutant expressing dPPR transgene for ribo-seq reillumination rep 1,Col-0,21 days,2022,USA,Seedling,hcf173 mutant with dPPR transgene,rep 1,Plant,Reillumination
SRR27275917,5047144,615751568,122,192,SRX22953920,Ribo-seq hcf173 mutant expressing dPPR transgene reillumination rep 2,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921639,SAMN38912341,simple,3702,Arabidopsis thaliana,hcf173 mutant expressing dPPR transgene for ribo-seq reillumination rep 2,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",hcf173 mutant expressing dPPR transgene for ribo-seq reillumination rep 2,Col-0,21 days,2022,USA,Seedling,hcf173 mutant with dPPR transgene,rep 2,Plant,Reillumination
SRR27275916,2466003,300852366,122,103,SRX22953921,Ribo-seq hcf173 mutant control reillumination rep 1,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921640,SAMN38912342,simple,3702,Arabidopsis thaliana,hcf173 mutant control for ribo-seq reillumination rep 1,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",hcf173 mutant control for ribo-seq reillumination rep 1,Col-0,21 days,2022,USA,Seedling,hcf173 mutant,rep 1,Plant,Reillumination
SRR27275915,17010582,2075291004,122,660,SRX22953922,Ribo-seq hcf173 mutant control reillumination rep 2,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921641,SAMN38912343,simple,3702,Arabidopsis thaliana,hcf173 mutant control for ribo-seq reillumination rep 2,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",hcf173 mutant control for ribo-seq reillumination rep 2,Col-0,21 days,2022,USA,Seedling,hcf173 mutant,rep 2,Plant,Reillumination
SRR27275914,1088021,132738562,122,44,SRX22953923,RIP-seq hcf173 mutant expressing dPPR batch 1 rep 1,RIP-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921643,SAMN38912328,simple,3702,Arabidopsis thaliana,hcf173 mutant expressing dPPR transgene for RIP-seq batch 1 rep 1,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",hcf173 mutant expressing dPPR transgene for RIP-seq batch 1 rep 1,Col-0,23 days,2022,USA,Seedling,hcf173 mutant with dPPR transgene,rep 1,Plant,
SRR27275913,1403558,171234076,122,59,SRX22953924,RIP-seq hcf173 mutant expressing dPPR batch 1 rep 2,RIP-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921642,SAMN38912329,simple,3702,Arabidopsis thaliana,hcf173 mutant expressing dPPR transgene for RIP-seq batch 1 rep 2,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",hcf173 mutant expressing dPPR transgene for RIP-seq batch 1 rep 2,Col-0,23 days,2022,USA,Seedling,hcf173 mutant with dPPR transgene,rep 2,Plant,
SRR27275912,2390773,282111214,118,96,SRX22953925,RIP-seq hcf173 mutant control batch 2 rep 1,RIP-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP478731,PRJNA1054207,,"",SRS19921644,SAMN38912330,simple,3702,Arabidopsis thaliana,hcf173 mutant control for RIP-seq batch 2 rep 1,University of Oregon,SRA1771547,04,2024,Chotewutmontri,"",hcf173 mutant control for RIP-seq batch 2 rep 1,Col-0,23 days,2023,USA,Seedling,hcf173 mutant,rep 1,Plant,
