Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,sorted cell type,fraction
SRR22107141,27508160,2200652800,40,779,SRX18086954,GSM6697682,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP405478,PRJNA896177,,"",SRS15590887,SAMN31532707,simple,9606,Homo sapiens,GSM6697682,Stanford University,SRA1530987,10,2024,Toh,peripheral blood mononuclear cells,mitoRPF_1_fraction_5_RPF,peripheral blood mononuclear cells,peripheral blood mononuclear cells,T cells,5
SRR22107140,27272777,2181822160,40,783,SRX18086955,GSM6697683,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP405478,PRJNA896177,,"",SRS15590888,SAMN31532706,simple,9606,Homo sapiens,GSM6697683,Stanford University,SRA1530987,10,2024,Toh,peripheral blood mononuclear cells,mitoRPF_1_fraction_6_RPF,peripheral blood mononuclear cells,peripheral blood mononuclear cells,T cells,6
SRR22107139,22114118,1769129440,40,630,SRX18086956,GSM6697684,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP405478,PRJNA896177,,"",SRS15590889,SAMN31532705,simple,9606,Homo sapiens,GSM6697684,Stanford University,SRA1530987,10,2024,Toh,peripheral blood mononuclear cells,mitoRPF_1_fraction_7_RPF,peripheral blood mononuclear cells,peripheral blood mononuclear cells,T cells,7
SRR22107138,25473035,2037842800,40,723,SRX18086957,GSM6697685,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP405478,PRJNA896177,,"",SRS15590890,SAMN31532704,simple,9606,Homo sapiens,GSM6697685,Stanford University,SRA1530987,10,2024,Toh,peripheral blood mononuclear cells,mitoRPF_1_fraction_8_RPF,peripheral blood mononuclear cells,peripheral blood mononuclear cells,T cells,8
SRR22107137,29748796,2379903680,40,813,SRX18086958,GSM6697686,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP405478,PRJNA896177,,"",SRS15590891,SAMN31532703,simple,9606,Homo sapiens,GSM6697686,Stanford University,SRA1530987,10,2024,Toh,peripheral blood mononuclear cells,mitoRPF_1_fraction_9_RPF,peripheral blood mononuclear cells,peripheral blood mononuclear cells,T cells,9
SRR22107136,41299329,3303946320,40,1162,SRX18086959,GSM6697687,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP405478,PRJNA896177,,"",SRS15590892,SAMN31532702,simple,9606,Homo sapiens,GSM6697687,Stanford University,SRA1530987,10,2024,Toh,peripheral blood mononuclear cells,mitoRPF_1_Input_RNAseq,peripheral blood mononuclear cells,peripheral blood mononuclear cells,T cells,input
SRR22107135,27331761,2186540880,40,773,SRX18086960,GSM6697688,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP405478,PRJNA896177,,"",SRS15590893,SAMN31532701,simple,9606,Homo sapiens,GSM6697688,Stanford University,SRA1530987,10,2024,Toh,peripheral blood mononuclear cells,mitoRPF_2_fraction_5_RPF,peripheral blood mononuclear cells,peripheral blood mononuclear cells,T cells,5
SRR22107134,24613480,1969078400,40,691,SRX18086961,GSM6697689,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP405478,PRJNA896177,,"",SRS15590894,SAMN31532700,simple,9606,Homo sapiens,GSM6697689,Stanford University,SRA1530987,10,2024,Toh,peripheral blood mononuclear cells,mitoRPF_2_fraction_6_RPF,peripheral blood mononuclear cells,peripheral blood mononuclear cells,T cells,6
SRR22107133,21506478,1720518240,40,629,SRX18086962,GSM6697690,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP405478,PRJNA896177,,"",SRS15590895,SAMN31532699,simple,9606,Homo sapiens,GSM6697690,Stanford University,SRA1530987,10,2024,Toh,peripheral blood mononuclear cells,mitoRPF_2_fraction_7_RPF,peripheral blood mononuclear cells,peripheral blood mononuclear cells,T cells,7
SRR22107132,25963639,2077091120,40,725,SRX18086963,GSM6697691,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP405478,PRJNA896177,,"",SRS15590896,SAMN31532698,simple,9606,Homo sapiens,GSM6697691,Stanford University,SRA1530987,10,2024,Toh,peripheral blood mononuclear cells,mitoRPF_2_fraction_8_RPF,peripheral blood mononuclear cells,peripheral blood mononuclear cells,T cells,8
SRR22107131,29550146,2364011680,40,802,SRX18086964,GSM6697692,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP405478,PRJNA896177,,"",SRS15590897,SAMN31532697,simple,9606,Homo sapiens,GSM6697692,Stanford University,SRA1530987,10,2024,Toh,peripheral blood mononuclear cells,mitoRPF_2_fraction_9_RPF,peripheral blood mononuclear cells,peripheral blood mononuclear cells,T cells,9
SRR22107130,49696511,3975720880,40,1394,SRX18086965,GSM6697693,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP405478,PRJNA896177,,"",SRS15590898,SAMN31532696,simple,9606,Homo sapiens,GSM6697693,Stanford University,SRA1530987,10,2024,Toh,peripheral blood mononuclear cells,mitoRPF_2_Input_RNAseq,peripheral blood mononuclear cells,peripheral blood mononuclear cells,T cells,input
