Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype,treatment,geo_loc_name,collection_date
SRR24255660,34483493,2241427045,65,992,SRX20051570,GSM7212166,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433785,PRJNA958219,,"",SRS17382724,SAMN34290443,simple,10090,Mus musculus,GSM7212166,"Faller Lab, Oncogenomics, Netherlands Cancer Institute",SRA1625522,11,2024,Faller,intestine,RNAseq_SCd_1,intestine,intestine,organoid,VillinCre.ERT2.RPL22.HA,stem cell depletion,missing,missing
SRR24255659,46541523,3025198995,65,1321,SRX20051571,GSM7212167,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433785,PRJNA958219,,"",SRS17382725,SAMN34290442,simple,10090,Mus musculus,GSM7212167,"Faller Lab, Oncogenomics, Netherlands Cancer Institute",SRA1625522,11,2024,Faller,intestine,RNAseq_SCd_2,intestine,intestine,organoid,VillinCre.ERT2.RPL22.HA,stem cell depletion,missing,missing
SRR24255658,73472692,4775724980,65,2088,SRX20051572,GSM7212168,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433785,PRJNA958219,,"",SRS17382723,SAMN34290441,simple,10090,Mus musculus,GSM7212168,"Faller Lab, Oncogenomics, Netherlands Cancer Institute",SRA1625522,11,2024,Faller,intestine,RNAseq_SCd_3,intestine,intestine,organoid,VillinCre.ERT2.RPL22.HA,stem cell depletion,missing,missing
SRR24255657,144463428,9390122820,65,5669,SRX20051573,GSM7212169,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433785,PRJNA958219,,"",SRS17382729,SAMN34290440,simple,10090,Mus musculus,GSM7212169,"Faller Lab, Oncogenomics, Netherlands Cancer Institute",SRA1625522,11,2024,Faller,intestine,RiboSeq_L22_PD_SCd_1,intestine,intestine,organoid,VillinCre.ERT2.RPL22.HA,stem cell depletion,missing,missing
SRR24255656,39867046,2591357990,65,1226,SRX20051574,GSM7212171,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433785,PRJNA958219,,"",SRS17382726,SAMN34290439,simple,10090,Mus musculus,GSM7212171,"Faller Lab, Oncogenomics, Netherlands Cancer Institute",SRA1625522,11,2024,Faller,intestine,RiboSeq_L22_PD_SCd_2,intestine,intestine,organoid,VillinCre.ERT2.RPL22.HA,stem cell depletion,missing,missing
SRR24255655,113625434,7385653210,65,3424,SRX20051575,GSM7212173,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433785,PRJNA958219,,"",SRS17382727,SAMN34290438,simple,10090,Mus musculus,GSM7212173,"Faller Lab, Oncogenomics, Netherlands Cancer Institute",SRA1625522,11,2024,Faller,intestine,RiboSeq_L22_PD_SCd_3,intestine,intestine,organoid,VillinCre.ERT2.RPL22.HA,stem cell depletion,missing,missing
SRR24255654,23591173,471334322,19,174,SRX20051576,GSM7212174,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP433785,PRJNA958219,,"",SRS17382728,SAMN34290437,simple,10090,Mus musculus,GSM7212174,"Faller Lab, Oncogenomics, Netherlands Cancer Institute",SRA1625522,11,2024,Faller,intestine,CRISPR_screen.T0_rep1,intestine,intestine,organoid,"Gt(ROSA)26Sortm1.1(CAG-cas9,-EGFP)Fezh",stem cell enrichment,missing,missing
SRR24255653,26084539,520927115,19,194,SRX20051577,GSM7212175,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP433785,PRJNA958219,,"",SRS17382730,SAMN34290436,simple,10090,Mus musculus,GSM7212175,"Faller Lab, Oncogenomics, Netherlands Cancer Institute",SRA1625522,11,2024,Faller,intestine,CRISPR_screen.T0_rep2,intestine,intestine,organoid,"Gt(ROSA)26Sortm1.1(CAG-cas9,-EGFP)Fezh",stem cell enrichment,missing,missing
SRR24255652,27592902,551083493,19,203,SRX20051578,GSM7212176,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP433785,PRJNA958219,,"",SRS17382731,SAMN34290435,simple,10090,Mus musculus,GSM7212176,"Faller Lab, Oncogenomics, Netherlands Cancer Institute",SRA1625522,11,2024,Faller,intestine,CRISPR_screen.T0_rep3,intestine,intestine,organoid,"Gt(ROSA)26Sortm1.1(CAG-cas9,-EGFP)Fezh",stem cell enrichment,missing,missing
SRR24255651,17446825,348702627,19,125,SRX20051579,GSM7212177,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP433785,PRJNA958219,,"",SRS17382733,SAMN34290434,simple,10090,Mus musculus,GSM7212177,"Faller Lab, Oncogenomics, Netherlands Cancer Institute",SRA1625522,11,2024,Faller,intestine,CRISPR_screen.T10_rep1,intestine,intestine,organoid,"Gt(ROSA)26Sortm1.1(CAG-cas9,-EGFP)Fezh",stem cell enrichment,missing,missing
