Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,treatment,time,library type,geo_loc_name,collection_date
SRR22990350,38751830,1937591500,50,672,SRX18946404,GSM6918924,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370404,SAMN32603261,simple,10090,Mus musculus,GSM6918924,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Early set, control, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990349,41587332,2079366600,50,720,SRX18946405,GSM6918925,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370403,SAMN32603260,simple,10090,Mus musculus,GSM6918925,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Early set, control, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990348,36775054,1838752700,50,640,SRX18946406,GSM6918926,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370405,SAMN32603259,simple,10090,Mus musculus,GSM6918926,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Early set, control, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990347,36691446,1834572300,50,638,SRX18946407,GSM6918927,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370406,SAMN32603258,simple,10090,Mus musculus,GSM6918927,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Early set, control, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990346,33055509,1652775450,50,571,SRX18946408,GSM6918928,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370407,SAMN32603257,simple,10090,Mus musculus,GSM6918928,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Early set, 1 dpi, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,1 day post-infection,Ribo-seq,missing,missing
SRR22990345,35597343,1779867150,50,616,SRX18946409,GSM6918929,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370408,SAMN32603256,simple,10090,Mus musculus,GSM6918929,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Early set, 1 dpi, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,1 day post-infection,Ribo-seq,missing,missing
SRR22990344,37106699,1855334950,50,645,SRX18946410,GSM6918930,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370409,SAMN32603255,simple,10090,Mus musculus,GSM6918930,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Early set, 1 dpi, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,1 day post-infection,Ribo-seq,missing,missing
SRR22990343,29776758,1488837900,50,516,SRX18946411,GSM6918931,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370410,SAMN32603254,simple,10090,Mus musculus,GSM6918931,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Early set, 1 dpi, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,1 day post-infection,Ribo-seq,missing,missing
SRR22990342,235144409,23514440900,100,7238,SRX18946412,GSM6918948,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370411,SAMN32603237,simple,10090,Mus musculus,GSM6918948,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Early set, control, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990341,212811872,21281187200,100,7173,SRX18946413,GSM6918949,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370413,SAMN32603236,simple,10090,Mus musculus,GSM6918949,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Early set, control, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
