Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,growth condition,geo_loc_name,collection_date
SRR30253570,123734390,7433842520,60,2564,SRX25714807,GSM8461873,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP526647,PRJNA1148496,,"",SRS22355715,SAMN43204230,simple,5476,Candida albicans,GSM8461873,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1948545,12,2024,Kadosh,fungal cells,biofilm-ribo-1,fungal cells,fungal cells,biofilm,missing,missing
SRR30253569,293735785,14980525035,51,5031,SRX25714808,GSM8461874,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP526647,PRJNA1148496,,"",SRS22355716,SAMN43204229,simple,5476,Candida albicans,GSM8461874,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1948545,12,2024,Kadosh,fungal cells,biofilm-ribo-2,fungal cells,fungal cells,biofilm,missing,missing
SRR30253568,54115181,2759874231,51,948,SRX25714809,GSM8461875,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP526647,PRJNA1148496,,"",SRS22355717,SAMN43204228,simple,5476,Candida albicans,GSM8461875,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1948545,12,2024,Kadosh,fungal cells,biofilm-ribo-3,fungal cells,fungal cells,biofilm,missing,missing
SRR30253567,77646108,4555424274,58,1592,SRX25714810,GSM8461876,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP526647,PRJNA1148496,,"",SRS22355718,SAMN43204227,simple,5476,Candida albicans,GSM8461876,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1948545,12,2024,Kadosh,fungal cells,planktonic-ribo-1,fungal cells,fungal cells,planktonic,missing,missing
SRR30253566,119486246,6093798546,51,2103,SRX25714811,GSM8461877,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP526647,PRJNA1148496,,"",SRS22355719,SAMN43204226,simple,5476,Candida albicans,GSM8461877,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1948545,12,2024,Kadosh,fungal cells,planktonic-ribo-2,fungal cells,fungal cells,planktonic,missing,missing
SRR30253565,56664580,2889893580,51,1088,SRX25714812,GSM8461878,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP526647,PRJNA1148496,,"",SRS22355720,SAMN43204225,simple,5476,Candida albicans,GSM8461878,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1948545,12,2024,Kadosh,fungal cells,planktonic-ribo-3,fungal cells,fungal cells,planktonic,missing,missing
SRR30253564,18708187,954117537,51,341,SRX25714813,GSM8461879,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP526647,PRJNA1148496,,"",SRS22355721,SAMN43204224,simple,5476,Candida albicans,GSM8461879,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1948545,12,2024,Kadosh,fungal cells,biofilm-rna-1,fungal cells,fungal cells,biofilm,missing,missing
SRR30253563,32222199,1643332149,51,585,SRX25714814,GSM8461880,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP526647,PRJNA1148496,,"",SRS22355722,SAMN43204223,simple,5476,Candida albicans,GSM8461880,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1948545,12,2024,Kadosh,fungal cells,biofilm-rna-2,fungal cells,fungal cells,biofilm,missing,missing
SRR30253562,79731932,4066328532,51,1533,SRX25714815,GSM8461881,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP526647,PRJNA1148496,,"",SRS22355723,SAMN43204222,simple,5476,Candida albicans,GSM8461881,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1948545,12,2024,Kadosh,fungal cells,biofilm-rna-3,fungal cells,fungal cells,biofilm,missing,missing
SRR30253561,16055989,818855439,51,291,SRX25714816,GSM8461882,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP526647,PRJNA1148496,,"",SRS22355724,SAMN43204221,simple,5476,Candida albicans,GSM8461882,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1948545,12,2024,Kadosh,fungal cells,planktonic-rna-1,fungal cells,fungal cells,planktonic,missing,missing
