Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment,geo_loc_name,collection_date
SRR24496933,53528558,16058567400,150,5066,SRX20281876,GSM7322159,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP436934,PRJNA971237,,"",SRS17608899,SAMN35027761,simple,7227,Drosophila melanogaster,GSM7322159,"Alic Lab, Institute of Healthy Ageing, University College London",SRA1636190,08,2024,Alic,whole flies,wt1_ribo,whole flies,whole flies,White Dahomey,female,missing,missing
SRR24496932,53537703,16061310900,150,5090,SRX20281877,GSM7322160,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP436934,PRJNA971237,,"",SRS17608900,SAMN35027760,simple,7227,Drosophila melanogaster,GSM7322160,"Alic Lab, Institute of Healthy Ageing, University College London",SRA1636190,08,2024,Alic,whole flies,wt2_ribo,whole flies,whole flies,White Dahomey,female,missing,missing
SRR24496931,48631342,14589402600,150,4580,SRX20281878,GSM7322161,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP436934,PRJNA971237,,"",SRS17608902,SAMN35027759,simple,7227,Drosophila melanogaster,GSM7322161,"Alic Lab, Institute of Healthy Ageing, University College London",SRA1636190,08,2024,Alic,whole flies,wt3_ribo,whole flies,whole flies,White Dahomey,female,missing,missing
SRR24496930,51708708,15512612400,150,4830,SRX20281879,GSM7322162,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP436934,PRJNA971237,,"",SRS17608903,SAMN35027758,simple,7227,Drosophila melanogaster,GSM7322162,"Alic Lab, Institute of Healthy Ageing, University College London",SRA1636190,08,2024,Alic,whole flies,c531_ribo,whole flies,whole flies,dC53EY22749,female,missing,missing
SRR24496929,89545845,26863753500,150,8546,SRX20281880,GSM7322163,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP436934,PRJNA971237,,"",SRS17608904,SAMN35027757,simple,7227,Drosophila melanogaster,GSM7322163,"Alic Lab, Institute of Healthy Ageing, University College London",SRA1636190,08,2024,Alic,whole flies,c532_ribo,whole flies,whole flies,dC53EY22749,female,missing,missing
SRR24496928,65457745,19637323500,150,6127,SRX20281881,GSM7322165,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP436934,PRJNA971237,,"",SRS17608901,SAMN35027756,simple,7227,Drosophila melanogaster,GSM7322165,"Alic Lab, Institute of Healthy Ageing, University College London",SRA1636190,08,2024,Alic,whole flies,c533_ribo,whole flies,whole flies,dC53EY22749,female,missing,missing
SRR24496927,29994342,8998302600,150,2852,SRX20281882,GSM7322166,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP436934,PRJNA971237,,"",SRS17608905,SAMN35027755,simple,7227,Drosophila melanogaster,GSM7322166,"Alic Lab, Institute of Healthy Ageing, University College London",SRA1636190,08,2024,Alic,whole flies,wt1_rna,whole flies,whole flies,White Dahomey,female,missing,missing
SRR24496926,26649933,7994979900,150,2531,SRX20281883,GSM7322167,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP436934,PRJNA971237,,"",SRS17608906,SAMN35027754,simple,7227,Drosophila melanogaster,GSM7322167,"Alic Lab, Institute of Healthy Ageing, University College London",SRA1636190,08,2024,Alic,whole flies,wt2_rna,whole flies,whole flies,White Dahomey,female,missing,missing
SRR24496925,27423695,8227108500,150,2623,SRX20281884,GSM7322168,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP436934,PRJNA971237,,"",SRS17608907,SAMN35027753,simple,7227,Drosophila melanogaster,GSM7322168,"Alic Lab, Institute of Healthy Ageing, University College London",SRA1636190,08,2024,Alic,whole flies,wt3_rna,whole flies,whole flies,White Dahomey,female,missing,missing
SRR24496924,26222525,7866757500,150,2503,SRX20281885,GSM7322169,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP436934,PRJNA971237,,"",SRS17608908,SAMN35027752,simple,7227,Drosophila melanogaster,GSM7322169,"Alic Lab, Institute of Healthy Ageing, University College London",SRA1636190,08,2024,Alic,whole flies,c531_rna,whole flies,whole flies,dC53EY22749,female,missing,missing
SRR24496923,30911014,9273304200,150,2994,SRX20281886,GSM7322170,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP436934,PRJNA971237,,"",SRS17608909,SAMN35027751,simple,7227,Drosophila melanogaster,GSM7322170,"Alic Lab, Institute of Healthy Ageing, University College London",SRA1636190,08,2024,Alic,whole flies,c532_rna,whole flies,whole flies,dC53EY22749,female,missing,missing
SRR24496922,26957890,8087367000,150,2559,SRX20281887,GSM7322171,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP436934,PRJNA971237,,"",SRS17608910,SAMN35027750,simple,7227,Drosophila melanogaster,GSM7322171,"Alic Lab, Institute of Healthy Ageing, University College London",SRA1636190,08,2024,Alic,whole flies,c533_rna,whole flies,whole flies,dC53EY22749,female,missing,missing
