Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,lncrna probes,treatment,cell type,sequencing type,GEO Accession
SRR15208754,16916717,5075015100,150,2037,SRX11515205,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553020,SAMN20342387,simple,9606,Homo sapiens,GSM5464807,GEO,SRA1262461,10,2023,"",K562 cell line,molnc301b_IP_even,K562 cell line,molnc-301b,none,K562 cell line,ChIRP-seq,GSM5464807
SRR15208755,21042734,6312820200,150,2528,SRX11515206,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553021,SAMN20342386,simple,9606,Homo sapiens,GSM5464808,GEO,SRA1262461,10,2023,"",K562 cell line,molnc301b_Input,K562 cell line,none,none,K562 cell line,ChIRP-seq,GSM5464808
SRR15208756,12429940,3728982000,150,1515,SRX11515207,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553022,SAMN20342385,simple,9606,Homo sapiens,GSM5464809,GEO,SRA1262461,10,2023,"",K562 cell line,molnc301b_IP_odd,K562 cell line,molnc-301b,none,K562 cell line,ChIRP-seq,GSM5464809
SRR15208757,12620082,631004100,50,225,SRX11515208,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP329295,PRJNA748710,,"",SRS9553023,SAMN20342412,simple,9606,Homo sapiens,GSM5464810,GEO,SRA1262461,10,2023,"",CD34+ cell,HSPCs_day11_smallRNA,CD34+ cell,none,none,cord blood CD34+ derived erythroid cells,smallRNA-seq,GSM5464810
SRR15208758,12776679,638833950,50,221,SRX11515209,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP329295,PRJNA748710,,"",SRS9553024,SAMN20342411,simple,9606,Homo sapiens,GSM5464811,GEO,SRA1262461,10,2023,"",CD34+ cell,HSPCs_day14_smallRNA,CD34+ cell,none,none,cord blood CD34+ derived erythroid cells,smallRNA-seq,GSM5464811
SRR15208759,14761638,738081900,50,259,SRX11515210,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP329295,PRJNA748710,,"",SRS9553025,SAMN20342410,simple,9606,Homo sapiens,GSM5464812,GEO,SRA1262461,10,2023,"",CD34+ cell,HSPCs_day18_smallRNA,CD34+ cell,none,none,cord blood CD34+ derived erythroid cells,smallRNA-seq,GSM5464812
SRR15208760,22820797,511243231,22,221,SRX11515211,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP329295,PRJNA748710,,"",SRS9553026,SAMN20342409,simple,9606,Homo sapiens,GSM5464813,GEO,SRA1262461,10,2023,"",K562 cell line,K562_smallRNA,K562 cell line,none,none,K562 cell line,smallRNA-seq,GSM5464813
SRR15208761,24106773,7232031900,150,2891,SRX11515212,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553027,SAMN20342408,simple,9606,Homo sapiens,GSM5464814,GEO,SRA1262461,10,2023,"",CD34+ cell,HSPCs_day11_RNA_rep1,CD34+ cell,none,none,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464814
SRR15208762,43568662,13070598600,150,5380,SRX11515213,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553028,SAMN20342407,simple,9606,Homo sapiens,GSM5464815,GEO,SRA1262461,10,2023,"",CD34+ cell,HSPCs_day11_RNA_rep2,CD34+ cell,none,none,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464815
SRR15208763,30689734,9206920200,150,3494,SRX11515214,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553029,SAMN20342406,simple,9606,Homo sapiens,GSM5464816,GEO,SRA1262461,10,2023,"",CD34+ cell,HSPCs_day14_RNA_rep1,CD34+ cell,none,none,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464816
