Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,dev_stage,collection_date,geo_loc_name,sex,tissue,biomaterial_provider,collected_by,genotype,growth_protocol,sample_type,sample number,replicate,BioSampleModel
SRR27489775,32348695,9769305890,151,3011,SRX23160934,Library_1,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111092,SAMN39093334,simple,7955,Danio rerio,MPRA_repA_input_2hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",Total 2hpf replica A,TLAB,2 hpf,64-cells,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,1,replicate A,Model organism or animal
SRR27489774,53347941,16111078182,151,4918,SRX23160935,Library_2,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111093,SAMN39093335,simple,7955,Danio rerio,MPRA_repA_fractions_4_5_2hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",80S fraction 2hpf replica A,TLAB,2 hpf,64-cells,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,2,replicate A,Model organism or animal
SRR27489773,55342256,16713361312,151,5069,SRX23160936,Library_11,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111094,SAMN39093344,simple,7955,Danio rerio,MPRA_repA_fractions_6_7_6hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",LMW fraction 6hpf replica A,TLAB,6 hpf,shield,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,11,replicate A,Model organism or animal
SRR27489772,48757490,14724761980,151,4478,SRX23160937,Library_12,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111098,SAMN39093345,simple,7955,Danio rerio,MPRA_repA_fractions_8_9_6hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",HMW fraction 6hpf replica A,TLAB,6 hpf,shield,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,12,replicate A,Model organism or animal
SRR27489771,37296383,11263507666,151,3497,SRX23160938,Library_13,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111095,SAMN39093346,simple,7955,Danio rerio,MPRA_repA_input_10hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",Total 10hpf replica A,TLAB,10 hpf,bud,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,13,replicate A,Model organism or animal
SRR27489770,46313790,13986764580,151,4427,SRX23160939,Library_14,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111097,SAMN39093347,simple,7955,Danio rerio,MPRA_repA_fractions_4_5_10hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",80S fraction 10hpf replica A,TLAB,10 hpf,bud,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,14,replicate A,Model organism or animal
SRR27489769,43201216,13046767232,151,3989,SRX23160940,Library_15,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111096,SAMN39093348,simple,7955,Danio rerio,MPRA_repA_fractions_6_7_10hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",LMW fraction 10hpf replica A,TLAB,10 hpf,bud,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,15,replicate A,Model organism or animal
SRR27489768,44705615,13501095730,151,4126,SRX23160941,Library_16,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111099,SAMN39093349,simple,7955,Danio rerio,MPRA_repA_fractions_8_9_10hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",HMW fraction 10hpf replica A,TLAB,10 hpf,bud,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,16,replicate A,Model organism or animal
SRR27489767,43607404,13169436008,151,4126,SRX23160942,Library_17,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111100,SAMN39093350,simple,7955,Danio rerio,MPRA_repB_input_2hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",Total 2hpf replica B,TLAB,2 hpf,64-cells,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,17,replicate B,Model organism or animal
SRR27489766,42029371,12692870042,151,3877,SRX23160943,Library_18,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111101,SAMN39093351,simple,7955,Danio rerio,MPRA_repB_fractions_4_5_2hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",80S fraction 2hpf replica B,TLAB,2 hpf,64-cells,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,18,replicate B,Model organism or animal
