Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,geo_loc_name,collection_date
SRR29323012,39699022,11909706600,150,3547,SRX24839417,GSM8314050,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512464,PRJNA1121291,,"",SRS21550973,SAMN41748860,simple,9606,Homo sapiens,GSM8314050,"IGC, Salk Institute for Biological Studies",SRA1892300,10,2024,Williams,HCEC-1CT,HCEC-1CT Naive 1,HCEC-1CT,HCEC-1CT,Naive,missing,missing
SRR29323011,42445336,12733600800,150,3782,SRX24839418,GSM8314051,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512464,PRJNA1121291,,"",SRS21550974,SAMN41748859,simple,9606,Homo sapiens,GSM8314051,"IGC, Salk Institute for Biological Studies",SRA1892300,10,2024,Williams,HCEC-1CT,HCEC-1CT Naive 2,HCEC-1CT,HCEC-1CT,Naive,missing,missing
SRR29323010,42796671,12839001300,150,3894,SRX24839419,GSM8314052,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512464,PRJNA1121291,,"",SRS21550975,SAMN41748858,simple,9606,Homo sapiens,GSM8314052,"IGC, Salk Institute for Biological Studies",SRA1892300,10,2024,Williams,HCEC-1CT,HCEC-1CT Naive 3,HCEC-1CT,HCEC-1CT,Naive,missing,missing
SRR29323009,43886641,13165992300,150,3905,SRX24839420,GSM8314053,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512464,PRJNA1121291,,"",SRS21550976,SAMN41748857,simple,9606,Homo sapiens,GSM8314053,"IGC, Salk Institute for Biological Studies",SRA1892300,10,2024,Williams,HCEC-1CT,HCEC-1CT 100 ng/mL LPS 1,HCEC-1CT,HCEC-1CT,100 ng/mL LPS,missing,missing
SRR29323008,44555233,13366569900,150,4044,SRX24839421,GSM8314054,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512464,PRJNA1121291,,"",SRS21550977,SAMN41748856,simple,9606,Homo sapiens,GSM8314054,"IGC, Salk Institute for Biological Studies",SRA1892300,10,2024,Williams,HCEC-1CT,HCEC-1CT 100 ng/mL LPS 2,HCEC-1CT,HCEC-1CT,100 ng/mL LPS,missing,missing
SRR29323007,44650644,13395193200,150,4018,SRX24839422,GSM8314055,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512464,PRJNA1121291,,"",SRS21550978,SAMN41748855,simple,9606,Homo sapiens,GSM8314055,"IGC, Salk Institute for Biological Studies",SRA1892300,10,2024,Williams,HCEC-1CT,HCEC-1CT 100 ng/mL LPS 3,HCEC-1CT,HCEC-1CT,100 ng/mL LPS,missing,missing
SRR29323006,39847228,11954168400,150,3574,SRX24839423,GSM8314056,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512464,PRJNA1121291,,"",SRS21550979,SAMN41748854,simple,9606,Homo sapiens,GSM8314056,"IGC, Salk Institute for Biological Studies",SRA1892300,10,2024,Williams,HCEC-1CT,HCEC-1CT 10 ng/mL IL-22 1,HCEC-1CT,HCEC-1CT,10 ng/mL IL-22,missing,missing
SRR29323005,44266269,13279880700,150,3951,SRX24839424,GSM8314057,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512464,PRJNA1121291,,"",SRS21550980,SAMN41748853,simple,9606,Homo sapiens,GSM8314057,"IGC, Salk Institute for Biological Studies",SRA1892300,10,2024,Williams,HCEC-1CT,HCEC-1CT 10 ng/mL IL-22 2,HCEC-1CT,HCEC-1CT,10 ng/mL IL-22,missing,missing
SRR29323004,39548256,11864476800,150,3510,SRX24839425,GSM8314058,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512464,PRJNA1121291,,"",SRS21550981,SAMN41748852,simple,9606,Homo sapiens,GSM8314058,"IGC, Salk Institute for Biological Studies",SRA1892300,10,2024,Williams,HCEC-1CT,HCEC-1CT 10 ng/mL IL-22 3,HCEC-1CT,HCEC-1CT,10 ng/mL IL-22,missing,missing
SRR29323003,44242676,13272802800,150,3960,SRX24839426,GSM8314059,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512464,PRJNA1121291,,"",SRS21550982,SAMN41748851,simple,9606,Homo sapiens,GSM8314059,"IGC, Salk Institute for Biological Studies",SRA1892300,10,2024,Williams,HCEC-1CT,HCEC-1CT 10 ng/mL TNFa 1,HCEC-1CT,HCEC-1CT,10 ng/mL TNFa,missing,missing
SRR29323002,43355337,13006601100,150,3912,SRX24839427,GSM8314060,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512464,PRJNA1121291,,"",SRS21550983,SAMN41748850,simple,9606,Homo sapiens,GSM8314060,"IGC, Salk Institute for Biological Studies",SRA1892300,10,2024,Williams,HCEC-1CT,HCEC-1CT 10 ng/mL TNFa 2,HCEC-1CT,HCEC-1CT,10 ng/mL TNFa,missing,missing
