Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ID,strain,isolate,breed,cultivar,ecotype,age,dev_stage,collection_date,geo_loc_name,sex,tissue,cell_line,BioSampleModel
SRR26324395,26568605,790632816,29,378,SRX22032458,DKFZ_B250_DualRP_Tumour_2_GFP_aPD1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP464880,PRJNA1024949,,"",SRS19104880,SAMN37734083,simple,10090,Mus musculus,Tumour_2_GFP_aPD1_umi_extracted.fastq.gz,German Cancer Research Center DKFZ,SRA1727879,10,2023,Loayza-Puch,"","",S01,C57BL/6,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Tumour,E0771-GFP-Rpl10a,Model organism or animal
SRR26324394,19506331,608846636,31,287,SRX22032459,DKFZ_B250_DualRP_Tumour_2_GFP_IgG,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP464880,PRJNA1024949,,"",SRS19104881,SAMN37734084,simple,10090,Mus musculus,Tumour_2_GFP_IgG_umi_extracted.fastq.gz,German Cancer Research Center DKFZ,SRA1727879,10,2023,Loayza-Puch,"","",S02,C57BL/6,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Tumour,E0771-GFP-Rpl10a,Model organism or animal
SRR26324393,10838943,359665443,33,174,SRX22032460,DKFZ_B250_DualRP_Tumour_3_GFP_aPD1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP464880,PRJNA1024949,,"",SRS19104882,SAMN37734093,simple,10090,Mus musculus,Tumour_3_GFP_aPD1_umi_extracted.fastq.gz,German Cancer Research Center DKFZ,SRA1727879,10,2023,Loayza-Puch,"","",S11,C57BL/6,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Tumour,E0771-GFP-Rpl10a,Model organism or animal
SRR26324392,32943081,1080356938,32,512,SRX22032461,DKFZ_B250_DualRP_Tumour_3_GFP_IgG,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP464880,PRJNA1024949,,"",SRS19104883,SAMN37734094,simple,10090,Mus musculus,Tumour_3_GFP_IgG_umi_extracted.fastq.gz,German Cancer Research Center DKFZ,SRA1727879,10,2023,Loayza-Puch,"","",S12,C57BL/6,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Tumour,E0771-GFP-Rpl10a,Model organism or animal
SRR26324391,95496339,3065177418,32,1363,SRX22032462,DKFZ_B250_DualRP_Tumour_2_HA_aPD1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP464880,PRJNA1024949,,"",SRS19104884,SAMN37734085,simple,10090,Mus musculus,Tumour_2_HA_aPD1_umi_extracted.fastq.gz,German Cancer Research Center DKFZ,SRA1727879,10,2023,Loayza-Puch,"","",S03,C57BL/6,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Tumour,E0771-GFP-Rpl10a,Model organism or animal
SRR26324390,11965127,411109870,34,222,SRX22032463,DKFZ_B250_DualRP_Tumour_3_HA_aPD1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP464880,PRJNA1024949,,"",SRS19104885,SAMN37734086,simple,10090,Mus musculus,Tumour_3_HA_aPD1_umi_extracted.fastq.gz,German Cancer Research Center DKFZ,SRA1727879,10,2023,Loayza-Puch,"","",S04,C57BL/6,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Tumour,E0771-GFP-Rpl10a,Model organism or animal
SRR26324389,9239032,295003381,31,173,SRX22032464,DKFZ_B250_DualRP_Tumour_3_HA_IgG,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP464880,PRJNA1024949,,"",SRS19104886,SAMN37734087,simple,10090,Mus musculus,Tumour_3_HA_IgG_umi_extracted.fastq.gz,German Cancer Research Center DKFZ,SRA1727879,10,2023,Loayza-Puch,"","",S05,C57BL/6,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Tumour,E0771-GFP-Rpl10a,Model organism or animal
SRR26324388,17427676,568035481,32,273,SRX22032465,DKFZ_B250_DualRP_Tumour_1_GFP_aPD1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP464880,PRJNA1024949,,"",SRS19104887,SAMN37734088,simple,10090,Mus musculus,Tumour_1_GFP_aPD1_umi_extracted.fastq.gz,German Cancer Research Center DKFZ,SRA1727879,10,2023,Loayza-Puch,"","",S06,C57BL/6,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Tumour,E0771-GFP-Rpl10a,Model organism or animal
SRR26324387,41388713,1322278081,31,619,SRX22032466,DKFZ_B250_DualRP_Tumour_1_GFP_IgG,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP464880,PRJNA1024949,,"",SRS19104888,SAMN37734089,simple,10090,Mus musculus,Tumour_1_GFP_IgG_umi_extracted.fastq.gz,German Cancer Research Center DKFZ,SRA1727879,10,2023,Loayza-Puch,"","",S07,C57BL/6,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Tumour,E0771-GFP-Rpl10a,Model organism or animal
SRR26324386,94467388,2854273473,30,1335,SRX22032467,DKFZ_B250_DualRP_Tumour_1_HA_aPD1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP464880,PRJNA1024949,,"",SRS19104889,SAMN37734090,simple,10090,Mus musculus,Tumour_1_HA_aPD1_umi_extracted.fastq.gz,German Cancer Research Center DKFZ,SRA1727879,10,2023,Loayza-Puch,"","",S08,C57BL/6,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Tumour,E0771-GFP-Rpl10a,Model organism or animal
